disclosure,model,measurement_source,safe_batch_24g,torch_peak_gb,nvidia_smi_peak_gb,step_s_3090,epochs,train_rows,all_rows_predicted,train_steps_per_epoch,train_steps_total,predict_batches,gpu_train_hours_3090,predict_hours_3090_est,total_hours_3090_est,total_hms_3090_est,gpu_train_hours_4090_1p7x,total_hours_4090_expected_1p7x,total_hms_4090_expected_1p7x,total_hours_4090_fast_2p0x,total_hours_4090_slow_1p5x
long_form,C1_bert_s2,proxy:C2_finbert_s2,4,19.802,20.663,0.903121,3,58602,94237,14651,43953,23561,11.026354809166666,2.068736627319444,13.09509143648611,13:05:42,6.486091064215686,7.702994962638888,07:42:11,6.547545718243055,8.730060957657406
long_form,C2_finbert_s1,measured:C2_finbert_s1,72,22.223,22.831,1.25313,3,58602,94237,815,2445,1311,0.8510841250000001,0.15972186125,1.01080598625,01:00:39,0.5006377205882353,0.5945917566176471,00:35:41,0.505402993125,0.6738706575000001
long_form,C2_finbert_s2,measured:C2_finbert_s2,4,19.802,20.663,0.903121,3,58602,94237,14651,43953,23561,11.026354809166666,2.068736627319444,13.09509143648611,13:05:42,6.486091064215686,7.702994962638888,07:42:11,6.547545718243055,8.730060957657406
long_form,C2_finbert_s3,measured:C2_finbert_s3,4,19.804,20.665,0.903772,3,58602,94237,14651,43953,23561,11.034302976666666,2.0702278422777773,13.104530818944443,13:06:16,6.490766456862745,7.708547540555555,07:42:31,6.552265409472222,8.736353879296296
long_form,C2_finbert_s4,measured:C2_finbert_s4,4,19.909,20.78,0.905313,3,58602,94237,14651,43953,23561,11.0531173025,2.0737577382083336,13.126875040708335,13:07:37,6.501833707352942,7.721691200416668,07:43:18,6.563437520354167,8.751250027138889
long_form,C3_roberta_s1,measured:C3_roberta_s1,72,22.391,22.995,1.199814,3,58602,94237,815,2445,1311,0.814873675,0.15292629275,0.96779996775,00:58:04,0.47933745588235294,0.5692940986764706,00:34:09,0.483899983875,0.6451999785
long_form,D1_concat_mlp,measured:D1_concat_mlp,72,22.223,22.833,1.268134,3,58602,94237,815,2445,1311,0.8612743416666668,0.16163424608333332,1.0229085877500002,01:01:22,0.5066319656862747,0.6017109339705884,00:36:06,0.5114542938750001,0.6819390585000001
long_form,D2_gated_fusion,measured:D2_gated_fusion,72,22.223,22.833,1.26887,3,58602,94237,815,2445,1311,0.8617742083333333,0.16172805541666666,1.02350226375,01:01:25,0.5069260049019608,0.6020601551470588,00:36:07,0.511751131875,0.6823348425
event_driven,C1_bert_s1,measured:C1_bert_s1,72,22.223,22.831,1.251254,3,215785,333192,2998,8994,4629,3.126049576666667,0.5631164355833334,3.6891660122500003,03:41:21,1.8388526921568629,2.170097654264706,02:10:12,1.8445830061250001,2.459444008166667
event_driven,C1_bert_s2,proxy:C2_finbert_s2,4,19.802,20.663,0.903121,3,215785,333192,53947,161841,83299,40.60055715583333,7.313937961847221,47.91449511768055,47:54:52,23.88268067990196,28.184997128047385,28:11:06,23.957247558840276,31.942996745120368
event_driven,C2_finbert_s1,measured:C2_finbert_s1,72,22.223,22.831,1.25313,3,215785,333192,2998,8994,4629,3.1307364500000006,0.5639607137499999,3.6946971637500003,03:41:41,1.8416096764705887,2.1733512727941178,02:10:24,1.8473485818750002,2.4631314425000004
event_driven,C2_finbert_s2,measured:C2_finbert_s2,4,19.802,20.663,0.903121,3,215785,333192,53947,161841,83299,40.60055715583333,7.313937961847221,47.91449511768055,47:54:52,23.88268067990196,28.184997128047385,28:11:06,23.957247558840276,31.942996745120368
event_driven,C2_finbert_s3,measured:C2_finbert_s3,4,19.804,20.665,0.903772,3,215785,333192,53947,161841,83299,40.62982340333333,7.319210094388889,47.94903349772222,47:56:57,23.899896119607842,28.20531382218954,28:12:19,23.97451674886111,31.966022331814813
event_driven,C2_finbert_s4,measured:C2_finbert_s4,4,19.909,20.78,0.905313,3,215785,333192,53947,161841,83299,40.699100342499996,7.331689904291666,48.03079024679166,48:01:51,23.940647260294117,28.253406027524505,28:15:12,24.01539512339583,32.02052683119444
event_driven,C3_roberta_s1,measured:C3_roberta_s1,72,22.391,22.995,1.199814,3,215785,333192,2998,8994,4629,2.99753531,0.5399662922499999,3.53750160225,03:32:15,1.7632560647058824,2.0808832954411765,02:04:51,1.768750801125,2.3583344015
event_driven,D1_concat_mlp,measured:D1_concat_mlp,72,22.223,22.833,1.268134,3,215785,333192,2998,8994,4629,3.1682214433333336,0.5707131389166666,3.73893458225,03:44:20,1.8636596725490198,2.199373283676471,02:11:58,1.869467291125,2.4926230548333335
event_driven,D2_gated_fusion,measured:D2_gated_fusion,72,22.223,22.833,1.26887,3,215785,333192,2998,8994,4629,3.1700602166666663,0.5710443695833333,3.7411045862499996,03:44:28,1.8647413039215683,2.200649756617647,02:12:02,1.8705522931249998,2.4940697241666663
