disc,model,h,DM,p,holm,bh
long_form,C3_roberta_s1,5,24.1456674802164,2.2957708739096227e-124,8.953506408247528e-123,6.887312621728869e-124
long_form,C3_roberta_s1,10,21.841316174985412,9.578681376907227e-103,3.160964854379385e-101,2.1839393539348477e-102
long_form,C3_roberta_s1,20,15.880173035324603,6.335221476986965e-56,5.7016993292882685e-55,7.369543350780755e-56
long_form,C4_longformer,5,18.57072963822013,2.147299569827338e-75,5.153518967585611e-74,3.599884572945832e-75
long_form,C4_longformer,10,20.0086872560859,6.290918358269924e-87,1.887275507480977e-85,1.2806512372192345e-86
long_form,C4_longformer,20,16.42703911247742,1.1853000785643852e-59,1.4223600942772623e-58,1.4687414016993468e-59
long_form,D1_concat_mlp,5,9.421959689336372,5.693591846821809e-21,5.693591846821809e-21,5.693591846821809e-21
long_form,D1_concat_mlp,10,17.240062727625645,2.047810616269935e-65,3.276496986031896e-64,2.779171550652055e-65
long_form,D1_concat_mlp,20,13.476284061933628,6.097869294540656e-41,2.4391477178162622e-40,6.436639810904026e-41
long_form,D2_gated_fusion,5,18.000506525438258,4.901623594445482e-71,1.0293409548335513e-69,7.551149861713311e-71
long_form,D2_gated_fusion,10,15.473936017325014,3.104547135692174e-53,2.483637708553739e-52,3.539183734689078e-53
long_form,D2_gated_fusion,20,11.30301844129498,2.1302992153170626e-29,4.260598430634125e-29,2.1683402727334386e-29
event_driven,B1_bow_ridge,5,34.915024533056474,7.57128223406619e-261,4.012779584055081e-259,8.631261746835457e-260
event_driven,B1_bow_ridge,10,32.67544624222127,2.3213344159815413e-229,1.1374538638309552e-227,1.470178463454976e-228
event_driven,B1_bow_ridge,20,29.307174618331214,1.251696848775636e-185,5.382296449735234e-184,4.756448025347417e-185
event_driven,B2_tfidf_ridge,5,39.154128581995025,0.0,0.0,0.0
event_driven,B2_tfidf_ridge,10,35.47638842148078,5.2866230267534706e-269,2.854776434446874e-267,7.533437813123696e-268
event_driven,B2_tfidf_ridge,20,32.00839520864009,2.5967535229353116e-220,1.2464416910089495e-218,1.4801495080731276e-219
event_driven,B3_lm_linear,5,37.611927032979025,3.1000483711467468e-301,1.7360270878421782e-299,8.835137857768229e-300
event_driven,B3_lm_linear,10,33.5068678948228,8.093909283417517e-241,4.208832827377108e-239,7.68921381924664e-240
event_driven,B3_lm_linear,20,30.067359744651924,4.1977594963850726e-195,1.8889917733732827e-193,1.8405560868765318e-194
event_driven,B4_lm_features,5,37.1558996030531,3.234993548182746e-294,1.7792464515005104e-292,6.146487741547218e-293
event_driven,B4_lm_features,10,32.88848312124582,2.851221199483954e-232,1.425610599741977e-230,2.0314951046323173e-231
event_driven,B4_lm_features,20,29.54013679639115,1.6518062027219298e-188,7.267947291976491e-187,6.725210968224999e-188
event_driven,C2_finbert_s1,5,26.393090791743425,1.915749162660959e-151,8.046146483176028e-150,6.824856391979667e-151
event_driven,C2_finbert_s1,10,33.34128230634468,1.625624602542181e-238,8.290685472965124e-237,1.3237228906414903e-237
event_driven,C2_finbert_s1,20,30.136928675044828,5.555319414252771e-196,2.5554469305562745e-194,2.638776721770066e-195
event_driven,D2_gated_fusion,5,26.00299604429167,4.0633087453535396e-147,1.6659565855949513e-145,1.3624035205008928e-146
event_driven,D2_gated_fusion,10,31.204134979976853,9.847884018241215e-210,4.628505488573371e-208,5.102994445815903e-209
event_driven,D2_gated_fusion,20,17.321997333581912,7.965810571667499e-67,1.5135040086168249e-65,1.1642338527821729e-66
