part,metric,group,value
impact,rel_impr_pct,long_form|B2_tfidf_ridge|h20|ALL_rows,5.9198595954670425
impact,g_log_text_coef,long_form|B2_tfidf_ridge|h20|ALL_rows,0.2044249337080748
impact,dm_q_clustered,long_form|B2_tfidf_ridge|h20|ALL_rows,-9.041621963712146
impact,p_q_clustered,long_form|B2_tfidf_ridge|h20|ALL_rows,1.1651051953355876e-18
impact,genuine_flag,long_form|B2_tfidf_ridge|h20|ALL_rows,1.0
impact,n_obs,long_form|B2_tfidf_ridge|h20|ret_match_ok_only,7097.0
impact,n_days,long_form|B2_tfidf_ridge|h20|ret_match_ok_only,765.0
impact,qlike_R,long_form|B2_tfidf_ridge|h20|ret_match_ok_only,0.07117849804596708
impact,qlike_U,long_form|B2_tfidf_ridge|h20|ret_match_ok_only,0.06742725288633102
impact,rel_impr_pct,long_form|B2_tfidf_ridge|h20|ret_match_ok_only,5.270194317971579
impact,g_log_text_coef,long_form|B2_tfidf_ridge|h20|ret_match_ok_only,0.17814821268328654
impact,dm_q_clustered,long_form|B2_tfidf_ridge|h20|ret_match_ok_only,-9.320346136055697
impact,p_q_clustered,long_form|B2_tfidf_ridge|h20|ret_match_ok_only,1.2162962931589468e-19
impact,genuine_flag,long_form|B2_tfidf_ridge|h20|ret_match_ok_only,1.0
impact,n_obs,event_driven|C6_llmtext|h5|ALL_rows,25109.0
impact,n_days,event_driven|C6_llmtext|h5|ALL_rows,996.0
impact,qlike_R,event_driven|C6_llmtext|h5|ALL_rows,0.12651030538164323
impact,qlike_U,event_driven|C6_llmtext|h5|ALL_rows,0.12497435605435057
impact,rel_impr_pct,event_driven|C6_llmtext|h5|ALL_rows,1.2140902851029933
impact,g_log_text_coef,event_driven|C6_llmtext|h5|ALL_rows,0.2638315433787111
impact,dm_q_clustered,event_driven|C6_llmtext|h5|ALL_rows,-5.0439839407429865
impact,p_q_clustered,event_driven|C6_llmtext|h5|ALL_rows,5.416951736539056e-07
impact,genuine_flag,event_driven|C6_llmtext|h5|ALL_rows,1.0
impact,n_obs,event_driven|C6_llmtext|h5|ret_match_ok_only,23855.0
impact,n_days,event_driven|C6_llmtext|h5|ret_match_ok_only,996.0
impact,qlike_R,event_driven|C6_llmtext|h5|ret_match_ok_only,0.12676625233266667
impact,qlike_U,event_driven|C6_llmtext|h5|ret_match_ok_only,0.12524215696220797
impact,rel_impr_pct,event_driven|C6_llmtext|h5|ret_match_ok_only,1.2022879452640782
impact,g_log_text_coef,event_driven|C6_llmtext|h5|ret_match_ok_only,0.26622519311166215
impact,dm_q_clustered,event_driven|C6_llmtext|h5|ret_match_ok_only,-4.800164805469856
impact,p_q_clustered,event_driven|C6_llmtext|h5|ret_match_ok_only,1.8283944580383642e-06
impact,genuine_flag,event_driven|C6_llmtext|h5|ret_match_ok_only,1.0
