variant,disc,model,h,n_test,n_days,cov_firm,cov_obs,qlike_Rfirm,qlike_Ufirm,rel_firm_pct,g_text_firm,dmclu_firm,pclu_firm,qlike_R_a2,rel_zerotext_pct,dmclu_zerotext,pclu_zerotext,pclu_firm_holm,survives_raw,survives_holm,lf_flip_neg,zerotext_beats
ebshrink,long_form,B1_bow_ridge,20,7097,765,0.6287069988137604,0.9147794994040525,0.07142746050763932,0.07494098776748905,-4.9190146686986695,-0.13907399577730994,4.487846724708064,8.30260163148658e-06,0.07117849804596708,-0.34977200770863914,-3.6890048406226974,0.00024109898343194696,0.00043193079448460454,False,False,True,True
valmean,long_form,B2_tfidf_ridge,5,7550,792,0.6287069988137604,0.9147794994040525,0.12068632633532952,0.12142824960417706,-0.6147533787598136,-0.03971274519881407,4.190516371471096,3.096922349164898e-05,0.12089601073739074,0.1734419529497081,-2.2597499735426427,0.024108042486087708,0.0015174919510908002,False,False,True,True
trainmean,long_form,B2_tfidf_ridge,5,7550,792,0.8564650059311981,0.8354726322545154,0.11785624594542209,0.11643573049069406,1.2052950128632598,0.13283525028116977,-3.5146679158081913,0.0004653351496905785,0.12089601073739074,2.514363189842226,-4.95549541034538,8.827739955379923e-07,0.023732092634219503,True,True,False,True
pit252,long_form,B2_tfidf_ridge,5,7550,792,0.9869513641755635,0.9908315760520766,0.1201947350855453,0.11698858743523172,2.667460973254527,0.2583704527929946,-3.570525761074101,0.0003777763730533555,0.12089601073739074,0.5800651713551945,-5.033305400052268,5.972190312471748e-07,0.021155476890987908,True,True,False,True
ebshrink,long_form,B2_tfidf_ridge,5,7550,792,0.6287069988137604,0.9147794994040525,0.11961591285367523,0.12027332387343216,-0.5496016408461741,-0.0352559436511912,4.297438827193341,1.943195083055723e-05,0.12089601073739074,1.0588421205196992,-2.9043437320123457,0.003782769608198032,0.0009715975415278615,False,False,True,True
valmean,long_form,B2_tfidf_ridge,10,7167,766,0.6287069988137604,0.9147794994040525,0.08479433414751607,0.08809467328432134,-3.892169412007764,-0.1730985952932001,7.022506519527929,4.816848945947461e-12,0.08626101480499217,1.7002821735772327,-4.079676051722471,4.9830532087682944e-05,3.2272887937847986e-10,False,False,True,True
trainmean,long_form,B2_tfidf_ridge,10,7167,766,0.8564650059311981,0.8354726322545154,0.08365949918791239,0.08351143102320618,0.17698906417503626,0.011120818581632436,-7.074878754952717,3.3830338279861052e-12,0.08626101480499217,3.0158648410999422,-5.943186266298732,4.245423877505841e-09,2.2328023264708295e-10,True,True,False,True
pit252,long_form,B2_tfidf_ridge,10,7167,766,0.9869513641755635,0.9908315760520766,0.08730225368122678,0.08459833420942396,3.0971932084088465,0.2521569326755341,-4.898162099649948,1.1809167011962763e-06,0.08626101480499217,-1.2070793261457817,6.554833693308014,1.0238167481157834e-10,7.675958557775796e-05,True,True,False,False
ebshrink,long_form,B2_tfidf_ridge,10,7167,766,0.6287069988137604,0.9147794994040525,0.08410503426700165,0.08740053674503412,-3.918317740137283,-0.17082713395919089,7.326591832456715,6.003913779585922e-13,0.08626101480499217,2.4993683912303597,-4.495868193479703,8.00193668996532e-06,4.022622232322568e-11,False,False,True,True
valmean,long_form,B2_tfidf_ridge,20,7097,765,0.6287069988137604,0.9147794994040525,0.07216831322662616,0.07800636173450227,-8.089490036358773,-0.2592826237703912,8.148036436520531,1.5077881703534382e-15,0.07117849804596708,-1.3906098159304419,-3.134625208878448,0.0017865621376260818,1.025295955840338e-13,False,False,True,True
trainmean,long_form,B2_tfidf_ridge,20,7097,765,0.8564650059311981,0.8354726322545154,0.06874041209595662,0.06949150258648942,-1.0926476400582776,-0.04314535769430361,8.808001599730275,8.463480887338474e-18,0.07117849804596708,3.425312442580552,-5.519766602079083,4.6523307762380436e-08,5.839801812263547e-16,False,False,True,True
pit252,long_form,B2_tfidf_ridge,20,7097,765,0.9869513641755635,0.9908315760520766,0.07920668633014243,0.07628944328496223,3.6830767455929085,0.44234186920650936,-3.4641100623741656,0.0005616371480197679,0.07117849804596708,-11.278951515653977,7.931922659751185,7.664828630594374e-15,0.030328405993067468,True,True,False,False
ebshrink,long_form,B2_tfidf_ridge,20,7097,765,0.6287069988137604,0.9147794994040525,0.07142746050763932,0.07732210889311289,-8.252636092029517,-0.2579691253715141,8.392701664583196,2.2926517054927976e-16,0.07117849804596708,-0.34977200770863914,-3.6890048406226974,0.00024109898343194696,1.5590031597351024e-14,False,False,True,True
valmean,long_form,B3_lm_linear,5,7550,792,0.6287069988137604,0.9147794994040525,0.12068632633532952,0.12043605791118978,0.20737098537938167,0.1551644586069048,-1.8072493807800871,0.07110322490409808,0.12089601073739074,0.1734419529497081,-2.2597499735426427,0.024108042486087708,1.0,False,False,False,True
trainmean,long_form,B3_lm_linear,5,7550,792,0.8564650059311981,0.8354726322545154,0.11785624594542209,0.11782202418583718,0.029036865471480842,0.5437530438314171,-1.5194992906558509,0.12903645674530817,0.12089601073739074,2.514363189842226,-4.95549541034538,8.827739955379923e-07,1.0,False,False,False,True
pit252,long_form,B3_lm_linear,5,7550,792,0.9869513641755635,0.9908315760520766,0.1201947350855453,0.1202845943741091,-0.0747614182100744,0.6236336280194756,-1.3725575897573823,0.17027896295600212,0.12089601073739074,0.5800651713551945,-5.033305400052268,5.972190312471748e-07,1.0,False,False,True,True
ebshrink,long_form,B3_lm_linear,5,7550,792,0.6287069988137604,0.9147794994040525,0.11961591285367523,0.1193482564934696,0.22376317148794003,0.1660743939991779,-1.7478460687605786,0.08087868139261188,0.12089601073739074,1.0588421205196992,-2.9043437320123457,0.003782769608198032,1.0,False,False,False,True
valmean,long_form,B3_lm_linear,10,7167,766,0.6287069988137604,0.9147794994040525,0.08479433414751607,0.08457342017394552,0.26052916835955614,0.07586186729171054,-3.6299390954490334,0.0003023557110340466,0.08626101480499217,1.7002821735772327,-4.079676051722471,4.9830532087682944e-05,0.012094228441361864,True,True,False,True
trainmean,long_form,B3_lm_linear,10,7167,766,0.8564650059311981,0.8354726322545154,0.08365949918791239,0.08276815879723584,1.0654383534790954,0.4724741949344572,-3.5604414946072374,0.00039311161626622026,0.08626101480499217,3.0158648410999422,-5.943186266298732,4.245423877505841e-09,0.020834915662109675,True,True,False,True
pit252,long_form,B3_lm_linear,10,7167,766,0.9869513641755635,0.9908315760520766,0.08730225368122678,0.08665825356513522,0.7376672295804004,0.6188834538560791,-2.6660481147898762,0.007836879432100043,0.08626101480499217,-1.2070793261457817,6.554833693308014,1.0238167481157834e-10,0.3291489361482018,True,False,False,False
ebshrink,long_form,B3_lm_linear,10,7167,766,0.6287069988137604,0.9147794994040525,0.08410503426700165,0.08385655048300662,0.2954446022888325,0.08487510864161918,-3.621799684719769,0.0003118648049036997,0.08626101480499217,2.4993683912303597,-4.495868193479703,8.00193668996532e-06,0.012162727391244289,True,True,False,True
valmean,long_form,B3_lm_linear,20,7097,765,0.6287069988137604,0.9147794994040525,0.07216831322662616,0.07218050219415124,-0.016889638928940735,-0.0023943901319894824,3.465776861660725,0.0005582210182061665,0.07117849804596708,-1.3906098159304419,-3.134625208878448,0.0017865621376260818,0.020095956655421996,False,False,True,True
trainmean,long_form,B3_lm_linear,20,7097,765,0.8564650059311981,0.8354726322545154,0.06874041209595662,0.06711951587781997,2.3579960735091188,0.45478206383676995,-3.5077333929120105,0.00047835899089721933,0.07117849804596708,3.425312442580552,-5.519766602079083,4.6523307762380436e-08,0.023732092634219503,True,True,False,True
pit252,long_form,B3_lm_linear,20,7097,765,0.9869513641755635,0.9908315760520766,0.07920668633014243,0.07802602162582822,1.4906124205134124,0.7621041213112765,-1.5833742531056427,0.11375002351579246,0.07117849804596708,-11.278951515653977,7.931922659751185,7.664828630594374e-15,1.0,False,False,False,False
ebshrink,long_form,B3_lm_linear,20,7097,765,0.6287069988137604,0.9147794994040525,0.07142746050763932,0.07137196257569725,0.07769831315244806,0.010905754868741251,-3.482082263673236,0.0005258104572673291,0.07117849804596708,-0.34977200770863914,-3.6890048406226974,0.00024109898343194696,0.019454986918891175,True,True,False,True
valmean,long_form,B4_lm_features,5,7550,792,0.6287069988137604,0.9147794994040525,0.12068632633532952,0.12085398805353667,-0.13892354113198738,-0.19895660309228227,-1.4120615526624298,0.15832511027020024,0.12089601073739074,0.1734419529497081,-2.2597499735426427,0.024108042486087708,1.0,False,False,True,True
trainmean,long_form,B4_lm_features,5,7550,792,0.8564650059311981,0.8354726322545154,0.11785624594542209,0.11783943014985665,0.014268056334683813,0.02462318318016599,1.2467144568687532,0.2128712646361901,0.12089601073739074,2.514363189842226,-4.95549541034538,8.827739955379923e-07,1.0,False,False,False,True
pit252,long_form,B4_lm_features,5,7550,792,0.9869513641755635,0.9908315760520766,0.1201947350855453,0.12012947083098204,0.054298763183610856,0.13656422377404687,1.8441043459321291,0.06554173837865813,0.12089601073739074,0.5800651713551945,-5.033305400052268,5.972190312471748e-07,1.0,False,False,False,True
ebshrink,long_form,B4_lm_features,5,7550,792,0.6287069988137604,0.9147794994040525,0.11961591285367523,0.11985638716976857,-0.20103873335607605,-0.24213139566264388,-1.3415383708576032,0.1801307341157503,0.12089601073739074,1.0588421205196992,-2.9043437320123457,0.003782769608198032,1.0,False,False,True,True
valmean,long_form,B4_lm_features,10,7167,766,0.6287069988137604,0.9147794994040525,0.08479433414751607,0.08714082411442417,-2.7672721184718916,-0.5556892992617466,4.100921027127025,4.555838820125908e-05,0.08626101480499217,1.7002821735772327,-4.079676051722471,4.9830532087682944e-05,0.0020501274690566586,False,False,True,True
trainmean,long_form,B4_lm_features,10,7167,766,0.8564650059311981,0.8354726322545154,0.08365949918791239,0.08462481170003586,-1.1538588223618467,-0.2893276105572561,3.130453101678736,0.0018117167532771643,0.08626101480499217,3.0158648410999422,-5.943186266298732,4.245423877505841e-09,0.07971553714419523,False,False,True,True
pit252,long_form,B4_lm_features,10,7167,766,0.9869513641755635,0.9908315760520766,0.08730225368122678,0.08771993679191811,-0.47843336578280166,-0.1773812762572241,1.8785689756953017,0.06068343533262369,0.08626101480499217,-1.2070793261457817,6.554833693308014,1.0238167481157834e-10,1.0,False,False,True,False
ebshrink,long_form,B4_lm_features,10,7167,766,0.6287069988137604,0.9147794994040525,0.08410503426700165,0.08649141507061814,-2.837381643577518,-0.5587433066034897,4.002257402951702,6.884498481284478e-05,0.08626101480499217,2.4993683912303597,-4.495868193479703,8.00193668996532e-06,0.002977165911883971,False,False,True,True
valmean,long_form,B4_lm_features,20,7097,765,0.6287069988137604,0.9147794994040525,0.07216831322662616,0.0773159265168419,-7.132788699177395,-0.6475936297434571,4.62143730361703,4.472532797079435e-06,0.07117849804596708,-1.3906098159304419,-3.134625208878448,0.0017865621376260818,0.0002504618366364484,False,False,True,True
trainmean,long_form,B4_lm_features,20,7097,765,0.8564650059311981,0.8354726322545154,0.06874041209595662,0.07102212943309795,-3.3193244956928973,-0.3437798551932771,3.1893375685461702,0.0014841811684139631,0.07117849804596708,3.425312442580552,-5.519766602079083,4.6523307762380436e-08,0.06678815257862834,False,False,True,True
pit252,long_form,B4_lm_features,20,7097,765,0.9869513641755635,0.9908315760520766,0.07920668633014243,0.07946150791926736,-0.3217172702602486,-0.06245403786929212,0.7531659853865599,0.4515821965460514,0.07117849804596708,-11.278951515653977,7.931922659751185,7.664828630594374e-15,1.0,False,False,True,False
ebshrink,long_form,B4_lm_features,20,7097,765,0.6287069988137604,0.9147794994040525,0.07142746050763932,0.07674333307254826,-7.442337340749214,-0.6593265567116938,4.540065855230799,6.531489748819029e-06,0.07117849804596708,-0.34977200770863914,-3.6890048406226974,0.00024109898343194696,0.00035270044643622757,False,False,True,True
valmean,long_form,C1_bert_s1,5,7550,792,0.6287069988137604,0.9147794994040525,0.12068632633532952,0.1211091528723672,-0.3503516511579339,0.3327586292850145,1.0662620751014313,0.2866305257433084,0.12089601073739074,0.1734419529497081,-2.2597499735426427,0.024108042486087708,1.0,False,False,True,True
trainmean,long_form,C1_bert_s1,5,7550,792,0.8564650059311981,0.8354726322545154,0.11785624594542209,0.11785981612787166,-0.003029268768013315,0.1609488565282164,-1.210706031216843,0.22636971436934286,0.12089601073739074,2.514363189842226,-4.95549541034538,8.827739955379923e-07,1.0,False,False,True,True
pit252,long_form,C1_bert_s1,5,7550,792,0.9869513641755635,0.9908315760520766,0.1201947350855453,0.12014404575447737,0.04217267173296141,0.22747003466998023,-1.7732524637648137,0.07657161938910365,0.12089601073739074,0.5800651713551945,-5.033305400052268,5.972190312471748e-07,1.0,False,False,False,True
ebshrink,long_form,C1_bert_s1,5,7550,792,0.6287069988137604,0.9147794994040525,0.11961591285367523,0.12000772594209629,-0.3275593347687389,0.3424800831576331,0.727845437144845,0.4669235953967721,0.12089601073739074,1.0588421205196992,-2.9043437320123457,0.003782769608198032,1.0,False,False,True,True
valmean,long_form,C1_bert_s1,10,7167,766,0.6287069988137604,0.9147794994040525,0.08479433414751607,0.08993249795302316,-6.059560296290867,-0.4344176563155404,3.2621548366967374,0.0011547244849794416,0.08626101480499217,1.7002821735772327,-4.079676051722471,4.9830532087682944e-05,0.03926063248930101,False,False,True,True
trainmean,long_form,C1_bert_s1,10,7167,766,0.8564650059311981,0.8354726322545154,0.08365949918791239,0.0858257991928459,-2.58942502161967,-0.5087367902015677,1.2373364105953957,0.21634187473570635,0.08626101480499217,3.0158648410999422,-5.943186266298732,4.245423877505841e-09,1.0,False,False,True,True
pit252,long_form,C1_bert_s1,10,7167,766,0.9869513641755635,0.9908315760520766,0.08730225368122678,0.08758971240920865,-0.32926839326679125,-0.16010026973796432,0.9312768484230477,0.35200416964566433,0.08626101480499217,-1.2070793261457817,6.554833693308014,1.0238167481157834e-10,1.0,False,False,True,False
ebshrink,long_form,C1_bert_s1,10,7167,766,0.6287069988137604,0.9147794994040525,0.08410503426700165,0.08890670619577448,-5.709137354999867,-0.42245548400701416,3.1409054226944133,0.0017490896139390763,0.08626101480499217,2.4993683912303597,-4.495868193479703,8.00193668996532e-06,0.05771995725998952,False,False,True,True
valmean,long_form,C1_bert_s1,20,7097,765,0.6287069988137604,0.9147794994040525,0.07216831322662616,0.0763513254708336,-5.7961895701674,-0.26993962953349926,5.924558040495467,4.7345384972382565e-09,0.07117849804596708,-1.3906098159304419,-3.134625208878448,0.0017865621376260818,3.030104638232484e-07,False,False,True,True
trainmean,long_form,C1_bert_s1,20,7097,765,0.8564650059311981,0.8354726322545154,0.06874041209595662,0.07346935612678335,-6.87942345213972,-0.3825004892940999,5.902541471681566,5.3803567006631304e-09,0.07117849804596708,3.425312442580552,-5.519766602079083,4.6523307762380436e-08,3.4434282884244035e-07,False,False,True,True
pit252,long_form,C1_bert_s1,20,7097,765,0.9869513641755635,0.9908315760520766,0.07920668633014243,0.07762809093087414,1.9930077527653702,0.25523706685338704,-3.1077553857490954,0.0019549788874999563,0.07117849804596708,-11.278951515653977,7.931922659751185,7.664828630594374e-15,0.09970392326249777,True,False,False,False
ebshrink,long_form,C1_bert_s1,20,7097,765,0.6287069988137604,0.9147794994040525,0.07142746050763932,0.07526210640422953,-5.368587752297442,-0.2505078032635435,6.21857585918073,8.25363994374002e-10,0.07117849804596708,-0.34977200770863914,-3.6890048406226974,0.00024109898343194696,5.3648659634310125e-08,False,False,True,True
valmean,long_form,C2_finbert_s1,5,7550,792,0.6287069988137604,0.9147794994040525,0.12068632633532952,0.1209058944310012,-0.18193286873411624,-0.03079127483693651,1.8921781079886257,0.05883220712579468,0.12089601073739074,0.1734419529497081,-2.2597499735426427,0.024108042486087708,1.0,False,False,True,True
trainmean,long_form,C2_finbert_s1,5,7550,792,0.8564650059311981,0.8354726322545154,0.11785624594542209,0.11817775630037607,-0.27279874085151823,-0.08601810930997575,-0.08815958547883271,0.9297721523800635,0.12089601073739074,2.514363189842226,-4.95549541034538,8.827739955379923e-07,1.0,False,False,True,True
pit252,long_form,C2_finbert_s1,5,7550,792,0.9869513641755635,0.9908315760520766,0.1201947350855453,0.11980275304758299,0.32612246924404004,0.07692225704123039,-0.30516610250678833,0.7603199293416012,0.12089601073739074,0.5800651713551945,-5.033305400052268,5.972190312471748e-07,1.0,False,False,False,True
ebshrink,long_form,C2_finbert_s1,5,7550,792,0.6287069988137604,0.9147794994040525,0.11961591285367523,0.11972610692188244,-0.09212325147909944,-0.015880339342709496,2.0804650734005774,0.037804220192438565,0.12089601073739074,1.0588421205196992,-2.9043437320123457,0.003782769608198032,0.869497064426087,False,False,True,True
valmean,long_form,C2_finbert_s1,10,7167,766,0.6287069988137604,0.9147794994040525,0.08479433414751607,0.085306918495267,-0.6045030636825292,-0.03293710836109188,4.092516038266525,4.720518230712602e-05,0.08626101480499217,1.7002821735772327,-4.079676051722471,4.9830532087682944e-05,0.0020770280215135447,False,False,True,True
trainmean,long_form,C2_finbert_s1,10,7167,766,0.8564650059311981,0.8354726322545154,0.08365949918791239,0.08264153422285858,1.216795432599114,0.11045689757411577,-3.0973837881962893,0.0020237107603999667,0.08626101480499217,3.0158648410999422,-5.943186266298732,4.245423877505841e-09,0.0849958519367986,True,False,False,True
pit252,long_form,C2_finbert_s1,10,7167,766,0.9869513641755635,0.9908315760520766,0.08730225368122678,0.08468343324111223,2.999716879791951,0.31635398139236076,-2.75026699689964,0.006095319148091129,0.08626101480499217,-1.2070793261457817,6.554833693308014,1.0238167481157834e-10,0.26819404251600965,True,False,False,False
ebshrink,long_form,C2_finbert_s1,10,7167,766,0.6287069988137604,0.9147794994040525,0.08410503426700165,0.08437900185568403,-0.32574457768204124,-0.018153383816161835,4.242524873573604,2.481147152040549e-05,0.08626101480499217,2.4993683912303597,-4.495868193479703,8.00193668996532e-06,0.001166139161459058,False,False,True,True
valmean,long_form,C2_finbert_s1,20,7097,765,0.6287069988137604,0.9147794994040525,0.07216831322662616,0.0728348540813013,-0.9235921207996672,-1.063576357690709,0.170164539342715,0.8649257881960941,0.07117849804596708,-1.3906098159304419,-3.134625208878448,0.0017865621376260818,1.0,False,False,True,True
trainmean,long_form,C2_finbert_s1,20,7097,765,0.8564650059311981,0.8354726322545154,0.06874041209595662,0.06909432153846318,-0.5148491720016557,-1.1410944285114302,-0.4686087740926161,0.6394829771879911,0.07117849804596708,3.425312442580552,-5.519766602079083,4.6523307762380436e-08,1.0,False,False,True,True
pit252,long_form,C2_finbert_s1,20,7097,765,0.9869513641755635,0.9908315760520766,0.07920668633014243,0.07920616737713576,0.0006551883820786886,0.012084708486005635,1.488795105110455,0.13695398081591997,0.07117849804596708,-11.278951515653977,7.931922659751185,7.664828630594374e-15,1.0,False,False,False,False
ebshrink,long_form,C2_finbert_s1,20,7097,765,0.6287069988137604,0.9147794994040525,0.07142746050763932,0.07202695242687816,-0.8393017405045899,-0.9961089295061732,0.7157609508786659,0.47435766331041584,0.07117849804596708,-0.34977200770863914,-3.6890048406226974,0.00024109898343194696,1.0,False,False,True,True
valmean,long_form,C2_finbert_s2,5,7550,792,0.6287069988137604,0.9147794994040525,0.12068632633532952,0.12105689167446392,-0.3070483213688739,-0.0539889197809758,2.4394572051691514,0.014928101116735613,0.12089601073739074,0.1734419529497081,-2.2597499735426427,0.024108042486087708,0.3732025279183903,False,False,True,True
trainmean,long_form,C2_finbert_s2,5,7550,792,0.8564650059311981,0.8354726322545154,0.11785624594542209,0.11752968434833948,0.2770846758803395,0.13328567269188643,-1.1321342707024131,0.25792106871172465,0.12089601073739074,2.514363189842226,-4.95549541034538,8.827739955379923e-07,1.0,False,False,False,True
pit252,long_form,C2_finbert_s2,5,7550,792,0.9869513641755635,0.9908315760520766,0.1201947350855453,0.11880653924583637,1.1549556132562095,0.2959918443780627,-2.7317924174708166,0.006439477629567987,0.12089601073739074,0.5800651713551945,-5.033305400052268,5.972190312471748e-07,0.2768975380714234,True,False,False,True
ebshrink,long_form,C2_finbert_s2,5,7550,792,0.6287069988137604,0.9147794994040525,0.11961591285367523,0.11991377834463189,-0.24901828180756688,-0.04408482818438287,2.6410973943154126,0.00842686796089367,0.12089601073739074,1.0588421205196992,-2.9043437320123457,0.003782769608198032,0.22709624445859045,False,False,True,True
valmean,long_form,C2_finbert_s2,10,7167,766,0.6287069988137604,0.9147794994040525,0.08479433414751607,0.08717026632417907,-2.801994025366848,-0.26086378210140687,4.234773762213006,2.5662503745537355e-05,0.08626101480499217,1.7002821735772327,-4.079676051722471,4.9830532087682944e-05,0.0012831251872768678,False,False,True,True
trainmean,long_form,C2_finbert_s2,10,7167,766,0.8564650059311981,0.8354726322545154,0.08365949918791239,0.08486624069333396,-1.442444094377175,-0.2788434802209853,3.6194462373489764,0.00031466613691735887,0.08626101480499217,3.0158648410999422,-5.943186266298732,4.245423877505841e-09,0.01730663753045474,False,False,True,True
pit252,long_form,C2_finbert_s2,10,7167,766,0.9869513641755635,0.9908315760520766,0.08730225368122678,0.08718826434256591,0.13056860946235108,0.024467627663984748,-3.9453329775259935,8.701786761687942e-05,0.08626101480499217,-1.2070793261457817,6.554833693308014,1.0238167481157834e-10,0.005221072057012765,True,True,False,False
ebshrink,long_form,C2_finbert_s2,10,7167,766,0.6287069988137604,0.9147794994040525,0.08410503426700165,0.08640556761247353,-2.7353099199372037,-0.25052697407049934,4.690116310455196,3.2335548570052303e-06,0.08626101480499217,2.4993683912303597,-4.495868193479703,8.00193668996532e-06,0.00017784551713528768,False,False,True,True
valmean,long_form,C2_finbert_s2,20,7097,765,0.6287069988137604,0.9147794994040525,0.07216831322662616,0.07576965545372355,-4.990198698129876,-1.828703676065018,0.8006680615629741,0.42357274566052233,0.07117849804596708,-1.3906098159304419,-3.134625208878448,0.0017865621376260818,1.0,False,False,True,True
trainmean,long_form,C2_finbert_s2,20,7097,765,0.8564650059311981,0.8354726322545154,0.06874041209595662,0.07200779872340088,-4.75322525399357,-2.1199487855059,0.45327794839518537,0.6504773173507293,0.07117849804596708,3.425312442580552,-5.519766602079083,4.6523307762380436e-08,1.0,False,False,True,True
pit252,long_form,C2_finbert_s2,20,7097,765,0.9869513641755635,0.9908315760520766,0.07920668633014243,0.0801577770219251,-1.200770712485586,-1.6924035284385983,-2.3097956094629453,0.021165206388301612,0.07117849804596708,-11.278951515653977,7.931922659751185,7.664828630594374e-15,0.8466082555320644,True,False,True,False
ebshrink,long_form,C2_finbert_s2,20,7097,765,0.6287069988137604,0.9147794994040525,0.07142746050763932,0.07479583773583816,-4.715801463834187,-1.810821494753742,0.8062496598033674,0.4203497958165399,0.07117849804596708,-0.34977200770863914,-3.6890048406226974,0.00024109898343194696,1.0,False,False,True,True
valmean,long_form,C2_finbert_s3,5,7550,792,0.6287069988137604,0.9147794994040525,0.12068632633532952,0.12208757473813782,-1.1610664151918055,-0.07805703792464593,4.026886766823743,6.196222525758465e-05,0.12089601073739074,0.1734419529497081,-2.2597499735426427,0.024108042486087708,0.00266437568607614,False,False,True,True
trainmean,long_form,C2_finbert_s3,5,7550,792,0.8564650059311981,0.8354726322545154,0.11785624594542209,0.1176333692703783,0.18910892100448654,0.03238603034195589,-1.905604284095499,0.057063856662188724,0.12089601073739074,2.514363189842226,-4.95549541034538,8.827739955379923e-07,1.0,False,False,False,True
pit252,long_form,C2_finbert_s3,5,7550,792,0.9869513641755635,0.9908315760520766,0.1201947350855453,0.11809152558081198,1.7498349684255452,0.17458204319615053,-3.3172969769146485,0.0009504351050940096,0.12089601073739074,0.5800651713551945,-5.033305400052268,5.972190312471748e-07,0.05037306056998251,True,False,False,True
ebshrink,long_form,C2_finbert_s3,5,7550,792,0.6287069988137604,0.9147794994040525,0.11961591285367523,0.12079566834184917,-0.9862864062385392,-0.06839356481039617,3.9599229782305105,8.173259211739398e-05,0.12089601073739074,1.0588421205196992,-2.9043437320123457,0.003782769608198032,0.0033510362768131535,False,False,True,True
valmean,long_form,C2_finbert_s3,10,7167,766,0.6287069988137604,0.9147794994040525,0.08479433414751607,0.0861168347214708,-1.559656770998391,-0.1425469302516582,2.6607321433981674,0.007960505929200532,0.08626101480499217,1.7002821735772327,-4.079676051722471,4.9830532087682944e-05,0.22289416601761491,False,False,True,True
