condition,draw,h,arm,kind,rel_pct,ci_lo,ci_hi,dm_month,p_month,n_months,dm_2way,p_2way,entity_coverage_test,n_test,n_train
B: entity UNSEEN (size-matched),1,3,entity-mean control (zero text),identity,-136.31397792321312,-156.2392025350136,-116.45799395794795,13.746322243839472,1.950426479023419e-13,27,8.058820737448874,1.5414618786373553e-08,0.0,3408,4145
B: entity UNSEEN (size-matched),1,3,TF-IDF (fitted),fitted,0.16637273189155957,-0.6719870348068343,0.9532498380972396,-0.3290341662812022,0.7447656563612773,27,-0.33437289360948846,0.7407805146832406,0.0,3408,4145
B: entity UNSEEN (size-matched),1,3,70B prompted (zero-shot),zero-shot,0.3076652540769582,-0.11242982409672031,0.7604272009912635,-0.9781126247774419,0.33703253794630683,27,-1.0462052731324274,0.3050956318702282,0.0,3408,4145
B: entity UNSEEN (size-matched),1,3,70B identity probe (zero-content),zero-shot,0.40632952612040246,0.11243053874702824,0.6939138522946381,-2.291407699952305,0.03028944048906888,27,-2.099628846183283,0.045616704464227824,0.0,3408,4145
B: entity UNSEEN (size-matched),2,3,entity-mean control (zero text),identity,-124.30841251101177,-142.59274688863997,-105.60818541474806,11.914033509902653,4.914861657158604e-12,27,7.23115206029998,1.11431366967241e-07,0.0,3408,4000
B: entity UNSEEN (size-matched),2,3,TF-IDF (fitted),fitted,0.5021159098950799,-0.5193083885594846,1.4512641446861523,-0.7558541975652494,0.456530550506319,27,-0.7555584621468595,0.4567048442360992,0.0,3408,4000
B: entity UNSEEN (size-matched),2,3,70B prompted (zero-shot),zero-shot,0.5140159986442642,-0.054558963754986284,1.1251339302606325,-1.2031151231108395,0.23977307999085418,27,-1.2765715529538408,0.2130384026177645,0.0,3408,4000
B: entity UNSEEN (size-matched),2,3,70B identity probe (zero-content),zero-shot,-0.32661137882519026,-0.4946748509426634,-0.15261360186346587,3.2128210169216564,0.0034899856622340494,27,2.7447329967648004,0.010833550066786577,0.0,3408,4000
B: entity UNSEEN (size-matched),3,3,entity-mean control (zero text),identity,-143.7716566732906,-165.35320167407016,-124.4103210321252,14.092753660101726,1.0994291616379469e-13,27,8.298968916475815,8.829744201957951e-09,0.0,3408,4117
B: entity UNSEEN (size-matched),3,3,TF-IDF (fitted),fitted,0.45633775765133905,-0.18577873835268746,1.086136027764075,-1.1339488054287172,0.2671635535500849,27,-1.1192690343831058,0.2732594615287145,0.0,3408,4117
B: entity UNSEEN (size-matched),3,3,70B prompted (zero-shot),zero-shot,0.4845012917057621,0.057614732387520115,0.9101730892447366,-1.599831293599163,0.12171868183988997,27,-1.7023849228367474,0.10061186500061325,0.0,3408,4117
B: entity UNSEEN (size-matched),3,3,70B identity probe (zero-content),zero-shot,0.005894318726064845,0.003442481912203976,0.008325618477593376,-4.076475550583648,0.00038287993513898093,27,-3.214702316824239,0.0034737278897711064,0.0,3408,4117
B: entity UNSEEN (size-matched),4,3,entity-mean control (zero text),identity,-150.30718866734986,-171.227554539425,-130.36356060176092,15.181990487842013,1.942804789417349e-14,27,8.697214427312346,3.5642919651972047e-09,0.0,3408,4046
B: entity UNSEEN (size-matched),4,3,TF-IDF (fitted),fitted,0.10509002048249319,-0.7934833148067124,1.0058055554975804,-0.18163937643743444,0.857274417024615,27,-0.16814125641109567,0.8677732726190988,0.0,3408,4046
B: entity UNSEEN (size-matched),4,3,70B prompted (zero-shot),zero-shot,0.8702576758675709,-0.12466896107731867,1.8599133912720316,-1.2476679401827497,0.22327353508072953,27,-1.323008602525543,0.19735085989487436,0.0,3408,4046
B: entity UNSEEN (size-matched),4,3,70B identity probe (zero-content),zero-shot,0.3927904873252363,0.07921903638310185,0.7100450614752597,-2.2300726943637477,0.034589828497128106,27,-1.8252012688088914,0.07948047629132604,0.0,3408,4046
B: entity UNSEEN (size-matched),5,3,entity-mean control (zero text),identity,-136.80474553525488,-156.60933917810294,-118.35641459544003,13.695491386585461,2.1235604639131018e-13,27,8.053897296486978,1.5592958017517574e-08,0.0,3408,3951
B: entity UNSEEN (size-matched),5,3,TF-IDF (fitted),fitted,0.14404374444031307,-0.6672902452014713,0.9280953940069362,-0.2520747778015572,0.8029652637212437,27,-0.2489640950742225,0.8053447623828797,0.0,3408,3951
B: entity UNSEEN (size-matched),5,3,70B prompted (zero-shot),zero-shot,0.4829356797901005,-0.24364554474982233,1.1567945355148956,-0.9476413795316202,0.3520373026046421,27,-1.0156021315307373,0.3191771683679702,0.0,3408,3951
B: entity UNSEEN (size-matched),5,3,70B identity probe (zero-content),zero-shot,0.1583317388673993,0.06956941688698651,0.24531843883711033,-2.9602856830610853,0.006479747003842529,27,-2.465593236954705,0.020595926920702473,0.0,3408,3951
B: entity UNSEEN (size-matched),6,3,entity-mean control (zero text),identity,-145.4105146692721,-166.6020683161861,-125.64210731470624,14.339669788079831,7.355416864738742e-14,27,8.351786706022628,7.81936204193091e-09,0.0,3408,4070
B: entity UNSEEN (size-matched),6,3,TF-IDF (fitted),fitted,0.47443054713067123,-0.290491012000075,1.2468286718717116,-1.0195880040778682,0.3173180185086259,27,-1.0105625796692619,0.32153857378740835,0.0,3408,4070
B: entity UNSEEN (size-matched),6,3,70B prompted (zero-shot),zero-shot,0.4570812915156988,-0.05226844523336441,0.9374240513896669,-1.2813070290026194,0.21139622170650935,27,-1.3714940950694758,0.18194207131461107,0.0,3408,4070
B: entity UNSEEN (size-matched),6,3,70B identity probe (zero-content),zero-shot,-0.005374541942982351,-0.007553443352355482,-0.0032403214314709714,4.120646425913056,0.00034109420409320524,27,3.346114799176432,0.002502061121857443,0.0,3408,4070
B: entity UNSEEN (size-matched),7,3,entity-mean control (zero text),identity,-155.843961555802,-179.25316967532476,-134.71651641732157,13.873733539548155,1.577641242938771e-13,27,7.969327097230261,1.9008894778641764e-08,0.0,3408,4004
B: entity UNSEEN (size-matched),7,3,TF-IDF (fitted),fitted,0.3660045687392574,-0.8645766919616814,1.5463333394892984,-0.4601113461499715,0.6492611051002793,27,-0.43233376391163086,0.6690635727720952,0.0,3408,4004
B: entity UNSEEN (size-matched),7,3,70B prompted (zero-shot),zero-shot,0.9001049189010634,-0.08022227796579673,1.8644105789732424,-1.267758422707848,0.21612056683707967,27,-1.343713103396885,0.19065132167469112,0.0,3408,4004
B: entity UNSEEN (size-matched),7,3,70B identity probe (zero-content),zero-shot,-0.3641381125426903,-0.5202909596413121,-0.21798806057628192,3.981081965580456,0.0004911380697951753,27,3.4331351492804414,0.00200943775922213,0.0,3408,4004
B: entity UNSEEN (size-matched),8,3,entity-mean control (zero text),identity,-162.19375364041852,-185.14974723740792,-139.41213426096766,14.855239294142283,3.233025533092955e-14,27,8.447189283936547,6.284199411846035e-09,0.0,3408,4085
B: entity UNSEEN (size-matched),8,3,TF-IDF (fitted),fitted,-0.06971083283230908,-1.1061828454187617,1.0196454919470144,0.09670584712188265,0.9237015899895299,27,0.09830301877408393,0.9224456373202976,0.0,3408,4085
B: entity UNSEEN (size-matched),8,3,70B prompted (zero-shot),zero-shot,0.5963717321553501,-0.1058477178491581,1.295396869945834,-1.205589833848202,0.23883333747408803,27,-1.2777983047933656,0.2126120536122821,0.0,3408,4085
B: entity UNSEEN (size-matched),8,3,70B identity probe (zero-content),zero-shot,0.029120369324902015,0.016323445500350465,0.041712870048439786,-3.7421833787308922,0.0009124494816349615,27,-3.0624975719458125,0.00505422649879827,0.0,3408,4085
B: entity UNSEEN (size-matched),9,3,entity-mean control (zero text),identity,-154.89084414315283,-177.15425170599565,-133.65760753525262,14.362759918089061,7.08604686160941e-14,27,8.27068900940715,9.424798876005537e-09,0.0,3408,4010
B: entity UNSEEN (size-matched),9,3,TF-IDF (fitted),fitted,0.21595902128993136,-0.5606486110136117,0.9814866500704668,-0.41006565164878334,0.6851171348142837,27,-0.4146105421167047,0.6818280646063926,0.0,3408,4010
B: entity UNSEEN (size-matched),9,3,70B prompted (zero-shot),zero-shot,0.5605352694896539,-0.013576945121925007,1.166658611439079,-1.3422643144942612,0.19111428080567855,27,-1.4269661886890486,0.16548943478093767,0.0,3408,4010
B: entity UNSEEN (size-matched),9,3,70B identity probe (zero-content),zero-shot,-0.4625794816964716,-0.6287694828789792,-0.30313245090790697,4.8793052278437665,4.62115419546838e-05,27,3.445816444497966,0.0019460075550157831,0.0,3408,4010
B: entity UNSEEN (size-matched),10,3,entity-mean control (zero text),identity,-146.6983116110878,-168.15018913409347,-127.39588199530854,14.16304451900471,9.800153981822502e-14,27,8.201495888758432,1.1060302824039058e-08,0.0,3408,4094
B: entity UNSEEN (size-matched),10,3,TF-IDF (fitted),fitted,-0.25037327285080974,-1.1629210697557395,0.651733061950657,0.4276569074097675,0.672422283343617,27,0.41492855751548463,0.6815981600108758,0.0,3408,4094
B: entity UNSEEN (size-matched),10,3,70B prompted (zero-shot),zero-shot,0.4071740376731389,-0.1503043280687969,0.933333354014556,-1.089853948727172,0.2857758328557826,27,-1.1625013647951612,0.25559162438570343,0.0,3408,4094
B: entity UNSEEN (size-matched),10,3,70B identity probe (zero-content),zero-shot,0.47873327192418863,0.16405569970010087,0.7758313802884537,-2.5562243007568584,0.01677049358424192,27,-2.1885132754010326,0.037809741357036145,0.0,3408,4094
B: entity UNSEEN (size-matched),11,3,entity-mean control (zero text),identity,-162.72791643091887,-185.75688452198762,-140.07722230216038,14.776211891889075,3.66173291822744e-14,27,8.370739079672083,7.486396364359514e-09,0.0,3408,4014
B: entity UNSEEN (size-matched),11,3,TF-IDF (fitted),fitted,-0.48691413462177563,-1.5343783040597132,0.4655703202679883,0.7816148530779716,0.4415008501695942,27,0.7859341035520612,0.43901050256316304,0.0,3408,4014
B: entity UNSEEN (size-matched),11,3,70B prompted (zero-shot),zero-shot,0.7660847200952766,-0.11359705160674569,1.7399863342448427,-1.153377359500466,0.2592487092494801,27,-1.2198560345115994,0.23346950676186864,0.0,3408,4014
B: entity UNSEEN (size-matched),11,3,70B identity probe (zero-content),zero-shot,-0.22163459586853174,-0.31320371928359114,-0.13138154339181735,4.133148381109234,0.0003301088505064494,27,3.2130892750338784,0.003487662967594797,0.0,3408,4014
