disc,model,h,window,n_fit,n_test,qlike_R,qlike_U,rel_impr_pct
long_form,B2_tfidf_ridge,10,calm_2021,1793,7167,0.08432720638921434,0.08425987589258076,0.0798443343691717
long_form,B2_tfidf_ridge,10,covid_2020,1816,7167,0.11253393362770972,0.11166014628475349,0.7764656533263468
long_form,B2_tfidf_ridge,10,alt_2018_19,3469,7167,0.09590837617663917,0.12361886904489157,-28.892672332619448
long_form,B2_tfidf_ridge,20,committed_val,3627,7097,0.0730509257028507,0.07011949584836874,4.012857915594576
long_form,B2_tfidf_ridge,20,calm_2021,1790,7097,0.058277594256508976,0.058268807901766174,0.015076728637987619
long_form,B2_tfidf_ridge,20,covid_2020,1837,7097,0.13814061777810532,0.13458389666536438,2.5747105883470756
long_form,B2_tfidf_ridge,20,alt_2018_19,3424,7097,0.06355696553435182,0.08770431010537105,-37.99323074662503
long_form,B3_lm_linear,5,committed_val,3734,7550,0.11744442357261446,0.11770386001001891,-0.2209014523742299
long_form,B3_lm_linear,5,calm_2021,1862,7550,0.12511113674185814,0.12705593088116607,-1.5544532564839695
long_form,B3_lm_linear,5,covid_2020,1872,7550,0.12914904552629072,0.12791171240763247,0.9580660186964948
long_form,B3_lm_linear,5,alt_2018_19,3663,7550,0.1347603875916218,0.13442338440304424,0.2500758528528429
long_form,B3_lm_linear,10,committed_val,3609,7167,0.0856353741087057,0.08508675043971803,0.6406507529134456
long_form,B3_lm_linear,10,calm_2021,1793,7167,0.08432720638921434,0.08562366891991208,-1.53741904447051
long_form,B3_lm_linear,10,covid_2020,1816,7167,0.11253393362770972,0.11119977383557808,1.1855622114351503
long_form,B3_lm_linear,10,alt_2018_19,3469,7167,0.09590837617663917,0.09554761835516304,0.37614839897998176
long_form,B3_lm_linear,20,committed_val,3627,7097,0.0730509257028507,0.07164331401112844,1.9268909711671487
long_form,B3_lm_linear,20,calm_2021,1790,7097,0.058277594256508976,0.058705172354375314,-0.7336920875359951
long_form,B3_lm_linear,20,covid_2020,1837,7097,0.13814061777810532,0.135405982988117,1.979602258896035
long_form,B3_lm_linear,20,alt_2018_19,3424,7097,0.06355696553435182,0.06326557688445962,0.45846847382087
long_form,B4_lm_features,5,committed_val,3734,7550,0.11744442357261446,0.11741716408255123,0.02321054438687214
long_form,B4_lm_features,5,calm_2021,1862,7550,0.12511113674185814,0.12648124580420395,-1.0951135910248742
long_form,B4_lm_features,5,covid_2020,1872,7550,0.12914904552629072,0.12995590871653184,-0.6247535062710682
long_form,B4_lm_features,5,alt_2018_19,3663,7550,0.1347603875916218,0.13509155951850024,-0.24574871948427332
long_form,B4_lm_features,10,committed_val,3609,7167,0.0856353741087057,0.08625950261671185,-0.7288209043308234
long_form,B4_lm_features,10,calm_2021,1793,7167,0.08432720638921434,0.0846494510226058,-0.3821360236981353
long_form,B4_lm_features,10,covid_2020,1816,7167,0.11253393362770972,0.11793179542701106,-4.796652552072701
long_form,B4_lm_features,10,alt_2018_19,3469,7167,0.09590837617663917,0.09588880195715141,0.020409290896245526
long_form,B4_lm_features,20,committed_val,3627,7097,0.0730509257028507,0.07418624981160808,-1.5541543078804283
long_form,B4_lm_features,20,calm_2021,1790,7097,0.058277594256508976,0.058471657268356084,-0.33299763712437935
long_form,B4_lm_features,20,covid_2020,1837,7097,0.13814061777810532,0.14804707941009987,-7.171288062362115
long_form,B4_lm_features,20,alt_2018_19,3424,7097,0.06355696553435182,0.06354468311976505,0.019325048770825182
long_form,C1_bert_s1,5,committed_val,3734,7550,0.11744442357261446,0.11744757572724046,-0.002683954273954853
long_form,C1_bert_s1,5,calm_2021,1862,7550,0.12511113674185814,0.12494674258853924,0.13139849704834192
long_form,C1_bert_s1,5,covid_2020,1872,7550,0.12914904552629072,0.14050337118265807,-8.791645040888794
long_form,C1_bert_s1,5,alt_2018_19,3663,7550,0.1347603875916218,0.14302550464808983,-6.13319477939962
long_form,C1_bert_s1,10,committed_val,3609,7167,0.0856353741087057,0.08558057798414048,0.06398772135409463
long_form,C1_bert_s1,10,calm_2021,1793,7167,0.08432720638921434,0.08634356089379987,-2.391107912764226
long_form,C1_bert_s1,10,covid_2020,1816,7167,0.11253393362770972,0.10960617206761109,2.6016699725297077
long_form,C1_bert_s1,10,alt_2018_19,3469,7167,0.09590837617663917,0.108080954467371,-12.691882373561404
long_form,C1_bert_s1,20,committed_val,3627,7097,0.0730509257028507,0.07208810886055894,1.3180077227333247
long_form,C1_bert_s1,20,calm_2021,1790,7097,0.058277594256508976,0.05807617471375865,0.34562089482241926
long_form,C1_bert_s1,20,covid_2020,1837,7097,0.13814061777810532,0.13580237306060108,1.6926554659398962
long_form,C1_bert_s1,20,alt_2018_19,3424,7097,0.06355696553435182,0.10543738210231719,-65.89429847044771
long_form,C2_finbert_s1,5,committed_val,3734,7550,0.11744442357261446,0.11733917700002892,0.08961393771111248
long_form,C2_finbert_s1,5,calm_2021,1862,7550,0.12511113674185814,0.12395330863238939,0.9254396847641951
long_form,C2_finbert_s1,5,covid_2020,1872,7550,0.12914904552629072,0.1295042692800123,-0.27504946108894046
long_form,C2_finbert_s1,5,alt_2018_19,3663,7550,0.1347603875916218,0.12450839465093194,7.607571574933067
long_form,C2_finbert_s1,10,committed_val,3609,7167,0.0856353741087057,0.08396793072809933,1.9471432196812906
long_form,C2_finbert_s1,10,calm_2021,1793,7167,0.08432720638921434,0.08533460477310134,-1.19463032990483
long_form,C2_finbert_s1,10,covid_2020,1816,7167,0.11253393362770972,0.108206727625181,3.845245485547665
long_form,C2_finbert_s1,10,alt_2018_19,3469,7167,0.09590837617663917,0.13701266661452693,-42.85787339594196
long_form,C2_finbert_s1,20,committed_val,3627,7097,0.0730509257028507,0.07306108237530423,-0.013903550647460485
long_form,C2_finbert_s1,20,calm_2021,1790,7097,0.058277594256508976,0.05829809280945982,-0.03517398618175819
long_form,C2_finbert_s1,20,covid_2020,1837,7097,0.13814061777810532,0.13830715551540038,-0.12055667621420484
long_form,C2_finbert_s1,20,alt_2018_19,3424,7097,0.06355696553435182,0.06408752232715945,-0.8347736370781683
long_form,C2_finbert_s2,5,committed_val,3734,7550,0.11744442357261446,0.11678856896306479,0.5584382719918286
long_form,C2_finbert_s2,5,calm_2021,1862,7550,0.12511113674185814,0.12521990296756957,-0.08693568657748614
long_form,C2_finbert_s2,5,covid_2020,1872,7550,0.12914904552629072,0.126623661768097,1.9554025722006847
long_form,C2_finbert_s2,5,alt_2018_19,3663,7550,0.1347603875916218,0.14575428939040455,-8.158110847898946
long_form,C2_finbert_s2,10,committed_val,3609,7167,0.0856353741087057,0.0857408166705086,-0.12312967964507054
long_form,C2_finbert_s2,10,calm_2021,1793,7167,0.08432720638921434,0.08406511716995983,0.3108003104535813
long_form,C2_finbert_s2,10,covid_2020,1816,7167,0.11253393362770972,0.1123717920401685,0.14408239569552364
long_form,C2_finbert_s2,10,alt_2018_19,3469,7167,0.09590837617663917,0.10138141943080002,-5.706533122905641
long_form,C2_finbert_s2,20,committed_val,3627,7097,0.0730509257028507,0.07456586591822906,-2.073813850820568
long_form,C2_finbert_s2,20,calm_2021,1790,7097,0.058277594256508976,0.05802179375244892,0.43893456365777817
long_form,C2_finbert_s2,20,covid_2020,1837,7097,0.13814061777810532,0.13856078917161355,-0.30416209241451525
long_form,C2_finbert_s2,20,alt_2018_19,3424,7097,0.06355696553435182,0.0642847407773549,-1.1450755033446676
long_form,C2_finbert_s3,5,committed_val,3734,7550,0.11744442357261446,0.11635648224863555,0.9263456628115232
long_form,C2_finbert_s3,5,calm_2021,1862,7550,0.12511113674185814,0.1242811889032414,0.6633684740065744
long_form,C2_finbert_s3,5,covid_2020,1872,7550,0.12914904552629072,0.12826360460843952,0.6855961762961313
long_form,C2_finbert_s3,5,alt_2018_19,3663,7550,0.1347603875916218,0.1646681037215375,-22.193254757138376
long_form,C2_finbert_s3,10,committed_val,3609,7167,0.0856353741087057,0.08448643943916265,1.3416589598646356
long_form,C2_finbert_s3,10,calm_2021,1793,7167,0.08432720638921434,0.0847573499641711,-0.5100887286262256
long_form,C2_finbert_s3,10,covid_2020,1816,7167,0.11253393362770972,0.10845695663188348,3.622886772370272
long_form,C2_finbert_s3,10,alt_2018_19,3469,7167,0.09590837617663917,0.11574928298548715,-20.687355578105095
long_form,C2_finbert_s3,20,committed_val,3627,7097,0.0730509257028507,0.0765191520926226,-4.74768301209434
long_form,C2_finbert_s3,20,calm_2021,1790,7097,0.058277594256508976,0.05818238485232942,0.16337222803071164
long_form,C2_finbert_s3,20,covid_2020,1837,7097,0.13814061777810532,0.1575023195675605,-14.015936877128922
long_form,C2_finbert_s3,20,alt_2018_19,3424,7097,0.06355696553435182,0.092869687250675,-46.12039210789569
long_form,C2_finbert_s4,5,committed_val,3734,7550,0.11744442357261446,0.11869554428099283,-1.0652874528391818
long_form,C2_finbert_s4,5,calm_2021,1862,7550,0.12511113674185814,0.125163679777413,-0.04199708908669331
long_form,C2_finbert_s4,5,covid_2020,1872,7550,0.12914904552629072,0.13158992121199467,-1.8899680410003965
long_form,C2_finbert_s4,5,alt_2018_19,3663,7550,0.1347603875916218,0.13672198945662287,-1.4556220118225849
long_form,C2_finbert_s4,10,committed_val,3609,7167,0.0856353741087057,0.08479598769243714,0.9801865467453207
long_form,C2_finbert_s4,10,calm_2021,1793,7167,0.08432720638921434,0.0844901591422457,-0.19323864741734825
long_form,C2_finbert_s4,10,covid_2020,1816,7167,0.11253393362770972,0.11049746652393591,1.809647133202461
long_form,C2_finbert_s4,10,alt_2018_19,3469,7167,0.09590837617663917,0.24174160784234028,-152.0547396163948
long_form,C2_finbert_s4,20,committed_val,3627,7097,0.0730509257028507,0.07135926674610477,2.315725557848635
long_form,C2_finbert_s4,20,calm_2021,1790,7097,0.058277594256508976,0.05828000156175695,-0.004130756045590782
long_form,C2_finbert_s4,20,covid_2020,1837,7097,0.13814061777810532,0.13772738788503794,0.2991371399041768
long_form,C2_finbert_s4,20,alt_2018_19,3424,7097,0.06355696553435182,0.09239171272092077,-45.368350965377815
long_form,C3_roberta_s1,5,committed_val,3734,7550,0.11744442357261446,0.11746915716822837,-0.021059829714785854
long_form,C3_roberta_s1,5,calm_2021,1862,7550,0.12511113674185814,0.12519039919208566,-0.06335363285129507
long_form,C3_roberta_s1,5,covid_2020,1872,7550,0.12914904552629072,0.12833207164114555,0.6325822090406913
long_form,C3_roberta_s1,5,alt_2018_19,3663,7550,0.1347603875916218,0.17598576527328444,-30.591614062874424
long_form,C3_roberta_s1,10,committed_val,3609,7167,0.0856353741087057,0.08580668293320559,-0.20004446326401773
long_form,C3_roberta_s1,10,calm_2021,1793,7167,0.08432720638921434,0.08469044074394141,-0.43074396778965235
long_form,C3_roberta_s1,10,covid_2020,1816,7167,0.11253393362770972,0.1130491529503133,-0.4578346335142375
long_form,C3_roberta_s1,10,alt_2018_19,3469,7167,0.09590837617663917,0.10720155803508657,-11.774969307840436
long_form,C3_roberta_s1,20,committed_val,3627,7097,0.0730509257028507,0.07304272329368455,0.011228343908343033
long_form,C3_roberta_s1,20,calm_2021,1790,7097,0.058277594256508976,0.05828897348257712,-0.019525902215620883
long_form,C3_roberta_s1,20,covid_2020,1837,7097,0.13814061777810532,0.13815161256571157,-0.007959127288619248
long_form,C3_roberta_s1,20,alt_2018_19,3424,7097,0.06355696553435182,0.06424842283618225,-1.0879331573133448
long_form,C4_longformer,5,committed_val,3734,7550,0.11744442357261446,0.11681748206336506,0.5338197337754127
long_form,C4_longformer,5,calm_2021,1862,7550,0.12511113674185814,0.1250009839688669,0.08804393906076251
long_form,C4_longformer,5,covid_2020,1872,7550,0.12914904552629072,0.12875901519034988,0.3020001691467755
long_form,C4_longformer,5,alt_2018_19,3663,7550,0.1347603875916218,0.14957368478436295,-10.992323083569195
long_form,C4_longformer,10,committed_val,3609,7167,0.0856353741087057,0.08808461454390339,-2.8600802655321136
long_form,C4_longformer,10,calm_2021,1793,7167,0.08432720638921434,0.08502434136640794,-0.8267023266203649
long_form,C4_longformer,10,covid_2020,1816,7167,0.11253393362770972,0.11848812630692226,-5.291019772676299
long_form,C4_longformer,10,alt_2018_19,3469,7167,0.09590837617663917,0.13143857923180807,-37.04598542022147
long_form,C4_longformer,20,committed_val,3627,7097,0.0730509257028507,0.07734477962650874,-5.877891186655392
long_form,C4_longformer,20,calm_2021,1790,7097,0.058277594256508976,0.057794994671909926,0.828104850167436
long_form,C4_longformer,20,covid_2020,1837,7097,0.13814061777810532,0.1425440696887388,-3.1876590545633245
long_form,C4_longformer,20,alt_2018_19,3424,7097,0.06355696553435182,0.06416232047354348,-0.9524604173628615
long_form,C6_llmtext,5,committed_val,3734,7550,0.11744442357261446,0.11621649548837563,1.0455397088135174
long_form,C6_llmtext,5,calm_2021,1862,7550,0.12511113674185814,0.1252773751571628,-0.13287259602449664
long_form,C6_llmtext,5,covid_2020,1872,7550,0.12914904552629072,0.12840815243291914,0.5736729143853858
long_form,C6_llmtext,10,committed_val,3609,7167,0.0856353741087057,0.08472262602496083,1.0658540273161172
long_form,C6_llmtext,10,calm_2021,1793,7167,0.08432720638921434,0.08501800267531105,-0.8191855460126612
long_form,C6_llmtext,10,covid_2020,1816,7167,0.11253393362770972,0.11179905327645766,0.6530300039837136
long_form,C6_llmtext,20,committed_val,3627,7097,0.0730509257028507,0.07288050448850791,0.23329097161068987
long_form,C6_llmtext,20,calm_2021,1790,7097,0.058277594256508976,0.05831943117502266,-0.07178902809463944
long_form,C6_llmtext,20,covid_2020,1837,7097,0.13814061777810532,0.13746915178139738,0.4860742680234146
long_form,D1_concat_mlp,5,committed_val,3734,7550,0.11744442357261446,0.11747159654145076,-0.02313687445491536
long_form,D1_concat_mlp,5,calm_2021,1862,7550,0.12511113674185814,0.12628017180210688,-0.9343972812434802
long_form,D1_concat_mlp,5,covid_2020,1872,7550,0.12914904552629072,0.12895210867034668,0.15248804599485508
long_form,D1_concat_mlp,5,alt_2018_19,3663,7550,0.1347603875916218,0.12546640241359072,6.896674419040395
long_form,D1_concat_mlp,10,committed_val,3609,7167,0.0856353741087057,0.08615562486646847,-0.6075185204450229
long_form,D1_concat_mlp,10,calm_2021,1793,7167,0.08432720638921434,0.08428302537937589,0.05239235559937226
long_form,D1_concat_mlp,10,covid_2020,1816,7167,0.11253393362770972,0.11327232112861381,-0.6561465302962384
long_form,D1_concat_mlp,10,alt_2018_19,3469,7167,0.09590837617663917,0.09645584201648114,-0.5708217172123486
long_form,D1_concat_mlp,20,committed_val,3627,7097,0.0730509257028507,0.07346353490907784,-0.5648240624704902
long_form,D1_concat_mlp,20,calm_2021,1790,7097,0.058277594256508976,0.05844476415829524,-0.2868510684405858
long_form,D1_concat_mlp,20,covid_2020,1837,7097,0.13814061777810532,0.13862484098504266,-0.35052920330437487
long_form,D1_concat_mlp,20,alt_2018_19,3424,7097,0.06355696553435182,0.06318658586852914,0.5827522801139597
long_form,D2_gated_fusion,5,committed_val,3734,7550,0.11744442357261446,0.11749928500798028,-0.04671267796030856
long_form,D2_gated_fusion,5,calm_2021,1862,7550,0.12511113674185814,0.12510622485125714,0.003926021878564374
long_form,D2_gated_fusion,5,covid_2020,1872,7550,0.12914904552629072,0.12958707841146577,-0.3391685036385959
long_form,D2_gated_fusion,5,alt_2018_19,3663,7550,0.1347603875916218,0.13433236963440642,0.317614074035192
long_form,D2_gated_fusion,10,committed_val,3609,7167,0.0856353741087057,0.08604824426607735,-0.482125712264134
long_form,D2_gated_fusion,10,calm_2021,1793,7167,0.08432720638921434,0.0851204170231008,-0.940634307539344
long_form,D2_gated_fusion,10,covid_2020,1816,7167,0.11253393362770972,0.11263187483649367,-0.08703260041363749
long_form,D2_gated_fusion,10,alt_2018_19,3469,7167,0.09590837617663917,0.08617430284581801,10.149346406296607
long_form,D2_gated_fusion,20,committed_val,3627,7097,0.0730509257028507,0.07405476799016904,-1.374167784542075
long_form,D2_gated_fusion,20,calm_2021,1790,7097,0.058277594256508976,0.05830427764898003,-0.04578670895989324
long_form,D2_gated_fusion,20,covid_2020,1837,7097,0.13814061777810532,0.15689266367729487,-13.574606948197438
long_form,D2_gated_fusion,20,alt_2018_19,3424,7097,0.06355696553435182,0.0709888606408445,-11.693281836238434
long_form,D4_llmfused,5,committed_val,3734,7550,0.11744442357261446,0.11756828533030654,-0.10546414544365013
long_form,D4_llmfused,5,calm_2021,1862,7550,0.12511113674185814,0.1265123428876907,-1.1199691588796492
long_form,D4_llmfused,5,covid_2020,1872,7550,0.12914904552629072,0.12929394670459796,-0.11219686348958387
long_form,D4_llmfused,10,committed_val,3609,7167,0.0856353741087057,0.08538837443832206,0.28843182266021683
long_form,D4_llmfused,10,calm_2021,1793,7167,0.08432720638921434,0.08425498564607842,0.08564346695251468
long_form,D4_llmfused,10,covid_2020,1816,7167,0.11253393362770972,0.11231004787254671,0.1989495505450635
long_form,D4_llmfused,20,committed_val,3627,7097,0.0730509257028507,0.07278418527581276,0.365143116903069
long_form,D4_llmfused,20,calm_2021,1790,7097,0.058277594256508976,0.058040841764376454,0.4062495975562329
long_form,D4_llmfused,20,covid_2020,1837,7097,0.13814061777810532,0.13807890663985356,0.04467269601391935
event_driven,B1_bow_ridge,5,committed_val,13489,23855,0.12326885849386293,0.12288394413102655,0.3122559643525452
event_driven,B1_bow_ridge,5,calm_2021,6386,23855,0.12792659212169338,0.12733946602806656,0.4589554711723294
event_driven,B1_bow_ridge,5,covid_2020,7103,23855,0.12497419520851348,0.12477278028192845,0.1611652119455354
event_driven,B1_bow_ridge,5,alt_2018_19,12945,23855,0.13386187918519776,0.16794848179313804,-25.464010228618932
event_driven,B1_bow_ridge,10,committed_val,13131,22785,0.08687148408001942,0.08700757030339659,-0.15665235240118514
event_driven,B1_bow_ridge,10,calm_2021,6177,22785,0.08895290504503331,0.0888659092355118,0.09779985204245915
event_driven,B1_bow_ridge,10,covid_2020,6954,22785,0.09401408969450287,0.09429969991542461,-0.303795124592314
event_driven,B1_bow_ridge,10,alt_2018_19,12365,22785,0.09363836741010635,0.1244548821592047,-32.91013673287551
event_driven,B1_bow_ridge,20,committed_val,13101,22318,0.06335556711333284,0.06352448284669679,-0.26661545474256704
event_driven,B1_bow_ridge,20,calm_2021,6088,22318,0.06366098097450881,0.06368252691811412,-0.03384481871859667
event_driven,B1_bow_ridge,20,covid_2020,7013,22318,0.08506304675480832,0.08519627406964889,-0.15662184688093017
event_driven,B1_bow_ridge,20,alt_2018_19,12183,22318,0.06648060192451175,0.09569139047502771,-43.9388147894398
event_driven,B2_tfidf_ridge,5,committed_val,13489,23855,0.12326885849386293,0.12308707994888528,0.14746509961938506
event_driven,B2_tfidf_ridge,5,calm_2021,6386,23855,0.12792659212169338,0.12766789189292937,0.20222552987100073
event_driven,B2_tfidf_ridge,5,covid_2020,7103,23855,0.12497419520851348,0.12494291803033451,0.02502690905653229
event_driven,B2_tfidf_ridge,5,alt_2018_19,12945,23855,0.13386187918519776,0.165591143676916,-23.702987500885765
event_driven,B2_tfidf_ridge,10,committed_val,13131,22785,0.08687148408001942,0.08692152530203051,-0.05760373791357882
event_driven,B2_tfidf_ridge,10,calm_2021,6177,22785,0.08895290504503331,0.088818829377022,0.15072657598246303
event_driven,B2_tfidf_ridge,10,covid_2020,6954,22785,0.09401408969450287,0.09405939907800172,-0.04819424795377278
event_driven,B2_tfidf_ridge,10,alt_2018_19,12365,22785,0.09363836741010635,0.1239178673976145,-32.33663809503805
event_driven,B2_tfidf_ridge,20,committed_val,13101,22318,0.06335556711333284,0.06343627881951681,-0.12739481289716725
event_driven,B2_tfidf_ridge,20,calm_2021,6088,22318,0.06366098097450881,0.06365049535230811,0.016471034596367475
event_driven,B2_tfidf_ridge,20,covid_2020,7013,22318,0.08506304675480832,0.08490754528158205,0.1828073166418485
event_driven,B2_tfidf_ridge,20,alt_2018_19,12183,22318,0.06648060192451175,0.09507303078174993,-43.00867926813402
event_driven,B3_lm_linear,5,committed_val,13489,23855,0.12326885849386293,0.12307068506253191,0.16076520359835136
event_driven,B3_lm_linear,5,calm_2021,6386,23855,0.12792659212169338,0.12758874257015362,0.2640964211869035
event_driven,B3_lm_linear,5,covid_2020,7103,23855,0.12497419520851348,0.12486559961948815,0.08689440955722495
event_driven,B3_lm_linear,5,alt_2018_19,12945,23855,0.13386187918519776,0.13456236607425237,-0.5232907929564361
event_driven,B3_lm_linear,10,committed_val,13131,22785,0.08687148408001942,0.08679561043948103,0.08734009939153481
event_driven,B3_lm_linear,10,calm_2021,6177,22785,0.08895290504503331,0.08877039527463952,0.20517572787689214
event_driven,B3_lm_linear,10,covid_2020,6954,22785,0.09401408969450287,0.09402427569729674,-0.010834549190414803
event_driven,B3_lm_linear,10,alt_2018_19,12365,22785,0.09363836741010635,0.09409262023959321,-0.4851139997960164
event_driven,B3_lm_linear,20,committed_val,13101,22318,0.06335556711333284,0.06329595586200923,0.0940899972010051
event_driven,B3_lm_linear,20,calm_2021,6088,22318,0.06366098097450881,0.06344648488531443,0.3369349417978201
event_driven,B3_lm_linear,20,covid_2020,7013,22318,0.08506304675480832,0.08525452113715448,-0.22509701880075472
event_driven,B3_lm_linear,20,alt_2018_19,12183,22318,0.06648060192451175,0.06675363132984231,-0.41069033285918755
event_driven,B4_lm_features,5,committed_val,13489,23855,0.12326885849386293,0.12302861554389495,0.19489346531098253
event_driven,B4_lm_features,5,calm_2021,6386,23855,0.12792659212169338,0.12757238375920038,0.27688407595197484
event_driven,B4_lm_features,5,covid_2020,7103,23855,0.12497419520851348,0.12479301555169237,0.1449736535761045
event_driven,B4_lm_features,5,alt_2018_19,12945,23855,0.13386187918519776,0.13403626159595636,-0.13027040395670572
event_driven,B4_lm_features,10,committed_val,13131,22785,0.08687148408001942,0.0867982111554459,0.08434634834374505
event_driven,B4_lm_features,10,calm_2021,6177,22785,0.08895290504503331,0.08882112982624263,0.14814043310217706
event_driven,B4_lm_features,10,covid_2020,6954,22785,0.09401408969450287,0.0940139371365864,0.00016227133290555026
event_driven,B4_lm_features,10,alt_2018_19,12365,22785,0.09363836741010635,0.09361387897456366,0.02615213850903309
event_driven,B4_lm_features,20,committed_val,13101,22318,0.06335556711333284,0.06330134313060304,0.0855867687725191
event_driven,B4_lm_features,20,calm_2021,6088,22318,0.06366098097450881,0.06345944642917636,0.3165746776870242
event_driven,B4_lm_features,20,covid_2020,7013,22318,0.08506304675480832,0.085138883634717,-0.08915373102879903
event_driven,B4_lm_features,20,alt_2018_19,12183,22318,0.06648060192451175,0.06644709594875844,0.05039962753548249
event_driven,C2_finbert_s1,5,committed_val,13489,23855,0.12326885849386293,0.12256812870236036,0.5684564618057655
event_driven,C2_finbert_s1,5,calm_2021,6386,23855,0.12792659212169338,0.12621025290989982,1.3416594496325325
event_driven,C2_finbert_s1,5,covid_2020,7103,23855,0.12497419520851348,0.12479643481145535,0.1422376809560971
event_driven,C2_finbert_s1,5,alt_2018_19,12945,23855,0.13386187918519776,0.1676705193461821,-25.25636153232999
event_driven,C2_finbert_s1,10,committed_val,13131,22785,0.08687148408001942,0.08668817955635223,0.2110065525050107
event_driven,C2_finbert_s1,10,calm_2021,6177,22785,0.08895290504503331,0.08888847232534418,0.07243464354144609
event_driven,C2_finbert_s1,10,covid_2020,6954,22785,0.09401408969450287,0.09416551499668621,-0.16106660467106404
event_driven,C2_finbert_s1,10,alt_2018_19,12365,22785,0.09363836741010635,0.15398204125076131,-64.44332116168665
event_driven,C2_finbert_s1,20,committed_val,13101,22318,0.06335556711333284,0.06623163667060332,-4.539568799259033
event_driven,C2_finbert_s1,20,calm_2021,6088,22318,0.06366098097450881,0.0629984643733499,1.0406949296370436
event_driven,C2_finbert_s1,20,covid_2020,7013,22318,0.08506304675480832,0.08685868133872,-2.1109455308925744
event_driven,C2_finbert_s1,20,alt_2018_19,12183,22318,0.06648060192451175,0.08409639659931079,-26.497646177755204
event_driven,C6_llmtext,5,committed_val,13489,23855,0.12326885849386293,0.12277824826082596,0.3980001429650561
event_driven,C6_llmtext,5,calm_2021,6386,23855,0.12792659212169338,0.12751901072980573,0.31860568246821536
event_driven,C6_llmtext,5,covid_2020,7103,23855,0.12497419520851348,0.12461475348955103,0.2876127494661884
event_driven,C6_llmtext,10,committed_val,13131,22785,0.08687148408001942,0.08676674129283257,0.120572116726321
event_driven,C6_llmtext,10,calm_2021,6177,22785,0.08895290504503331,0.08902334831304681,-0.07919164413780644
event_driven,C6_llmtext,10,covid_2020,6954,22785,0.09401408969450287,0.09389488799561906,0.12679131316503206
event_driven,C6_llmtext,20,committed_val,13101,22318,0.06335556711333284,0.06330099955104151,0.08612907243607723
event_driven,C6_llmtext,20,calm_2021,6088,22318,0.06366098097450881,0.06371519100578231,-0.08515425060007085
event_driven,C6_llmtext,20,covid_2020,7013,22318,0.08506304675480832,0.08475463145666563,0.36257259751309096
event_driven,D2_gated_fusion,5,committed_val,13489,23855,0.12326885849386293,0.12295316017662052,0.25610549257916054
event_driven,D2_gated_fusion,5,calm_2021,6386,23855,0.12792659212169338,0.12718917202495172,0.5764400383934011
event_driven,D2_gated_fusion,5,covid_2020,7103,23855,0.12497419520851348,0.12490925070154876,0.051966333414958765
event_driven,D2_gated_fusion,5,alt_2018_19,12945,23855,0.13386187918519776,0.13487222961769346,-0.754770841889856
event_driven,D2_gated_fusion,10,committed_val,13131,22785,0.08687148408001942,0.08686415018264183,0.008442237927962335
event_driven,D2_gated_fusion,10,calm_2021,6177,22785,0.08895290504503331,0.08890737548442863,0.05118389397358802
event_driven,D2_gated_fusion,10,covid_2020,6954,22785,0.09401408969450287,0.09474522425146437,-0.7776861525089569
event_driven,D2_gated_fusion,10,alt_2018_19,12365,22785,0.09363836741010635,0.10568796965753274,-12.868231880477962
event_driven,D2_gated_fusion,20,committed_val,13101,22318,0.06335556711333284,0.06489014336427512,-2.4221648086539393
