arm,alignment,horizon,ref,stage,rel_pct,dm,p_raw,p_holm,placebo_ls,placebo_wd,gate,identity_share,mde_ent_pct,boot_ci
tfidf,shifted,15,r_har,row5,1.1573,-0.5540,0.580483,1.000000,"dm=+0.39,p=0.515","dm=+0.28,p=0.589",null|G4:pass|G4b:clean,126.11,2.6916,"[-1.60,2.54]"
tfidf,shifted,30,r_ar,row3,4.9696,-1.4785,0.141477,0.424432,"dm=+0.20,p=0.494","dm=-0.78,p=0.198",null|G4:pass|G4b:clean,126.21,1.4770,"[-0.85,7.79]"
tfidf,shifted,30,r_ar,row5,1.3484,-1.1584,0.248634,0.994536,"dm=+0.42,p=0.561","dm=+0.27,p=0.796",null|G4:pass|G4b:clean,126.21,1.4770,"[-0.86,2.09]"
tfidf,shifted,30,r_har,row3,3.3094,-1.9659,0.051266,0.205066,"dm=+0.45,p=0.459","dm=-0.31,p=0.368",null|G4:pass|G4b:clean,105.71,1.3534,"[0.32,5.19]"
tfidf,shifted,30,r_har,row5,1.2247,-1.5681,0.119082,0.714490,"dm=+0.47,p=0.518","dm=+0.36,p=0.671",null|G4:pass|G4b:clean,105.71,1.3534,"[-0.39,2.01]"
qwen_emb,primary,3,r_ar,row3,13.3108,-4.2214,0.000043,0.000345,"dm=+0.44,p=0.514","dm=-4.00,p=0.000",win|G4:pass|G4b:dirty,112.44,5.1045,"[7.48,17.38]"
qwen_emb,primary,3,r_ar,row5,4.2717,-1.9465,0.053572,0.375005,"dm=+0.21,p=0.593","dm=-1.91,p=0.019",null|G4:pass|G4b:dirty,112.44,5.1045,"[0.16,6.86]"
qwen_emb,primary,3,r_har,row3,4.6558,-3.3258,0.001122,0.007855,"dm=+0.30,p=0.609","dm=-0.44,p=0.070",win|G4:pass|G4b:clean,113.11,2.9686,"[2.19,7.36]"
qwen_emb,primary,3,r_har,row5,2.2435,-2.2278,0.027467,0.219736,"dm=+0.19,p=0.613","dm=-0.41,p=0.198",null|G4:pass|G4b:clean,113.11,2.9686,"[0.34,4.13]"
qwen_emb,primary,7,r_ar,row3,15.6252,-3.0221,0.002979,0.017873,"dm=+0.26,p=0.551","dm=-3.88,p=0.001",win|G4:pass|G4b:dirty,133.27,7.6498,"[5.24,21.45]"
qwen_emb,primary,7,r_ar,row5,2.4512,-0.2399,0.810730,1.000000,"dm=+0.29,p=0.607","dm=-2.05,p=0.068",null|G4:pass|G4b:dirty,133.27,7.6498,"[-4.83,6.16]"
qwen_emb,primary,7,r_har,row3,5.3976,-1.4401,0.152038,0.608151,"dm=+0.28,p=0.562","dm=-1.60,p=0.154",null|G4:pass|G4b:clean,122.88,5.1499,"[-1.28,9.56]"
qwen_emb,primary,7,r_har,row5,1.9438,-0.3438,0.731490,1.000000,"dm=+0.41,p=0.579","dm=-0.83,p=0.360",null|G4:pass|G4b:clean,122.88,5.1499,"[-3.21,4.61]"
qwen_emb,primary,15,r_ar,row3,15.2410,-1.7677,0.079263,0.396313,"dm=+0.40,p=0.496","dm=-3.83,p=0.001",null|G4:pass|G4b:dirty,110.59,9.9725,"[-2.98,17.93]"
qwen_emb,primary,15,r_ar,row5,3.7489,-0.2985,0.765759,1.000000,"dm=+0.25,p=0.569","dm=-0.14,p=0.416",null|G4:pass|G4b:clean,110.59,9.9725,"[-5.35,7.79]"
qwen_emb,primary,15,r_har,row3,6.2679,-0.5497,0.583368,1.000000,"dm=+0.52,p=0.563","dm=-0.32,p=0.340",null|G4:pass|G4b:clean,94.48,7.1517,"[-4.81,8.93]"
qwen_emb,primary,15,r_har,row5,2.6823,-0.1870,0.851944,1.000000,"dm=+0.65,p=0.573","dm=+0.17,p=0.742",null|G4:pass|G4b:clean,94.48,7.1517,"[-4.10,5.03]"
qwen_emb,primary,30,r_ar,row3,9.8575,-0.9230,0.357592,1.000000,"dm=+0.12,p=0.518","dm=+0.02,p=0.076",null|G4:pass|G4b:clean,116.94,10.0664,"[-2.75,15.54]"
qwen_emb,primary,30,r_ar,row5,2.9206,-0.2274,0.820428,1.000000,"dm=+0.43,p=0.580","dm=+0.13,p=0.801",null|G4:pass|G4b:clean,116.94,10.0664,"[-4.58,6.01]"
qwen_emb,primary,30,r_har,row3,5.8248,-0.5042,0.614875,1.000000,"dm=+0.38,p=0.417","dm=+0.06,p=0.522",null|G4:pass|G4b:clean,89.98,7.4828,"[-3.98,8.87]"
qwen_emb,primary,30,r_har,row5,2.6323,-0.2722,0.785892,1.000000,"dm=+0.47,p=0.466","dm=+0.16,p=0.791",null|G4:pass|G4b:clean,89.98,7.4828,"[-3.32,4.89]"
qwen_emb,shifted,3,r_ar,row3,11.8164,-3.2047,0.001670,0.013359,"dm=+0.94,p=0.375","dm=-1.53,p=0.004",win|G4:pass|G4b:dirty,101.09,5.4616,"[4.56,14.23]"
qwen_emb,shifted,3,r_ar,row5,4.8050,-1.6984,0.091614,0.641301,"dm=+0.73,p=0.373","dm=-0.03,p=0.105",null|G4:pass|G4b:clean,101.09,5.4616,"[-0.40,5.79]"
qwen_emb,shifted,3,r_har,row3,4.0414,-3.0849,0.002448,0.017134,"dm=+0.90,p=0.375","dm=-0.52,p=0.245",win|G4:pass|G4b:clean,81.25,3.3025,"[1.78,6.41]"
qwen_emb,shifted,3,r_har,row5,2.5778,-2.3346,0.020966,0.167725,"dm=+0.91,p=0.381","dm=+0.02,p=0.342",null|G4:pass|G4b:clean,81.25,3.3025,"[0.53,4.29]"
qwen_emb,shifted,7,r_ar,row3,10.8457,-2.2014,0.029321,0.146607,"dm=+1.07,p=0.319","dm=-2.67,p=0.025",null|G4:pass|G4b:dirty,111.16,5.8221,"[1.95,16.39]"
qwen_emb,shifted,7,r_ar,row5,3.0306,-0.4033,0.687339,1.000000,"dm=+0.68,p=0.331","dm=-1.55,p=0.254",null|G4:pass|G4b:clean,111.16,5.8221,"[-3.98,4.74]"
qwen_emb,shifted,7,r_har,row3,4.6508,-2.6331,0.009399,0.056393,"dm=+0.84,p=0.347","dm=-0.62,p=0.264",null|G4:pass|G4b:clean,78.69,3.7856,"[1.46,8.20]"
qwen_emb,shifted,7,r_har,row5,2.4987,-1.6372,0.103811,0.641301,"dm=+0.71,p=0.349","dm=-0.55,p=0.270",null|G4:pass|G4b:clean,78.69,3.7856,"[-0.79,4.58]"
qwen_emb,shifted,15,r_ar,row3,8.8431,-1.1046,0.271207,0.508938,"dm=+0.14,p=0.384","dm=-1.78,p=0.106",null|G4:pass|G4b:clean,84.71,6.7309,"[-4.87,16.07]"
qwen_emb,shifted,15,r_ar,row5,2.9253,-0.0439,0.965069,1.000000,"dm=+0.17,p=0.415","dm=-0.54,p=0.522",null|G4:pass|G4b:clean,84.71,6.7309,"[-5.51,5.08]"
qwen_emb,shifted,15,r_har,row3,4.5964,-1.3276,0.186439,0.508938,"dm=+0.52,p=0.431","dm=-0.57,p=0.496",null|G4:pass|G4b:clean,79.31,4.7367,"[-1.40,8.20]"
qwen_emb,shifted,15,r_har,row5,2.3839,-0.6292,0.530230,1.000000,"dm=+0.42,p=0.419","dm=-0.05,p=0.654",null|G4:pass|G4b:clean,79.31,4.7367,"[-2.56,4.54]"
qwen_emb,shifted,30,r_ar,row3,7.4447,-1.4619,0.145983,0.508938,"dm=+0.03,p=0.491","dm=-0.71,p=0.132",null|G4:pass|G4b:clean,84.25,3.2454,"[-0.49,11.47]"
qwen_emb,shifted,30,r_ar,row5,3.0641,-0.9025,0.368339,1.000000,"dm=+0.16,p=0.539","dm=+0.26,p=0.665",null|G4:pass|G4b:clean,84.25,3.2454,"[-1.77,3.90]"
qwen_emb,shifted,30,r_har,row3,5.1874,-1.5341,0.127235,0.508938,"dm=+0.15,p=0.434","dm=+0.12,p=0.450",null|G4:pass|G4b:clean,67.44,2.9407,"[-0.32,7.84]"
qwen_emb,shifted,30,r_har,row5,2.7760,-1.1753,0.241841,1.000000,"dm=+0.23,p=0.476","dm=+0.26,p=0.711",null|G4:pass|G4b:clean,67.44,2.9407,"[-1.19,3.76]"
prompted_qwen,primary,3,r_ar,row3,0.1897,0.0419,0.966604,1.000000,"dm=+0.52,p=0.291","dm=+0.13,p=0.745",null|G4:pass|G4b:clean,7890.19,10.3082,"[-7.93,6.89]"
prompted_qwen,primary,3,r_ar,row5,-0.3680,0.3547,0.723352,1.000000,"dm=+0.39,p=0.283","dm=-0.01,p=0.687",null|G4:pass|G4b:clean,7890.19,10.3082,"[-8.67,5.02]"
prompted_qwen,primary,3,r_har,row3,-1.4249,0.8931,0.373311,1.000000,"dm=+0.01,p=0.297","dm=+0.59,p=0.520",null|G4:pass|G4b:clean,NaN,5.2463,"[-5.15,1.23]"
prompted_qwen,primary,3,r_har,row5,-1.1682,0.7667,0.444547,1.000000,"dm=+0.00,p=0.296","dm=+0.60,p=0.551",null|G4:pass|G4b:clean,NaN,5.2463,"[-5.30,1.44]"
prompted_qwen,primary,7,r_ar,row3,-0.8147,0.0229,0.981757,1.000000,"dm=+0.44,p=0.357","dm=-0.00,p=0.580",null|G4:pass|G4b:clean,NaN,12.7971,"[-9.73,9.93]"
prompted_qwen,primary,7,r_ar,row5,-2.2143,0.4876,0.626588,1.000000,"dm=+0.48,p=0.388","dm=+0.30,p=0.658",null|G4:pass|G4b:clean,NaN,12.7971,"[-11.86,6.91]"
prompted_qwen,primary,7,r_har,row3,-2.3819,1.1209,0.264206,1.000000,"dm=+0.60,p=0.376","dm=+0.09,p=0.590",null|G4:pass|G4b:clean,NaN,6.5203,"[-6.77,1.83]"
prompted_qwen,primary,7,r_har,row5,-2.2189,1.0629,0.289637,1.000000,"dm=+0.51,p=0.403","dm=+0.14,p=0.560",null|G4:pass|G4b:clean,NaN,6.5203,"[-7.45,2.07]"
prompted_qwen,primary,15,r_ar,row3,-3.2925,0.6199,0.536299,1.000000,"dm=+0.44,p=0.416","dm=-0.54,p=0.250",null|G4:pass|G4b:clean,NaN,9.6050,"[-11.00,4.72]"
prompted_qwen,primary,15,r_ar,row5,-3.7345,0.7863,0.433006,1.000000,"dm=+0.76,p=0.316","dm=-0.26,p=0.391",null|G4:pass|G4b:clean,NaN,9.6050,"[-9.34,3.26]"
prompted_qwen,primary,15,r_har,row3,-3.8835,1.6684,0.097450,0.779598,"dm=+0.51,p=0.357","dm=+0.06,p=0.754",null|G4:pass|G4b:clean,NaN,7.0658,"[-9.99,0.36]"
prompted_qwen,primary,15,r_har,row5,-3.3661,1.4712,0.143438,1.000000,"dm=+0.86,p=0.322","dm=+0.13,p=0.654",null|G4:pass|G4b:clean,NaN,7.0658,"[-9.37,0.78]"
prompted_qwen,primary,30,r_ar,row3,0.4107,-1.1967,0.233421,1.000000,"dm=+0.58,p=0.507","dm=-0.00,p=0.059",null|G4:pass|G4b:clean,2807.07,5.9027,"[-1.99,10.96]"
prompted_qwen,primary,30,r_ar,row5,-0.7878,-0.9412,0.348211,1.000000,"dm=+0.83,p=0.403","dm=-0.78,p=0.109",null|G4:pass|G4b:clean,2807.07,5.9027,"[-2.38,8.30]"
prompted_qwen,primary,30,r_har,row3,0.1325,-0.7452,0.457388,1.000000,"dm=+0.61,p=0.430","dm=-0.72,p=0.172",null|G4:pass|G4b:clean,3955.27,3.8115,"[-2.53,6.48]"
prompted_qwen,primary,30,r_har,row5,0.0192,-0.7314,0.465757,1.000000,"dm=+0.79,p=0.383","dm=-0.57,p=0.242",null|G4:pass|G4b:clean,3955.27,3.8115,"[-2.31,5.81]"
prompted_qwen,shifted,3,r_ar,row3,-0.0361,0.0750,0.940298,1.000000,"dm=+0.52,p=0.399","dm=-0.81,p=0.429",null|G4:pass|G4b:clean,NaN,4.0493,"[-2.41,2.33]"
prompted_qwen,shifted,3,r_ar,row5,-1.2774,0.7537,0.452290,0.617955,"dm=+0.46,p=0.425","dm=-0.37,p=0.719",null|G4:pass|G4b:clean,NaN,4.0493,"[-3.49,1.70]"
prompted_qwen,shifted,3,r_har,row3,-0.2705,1.0330,0.303338,1.000000,"dm=+0.24,p=0.564","dm=+0.33,p=0.556",null|G4:pass|G4b:clean,NaN,1.2990,"[-1.03,0.17]"
prompted_qwen,shifted,3,r_har,row5,-0.4381,1.0210,0.308977,0.617955,"dm=+0.22,p=0.581","dm=+0.39,p=0.599",null|G4:pass|G4b:clean,NaN,1.2990,"[-1.35,0.23]"
prompted_qwen,shifted,7,r_ar,row3,-2.7081,2.3948,0.017936,0.107614,"dm=+0.86,p=0.356","dm=+0.46,p=0.593",null|G4:pass|G4b:clean,NaN,4.8690,"[-7.25,-0.56]"
prompted_qwen,shifted,7,r_ar,row5,-3.5476,2.5188,0.012883,0.077297,"dm=+0.71,p=0.410","dm=+0.87,p=0.370",null|G4:pass|G4b:clean,NaN,4.8690,"[-8.53,-0.72]"
prompted_qwen,shifted,7,r_har,row3,-1.2941,2.0657,0.040677,0.203383,"dm=+0.71,p=0.478","dm=+0.37,p=0.296",null|G4:pass|G4b:clean,NaN,2.5762,"[-3.50,-0.23]"
prompted_qwen,shifted,7,r_har,row5,-1.4808,2.0828,0.039065,0.195327,"dm=+0.61,p=0.472","dm=+0.89,p=0.263",null|G4:pass|G4b:clean,NaN,2.5762,"[-3.90,-0.26]"
prompted_qwen,shifted,15,r_ar,row3,-4.2619,3.0466,0.002761,0.022084,"dm=+0.57,p=0.486","dm=+0.14,p=0.601",neg_sig|G4:pass|G4b:clean,NaN,5.9843,"[-11.71,-2.40]"
prompted_qwen,shifted,15,r_ar,row5,-5.3226,3.3152,0.001163,0.009300,"dm=+0.72,p=0.423","dm=+0.67,p=0.402",neg_sig|G4:pass|G4b:clean,NaN,5.9843,"[-12.65,-3.17]"
prompted_qwen,shifted,15,r_har,row3,-3.5117,2.7496,0.006743,0.047204,"dm=+0.39,p=0.519","dm=-0.02,p=0.479",neg_sig|G4:pass|G4b:clean,NaN,5.1004,"[-8.90,-1.31]"
prompted_qwen,shifted,15,r_har,row5,-3.8717,2.7796,0.006181,0.043266,"dm=+0.33,p=0.546","dm=+0.65,p=0.428",neg_sig|G4:pass|G4b:clean,NaN,5.1004,"[-9.40,-1.61]"
prompted_qwen,shifted,30,r_ar,row3,-0.2503,0.8927,0.373505,1.000000,"dm=+0.15,p=0.509","dm=+0.50,p=0.473",null|G4:pass|G4b:clean,NaN,2.9367,"[-3.52,1.88]"
prompted_qwen,shifted,30,r_ar,row5,-1.4103,1.4578,0.147107,0.588426,"dm=+0.33,p=0.504","dm=+0.73,p=0.465",null|G4:pass|G4b:clean,NaN,2.9367,"[-4.70,1.34]"
prompted_qwen,shifted,30,r_har,row3,-0.8349,1.0423,0.299056,1.000000,"dm=+0.43,p=0.517","dm=-0.46,p=0.489",null|G4:pass|G4b:clean,NaN,3.3254,"[-4.01,1.57]"
prompted_qwen,shifted,30,r_har,row5,-1.5168,1.3177,0.189719,0.588426,"dm=+0.61,p=0.530","dm=+0.77,p=0.415",null|G4:pass|G4b:clean,NaN,3.3254,"[-4.45,1.29]"
identity_probe,primary,3,r_ar,row3,8.5491,-1.7829,0.076737,0.613894,"dm=+0.12,p=0.487","dm=-1.65,p=0.008",diagnostic(§6.2),175.07,10.5162,"[-0.81,14.79]"
identity_probe,primary,3,r_ar,row5,3.2581,-0.8664,0.387716,1.000000,"dm=+0.08,p=0.446","dm=-1.20,p=0.043",diagnostic(§6.2),175.07,10.5162,"[-4.10,9.16]"
identity_probe,primary,3,r_har,row3,1.8796,-0.8099,0.419345,1.000000,"dm=+0.07,p=0.480","dm=+0.44,p=0.454",diagnostic(§6.2),280.17,5.0009,"[-2.59,4.13]"
identity_probe,primary,3,r_har,row5,1.2672,-0.7006,0.484709,1.000000,"dm=+0.19,p=0.467","dm=+0.41,p=0.489",diagnostic(§6.2),280.17,5.0009,"[-2.52,3.45]"
identity_probe,primary,7,r_ar,row3,5.0890,-1.6322,0.104845,0.733916,"dm=+0.38,p=0.509","dm=-1.47,p=0.010",diagnostic(§6.2),409.20,8.5799,"[-0.65,15.53]"
identity_probe,primary,7,r_ar,row5,-0.5242,-0.4246,0.671797,1.000000,"dm=+0.27,p=0.520","dm=-0.91,p=0.057",diagnostic(§6.2),409.20,8.5799,"[-4.81,7.52]"
identity_probe,primary,7,r_har,row3,0.9307,-0.4797,0.632167,1.000000,"dm=+0.14,p=0.488","dm=-0.18,p=0.344",diagnostic(§6.2),712.63,4.6266,"[-3.38,4.58]"
identity_probe,primary,7,r_har,row5,0.0549,-0.1035,0.917695,1.000000,"dm=+0.13,p=0.490","dm=-0.04,p=0.436",diagnostic(§6.2),712.63,4.6266,"[-3.66,3.41]"
identity_probe,primary,15,r_ar,row3,1.0394,-1.3748,0.171360,1.000000,"dm=+0.31,p=0.420","dm=-0.86,p=0.132",diagnostic(§6.2),1621.60,2.5384,"[-0.90,7.23]"
identity_probe,primary,15,r_ar,row5,-0.1417,-0.6474,0.518433,1.000000,"dm=+0.36,p=0.548","dm=-0.09,p=0.210",diagnostic(§6.2),1621.60,2.5384,"[-1.46,2.88]"
identity_probe,primary,15,r_har,row3,0.4552,-1.3494,0.179361,1.000000,"dm=+0.46,p=0.492","dm=+0.67,p=0.422",diagnostic(§6.2),1301.08,0.7467,"[-0.48,1.65]"
identity_probe,primary,15,r_har,row5,0.1827,-0.6568,0.512360,1.000000,"dm=+0.34,p=0.572","dm=+0.76,p=0.455",diagnostic(§6.2),1301.08,0.7467,"[-0.55,1.00]"
identity_probe,primary,30,r_ar,row3,-0.0997,-0.5367,0.592342,1.000000,"dm=+0.35,p=0.443","dm=+0.61,p=0.447",diagnostic(§6.2),NaN,0.2761,"[-0.30,0.57]"
identity_probe,primary,30,r_ar,row5,-0.1103,0.3612,0.718504,1.000000,"dm=+0.27,p=0.533","dm=+0.93,p=0.439",diagnostic(§6.2),NaN,0.2761,"[-0.29,0.15]"
identity_probe,primary,30,r_har,row3,-0.0549,0.6782,0.498722,1.000000,"dm=+0.40,p=0.514","dm=+0.41,p=0.688",diagnostic(§6.2),NaN,0.6224,"[-0.97,0.43]"
identity_probe,primary,30,r_har,row5,0.0708,0.0097,0.992299,1.000000,"dm=+0.43,p=0.605","dm=+0.59,p=0.663",diagnostic(§6.2),NaN,0.6224,"[-0.52,0.55]"
identity_probe,shifted,3,r_ar,row3,7.2666,-1.4686,0.144145,1.000000,"dm=+1.21,p=0.314","dm=-3.35,p=0.003",diagnostic(§6.2),164.38,9.8712,"[-2.17,12.96]"
identity_probe,shifted,3,r_ar,row5,2.2031,-0.3675,0.713762,1.000000,"dm=+1.11,p=0.323","dm=-2.27,p=0.038",diagnostic(§6.2),164.38,9.8712,"[-5.49,6.99]"
identity_probe,shifted,3,r_har,row3,1.7131,-0.6516,0.515693,1.000000,"dm=+1.08,p=0.296","dm=-0.60,p=0.584",diagnostic(§6.2),191.67,6.2990,"[-3.06,4.96]"
identity_probe,shifted,3,r_har,row5,1.0435,-0.4102,0.682290,1.000000,"dm=+1.07,p=0.296","dm=-0.49,p=0.619",diagnostic(§6.2),191.67,6.2990,"[-3.32,4.12]"
identity_probe,shifted,7,r_ar,row3,4.6199,-0.6254,0.532733,1.000000,"dm=+1.05,p=0.328","dm=-1.91,p=0.086",diagnostic(§6.2),260.96,7.9515,"[-6.07,10.31]"
identity_probe,shifted,7,r_ar,row5,1.0031,0.6208,0.535715,1.000000,"dm=+0.45,p=0.329","dm=-0.91,p=0.444",diagnostic(§6.2),260.96,7.9515,"[-8.23,3.62]"
identity_probe,shifted,7,r_har,row3,1.8949,-0.6574,0.511995,1.000000,"dm=+0.79,p=0.379","dm=-0.21,p=0.693",diagnostic(§6.2),193.12,5.8628,"[-3.38,5.31]"
identity_probe,shifted,7,r_har,row5,1.1753,-0.2290,0.819175,1.000000,"dm=+0.57,p=0.380","dm=+0.05,p=0.606",diagnostic(§6.2),193.12,5.8628,"[-3.78,3.93]"
identity_probe,shifted,15,r_ar,row3,1.4182,-0.7402,0.460408,1.000000,"dm=+0.67,p=0.408","dm=-0.53,p=0.574",diagnostic(§6.2),528.18,3.9027,"[-2.99,6.61]"
identity_probe,shifted,15,r_ar,row5,0.4342,0.2018,0.840397,1.000000,"dm=+0.18,p=0.500","dm=+0.19,p=0.618",diagnostic(§6.2),528.18,3.9027,"[-3.17,2.81]"
identity_probe,shifted,15,r_har,row3,1.1701,-1.2179,0.225293,1.000000,"dm=+0.60,p=0.386","dm=+0.01,p=0.678",diagnostic(§6.2),311.55,2.2927,"[-0.69,3.10]"
identity_probe,shifted,15,r_har,row5,0.7439,-0.6490,0.517356,1.000000,"dm=+0.32,p=0.429","dm=+0.58,p=0.590",diagnostic(§6.2),311.55,2.2927,"[-1.02,2.23]"
identity_probe,shifted,30,r_ar,row3,0.0673,-1.1290,0.260818,1.000000,"dm=+0.21,p=0.490","dm=-0.02,p=0.453",diagnostic(§6.2),9313.15,0.5028,"[-0.28,1.23]"
identity_probe,shifted,30,r_ar,row5,-0.0305,-0.2646,0.791730,1.000000,"dm=+0.16,p=0.550","dm=+0.27,p=0.461",diagnostic(§6.2),9313.15,0.5028,"[-0.34,0.49]"
identity_probe,shifted,30,r_har,row3,-0.0004,1.4757,0.142231,1.000000,"dm=+0.34,p=0.511","dm=+0.28,p=0.640",diagnostic(§6.2),NaN,0.0054,"[-0.00,0.00]"
identity_probe,shifted,30,r_har,row5,0.0007,-0.7813,0.435899,1.000000,"dm=+0.21,p=0.492","dm=+0.43,p=0.657",diagnostic(§6.2),NaN,0.0054,"[-0.00,0.01]"
