disclosure,family,strategy,model_id,horizon,n_seeds,qlike_mean,qlike_std,r2_mean,r2_std,dmq_stat_vs_s1,dmq_p_vs_s1,dm_stat_vs_s1,dm_p_vs_s1
event_driven,FinBERT,S2_chunk_mean,C2_finbert_s2,5,3,1.4555830273857329,0.21659211259696184,-0.17055696358354697,0.05136559292257663,38.22757527937616,7.856304894553e-311,31.650152543281223,1.2984877217832558e-215
event_driven,FinBERT,S2_chunk_mean,C2_finbert_s2,10,3,1.1665105473499988,0.1810526928753888,-0.1605811500561781,0.05339412980516818,-0.4170003588664165,0.6766817257068167,1.1507843212991875,0.2498319831492148
event_driven,FinBERT,S2_chunk_mean,C2_finbert_s2,20,3,0.7287212317339344,0.18437700535355933,-0.11527862400477118,0.0842960190296583,0.6082884068592933,0.543001794933875,0.5948131154960297,0.5519738414237505
event_driven,FinBERT,S3_chunk_attn,C2_finbert_s3,5,3,1.1118910598792116,0.055075568033187555,-0.05871699794688734,0.01334805402260721,17.2806530399,1.5972195852851742e-66,12.556468955252043,4.7017595454075686e-36
event_driven,FinBERT,S3_chunk_attn,C2_finbert_s3,10,3,0.8271248495232036,0.17091258081134417,-0.032630592589812046,0.044185857757746826,-30.482228567696392,2.0823326870439592e-200,-23.093742936003252,8.933397799173865e-117
event_driven,FinBERT,S3_chunk_attn,C2_finbert_s3,20,3,0.9198543360141245,0.18391656832440792,-0.22739345511167267,0.03872039677152805,14.836759502256266,1.385326335935277e-49,7.89529438430888,3.0159071302527292e-15
event_driven,FinBERT,S4_hierarchical,C2_finbert_s4,5,3,1.330628843992357,0.3283446490747141,-0.12068210656882201,0.08945506142229111,29.96509162512476,7.243177087262566e-194,23.984759583210824,1.0416338748887996e-125
event_driven,FinBERT,S4_hierarchical,C2_finbert_s4,10,3,0.9871148994155341,0.05440006504614056,-0.09426054272776015,0.02641127964706258,-20.47583353924484,2.0283565807983705e-92,-16.701698662432015,2.7730911554795065e-62
event_driven,FinBERT,S4_hierarchical,C2_finbert_s4,20,3,0.8595966154310366,0.1967819515453072,-0.1760210401416137,0.11184150616428445,17.791585886119407,2.256256296154359e-70,16.33216175100822,1.1967233554077212e-59
event_driven,FinBERT,S5_long_context,C4_longformer,5,3,1.2274908923493004,0.17269853342108896,-0.08791169767028029,0.03036560653104103,23.629556842059756,4.125776878445521e-122,18.384660421603083,5.418583830568096e-75
event_driven,FinBERT,S5_long_context,C4_longformer,10,3,0.9733375193659944,0.13390162369943617,-0.0975480699097601,0.05753174131081144,-19.068126577624547,1.7333789468565816e-80,-14.60876528045147,3.90070309814631e-48
event_driven,FinBERT,S5_long_context,C4_longformer,20,3,0.8355614709894136,0.05960298059145956,-0.15297952141173124,0.04923149698119688,17.26784146189656,2.0159197373238417e-66,14.623508213072025,3.162840841700617e-48
event_driven,BERT-base,S1_truncation,C1_bert_s1,5,3,1.2639741975476648,0.03934380664480308,-0.1227355240279581,0.01175701596193409,,,,
event_driven,BERT-base,S1_truncation,C1_bert_s1,10,3,1.0991892111655737,0.22295297203698336,-0.1346343205378636,0.07617978288478396,,,,
event_driven,BERT-base,S1_truncation,C1_bert_s1,20,3,0.7859136535071135,0.16412978729792432,-0.12702160237120438,0.07707309349183168,,,,
event_driven,BERT-base,S2_chunk_mean,C1_bert_s2,5,3,1.5036831324259357,0.23898180476195596,-0.15824745459094944,0.051888284242605213,18.014598498341677,4.260204389893209e-72,7.59470383791315,3.192347727595538e-14
event_driven,BERT-base,S2_chunk_mean,C1_bert_s2,10,3,1.2292466925772558,0.21978067163728487,-0.17729162191664286,0.07063915066552963,15.393883073880009,3.1581721917702687e-53,10.86226722068259,2.0079327321866497e-27
event_driven,BERT-base,S2_chunk_mean,C1_bert_s2,20,3,0.9013705132077942,0.13223762599644778,-0.17652762866643998,0.0613903342463658,13.901058168830687,9.120936527896215e-44,12.621334580625655,2.086069189975675e-36
combined,FinBERT,S1_truncation,C2_finbert_s1,5,3,1.37861708060201,0.17399730205337227,-0.1340867015060739,0.032736790793106235,,,,
combined,FinBERT,S1_truncation,C2_finbert_s1,10,3,0.8203142852961681,0.13646068611628423,-0.04336236800107762,0.05566195183453351,,,,
combined,FinBERT,S1_truncation,C2_finbert_s1,20,3,0.8454875537543854,0.22263810228015984,-0.1505913185450304,0.09782560353595117,,,,
combined,FinBERT,S2_chunk_mean,C2_finbert_s2,5,3,1.513755469515304,0.15726113378615406,-0.15675137247220064,0.031272954182120505,8.214093513212658,2.2147429628117491e-16,5.257965494497073,1.465620837141305e-07
combined,FinBERT,S2_chunk_mean,C2_finbert_s2,10,3,1.1488343600072348,0.2860208608203864,-0.1554838632365069,0.09729983802484513,31.543833123814885,3.502275141017331e-215,24.394048097319228,2.8421403011267606e-130
combined,FinBERT,S2_chunk_mean,C2_finbert_s2,20,3,0.8834097515096979,0.17193577139105778,-0.1870836059065449,0.08205386561575796,7.0445560371840115,1.897365494503561e-12,6.917505134353204,4.68133149292839e-12
combined,FinBERT,S3_chunk_attn,C2_finbert_s3,5,3,1.480992756236074,0.2621983360403108,-0.16116700150874466,0.06889246976883948,12.267064207653062,1.6180181118665931e-34,12.022677785380887,3.168452934767606e-33
combined,FinBERT,S3_chunk_attn,C2_finbert_s3,10,3,1.2171305203147451,0.11663733173382052,-0.15819625358544012,0.06148435262726226,26.940484759318537,3.8370023196243975e-158,20.47403041335657,1.3861757924083592e-92
combined,FinBERT,S3_chunk_attn,C2_finbert_s3,20,3,0.9043162875353504,0.1450476389281743,-0.1746969557232767,0.06189664477250517,5.101515406089508,3.388296409480642e-07,1.9175430047676065,0.05517770253807048
combined,FinBERT,S4_hierarchical,C2_finbert_s4,5,3,1.6164788921322384,0.24206173910382126,-0.22196757238944578,0.05641992277351891,25.472147959349716,9.386067579919025e-142,25.06972549240334,2.0518182939963693e-137
combined,FinBERT,S4_hierarchical,C2_finbert_s4,10,3,1.0603324194836177,0.10775617238581506,-0.12312477176005283,0.03414446790438459,23.593828631845785,4.604302241651362e-122,18.67466114877102,2.0013164770032895e-77
combined,FinBERT,S4_hierarchical,C2_finbert_s4,20,3,0.7423368681597964,0.12172453236648326,-0.11088157537431553,0.08101843892582111,-10.196629847534462,2.2330971290230588e-24,-6.513563215406448,7.445470809727443e-11
combined,FinBERT,S5_long_context,C4_longformer,5,3,1.5938876584718729,0.15963924151258946,-0.20922014668893474,0.028060656679451342,9.189980493070216,4.151766335917768e-20,15.917227679302988,7.829872950508361e-57
combined,FinBERT,S5_long_context,C4_longformer,10,3,1.032769255883866,0.11621297502808411,-0.11572439825388699,0.04072467302839397,24.774774992489622,2.85332197678445e-134,20.118992724165636,1.7384293919224487e-89
combined,FinBERT,S5_long_context,C4_longformer,20,3,0.7615951796364945,0.1444467238787918,-0.11038478486969565,0.08262457681955723,-7.543105824571153,4.708257698650181e-14,-5.415277825508308,6.162515757010207e-08
combined,BERT-base,S1_truncation,C1_bert_s1,5,3,1.590226305785486,0.31264594518722827,-0.18867826830068024,0.08331375561041167,,,,
combined,BERT-base,S1_truncation,C1_bert_s1,10,3,0.7889166409501597,0.1663192565233063,-0.037192740427584435,0.055708525358851624,,,,
combined,BERT-base,S1_truncation,C1_bert_s1,20,3,0.9342594605588183,0.08328847315654178,-0.21296705386665785,0.013436722283108453,,,,
combined,BERT-base,S2_chunk_mean,C1_bert_s2,5,3,1.692086509487395,0.049760629875088086,-0.21712437907528934,0.019697326352601602,16.715662054110307,1.820670190237417e-62,15.151928228702559,1.097845727460944e-51
combined,BERT-base,S2_chunk_mean,C1_bert_s2,10,3,1.1524886185649281,0.1777072710818912,-0.1583763295051198,0.06076658771172094,29.59150405231781,5.934995059073596e-190,23.276548004250724,7.001082411454504e-119
combined,BERT-base,S2_chunk_mean,C1_bert_s2,20,3,0.8802958823285031,0.018687923448225154,-0.16633355958830828,0.011116371460231145,-6.019023334765673,1.7734180388992784e-09,-7.673420749676384,1.721251370227505e-14
