model,disclosure,horizon,axis,stratum,n,rel_impr_pct,dm_q_stat,dm_q_p,ci_lo,ci_hi,placebo_rel_impr_pct
B3_lm_linear,long_form,10,vol_regime,low,2645,1.565278104844656,-2.5409937235280435,0.011110487731026013,0.0002726484404587616,0.0020292412035754675,0.1778457834900739
B3_lm_linear,long_form,10,period,<=2022,1976,-1.0667216673131787,1.3682760385057293,0.17138132225690828,-0.0020407024116705728,0.00033833828357068634,-0.4716323672906469
B3_lm_linear,long_form,10,period,2023,1982,2.5348768746619594,-3.584785155972339,0.0003455183256484956,0.001038530282497896,0.0034579827919601585,0.327380998762927
B3_lm_linear,long_form,10,period,2024-2025,3975,2.6416061815760563,-6.565140285702205,5.869194625840175e-11,0.00169988398204316,0.003205326314843874,0.41480358959913344
B3_lm_linear,long_form,10,form,10-Q,5949,1.776591481737934,-4.450439856516591,8.725842820338484e-06,0.0008357666335856854,0.0021226641675406513,0.2612023927772364
B3_lm_linear,long_form,10,form,10-K,1984,1.8383562825064659,-3.015700510393209,0.002596422033482027,0.0007026065649841053,0.003063350225459507,0.034600271018533885
B3_lm_linear,long_form,20,all,ALL,7902,3.484928689567726,-9.632027221865279,7.718001654547799e-22,0.0019359038615177457,0.0029531247815177053,-0.2930807521891826
B3_lm_linear,long_form,20,vol_regime,mid,2634,3.1728234294896507,-5.194856318684383,2.2054902967149635e-07,0.0013256839138133217,0.0027674872304716026,-0.13176160669008122
B3_lm_linear,long_form,20,vol_regime,high,2634,4.402378468309437,-7.289503981411405,4.093430053352832e-13,0.002744471949128821,0.004747423223773766,-0.3316919951256109
B3_lm_linear,long_form,20,vol_regime,low,2634,2.556486821642856,-3.7204548043576366,0.00020302182198750772,0.000747767681872151,0.0024301933482623558,-0.40624427363999716
B3_lm_linear,long_form,20,period,<=2022,1975,1.5050855316753686,-1.6114956016347453,0.10723160952571074,-0.00018858224753518318,0.001697639778760996,-0.0729813276611497
B3_lm_linear,long_form,20,period,2023,1979,4.049842671820542,-6.364154624511399,2.433669541617453e-10,0.0021768107664494464,0.003988325168135616,-0.2888152189132836
B3_lm_linear,long_form,20,period,2024-2025,3948,3.8777670127928574,-8.092431970855262,7.713924953687602e-16,0.0022203364878000433,0.003670397247518292,-0.370413721657579
B3_lm_linear,long_form,20,form,10-Q,5930,4.073481742943066,-9.304004900594494,1.8628489353976336e-20,0.0022427069889323615,0.003454227995141471,-0.35040556345031076
B3_lm_linear,long_form,20,form,10-K,1972,1.8181690002665207,-2.8297596768974573,0.004705482683251616,0.00044746681223138094,0.0022490873185665463,-0.13073908382319624
B4_lm_features,long_form,5,all,ALL,7951,0.11279127264884282,-2.7966909124361963,0.00517529308463671,3.8579064913783764e-05,0.0002246144344787389,-0.049112314313386696
B4_lm_features,long_form,5,vol_regime,mid,2650,0.021381304709850966,-0.28843005202950034,0.7730401326496499,-0.00014478498247292353,0.00018158345048064318,-0.06893152349597924
B4_lm_features,long_form,5,vol_regime,high,2650,0.3752506565588666,-6.147978989621081,9.032061289387764e-10,0.00034629353504550607,0.0006853761261911762,0.0211649067972764
B4_lm_features,long_form,5,vol_regime,low,2651,-0.12167520504420658,1.539606801062318,0.12377561772952571,-0.00030920670114967133,2.7001873618850856e-05,-0.11676649154333653
B4_lm_features,long_form,5,period,<=2022,1977,-0.009518159889387352,0.11949844240774543,0.904892621408766,-0.0001931800269178909,0.00016562165653526316,-0.2533241568334569
B4_lm_features,long_form,5,period,2023,1982,0.18390979306217237,-2.431123508325005,0.015140255768468466,2.8092693364029265e-05,0.00035576721643662497,0.06834075281411073
B4_lm_features,long_form,5,period,2024-2025,3992,0.1363876481703896,-2.348072718475799,0.01891939590057599,3.148525118588388e-05,0.00032356411085277795,-0.009186679173169534
B4_lm_features,long_form,5,form,10-Q,5960,0.05138382565091645,-1.0137034474006619,0.3107654353420431,-5.8341458768370714e-05,0.00018077767108193177,-0.058591903847855696
B4_lm_features,long_form,5,form,10-K,1991,0.2930026658384569,-5.240572260818668,1.7702980908641797e-07,0.0002230080308345949,0.000500585218950412,-0.021292723687350232
B4_lm_features,long_form,10,all,ALL,7933,-0.9221600983274089,8.660180940957774,5.643877902939107e-18,-0.00098787064451122,-0.0006124023863926377,0.059218448792967775
B4_lm_features,long_form,10,vol_regime,mid,2644,-0.42826919598818186,2.3430439185534104,0.019200915079439388,-0.0006282345410889354,-4.680181880421103e-05,0.11243825822315509
B4_lm_features,long_form,10,vol_regime,high,2644,-1.41193040923251,8.597086179977577,1.3766693938627225e-17,-0.0018686144808454117,-0.001183532241185404,0.02605683162867229
B4_lm_features,long_form,10,vol_regime,low,2645,-0.7425618985297374,3.529899824660817,0.0004228144099604507,-0.0008578976632078541,-0.00023427773408053284,0.05035300151754823
B4_lm_features,long_form,10,period,<=2022,1976,0.08995876958795701,-0.36475377349151533,0.715334266086775,-0.0002851750025424684,0.0004361477052425508,-0.18066846704409792
B4_lm_features,long_form,10,period,2023,1982,-0.89181405259213,4.731498804885704,2.3862243684640707e-06,-0.0010899211349582182,-0.0004579533935755543,0.09714312047765752
B4_lm_features,long_form,10,period,2024-2025,3975,-1.3566324926013607,9.520606716368311,2.89697165068254e-21,-0.0015309128244022743,-0.0009911119870687677,0.14142344616713234
B4_lm_features,long_form,10,form,10-Q,5949,-1.0616855253459703,8.1514206445354,4.348109510244053e-16,-0.0011039159000891573,-0.0006641661365815187,0.07355324818614968
B4_lm_features,long_form,10,form,10-K,1984,-0.5690886693422252,3.0832251554459518,0.002075910878393993,-0.0009169709201001855,-0.00021943785194574004,0.02294399893736269
B4_lm_features,long_form,20,all,ALL,7902,-1.9204741365980584,14.656875830308563,5.178197438694245e-48,-0.0015296801902105303,-0.001172079587105994,-0.3645968964628294
B4_lm_features,long_form,20,vol_regime,mid,2634,-1.5924942471745254,7.186765758065742,8.601434904629685e-13,-0.0012744294042316088,-0.00074521238715819,-0.20909061390719375
B4_lm_features,long_form,20,vol_regime,high,2634,-2.3606432850188503,11.17066577617981,2.4350091755125585e-28,-0.002341477464026312,-0.0016416266420774756,-0.37902055640429366
B4_lm_features,long_form,20,vol_regime,low,2634,-1.6581463760468076,6.8283247271294165,1.0627507891000116e-11,-0.0013240217451792656,-0.0007291337347852699,-0.5047193247036541
B4_lm_features,long_form,20,period,<=2022,1975,-1.56131551412461,5.506575640508449,4.136810851033587e-08,-0.0010949340181984938,-0.0005347914086721241,-0.12734549180653626
B4_lm_features,long_form,20,period,2023,1979,-1.47615243036947,6.254470082888577,4.874624244314115e-10,-0.0014760794657886775,-0.0007755198992629236,-0.3325061007230664
B4_lm_features,long_form,20,period,2024-2025,3948,-2.2661784908269014,12.52555220524219,2.5200338617820575e-35,-0.0020017930852896187,-0.0014664346470918011,-0.461755003249832
B4_lm_features,long_form,20,form,10-Q,5930,-2.207833738842664,13.765955137214943,1.827588014358802e-42,-0.0017583881850158482,-0.0013115968365416766,-0.42459650704385554
B4_lm_features,long_form,20,form,10-K,1972,-1.10668275686073,5.213184139990968,2.0506307295139123e-07,-0.0011119548241178368,-0.0005270824660193078,-0.19468029894167455
C1_bert_s1,long_form,5,all,ALL,7951,0.11848154642710448,-0.9605648147902127,0.3368002400981529,-0.00014687975012678888,0.0004164809322707562,-0.07252239835162239
C1_bert_s1,long_form,5,vol_regime,mid,2650,-0.11881301637095495,0.5621162569384217,0.5740843716458273,-0.0006125810399130159,0.00033779340464144565,-0.16336604841693703
C1_bert_s1,long_form,5,vol_regime,high,2650,0.3825781615867428,-1.788373303916832,0.07383004675199206,-4.280012135694583e-05,0.001099968529999182,0.12294717143868042
C1_bert_s1,long_form,5,vol_regime,low,2651,0.03458627566631543,-0.1637018919746169,0.8699783114649567,-0.0004317051319459151,0.0004912827713515651,-0.22332621370682976
C1_bert_s1,long_form,5,period,<=2022,1977,-2.186469951983711,7.2211840489097625,7.32075313188517e-13,-0.0031593061336344917,-0.0017959604757040869,-0.7774442006531679
C1_bert_s1,long_form,5,period,2023,1982,0.9556936116778347,-4.710416219092797,2.643805099282622e-06,0.000590798127221228,0.0014636030750006062,0.27706710688889785
C1_bert_s1,long_form,5,period,2024-2025,3992,0.76939148359665,-4.928885527160838,8.605857199059956e-07,0.0006011931025939577,0.0014023695522979245,0.08819382900758889
C1_bert_s1,long_form,5,form,10-Q,5960,0.2397137116406604,-1.8187871187633267,0.06899408521139246,-2.954238252513223e-05,0.0005900796873769764,-0.05589599297986301
C1_bert_s1,long_form,5,form,10-K,1991,-0.23729643263895497,0.8139634135096953,0.41576329493268627,-0.0009976621198169845,0.0004111630364275218,-0.12131562820013281
C1_bert_s1,long_form,10,all,ALL,7933,-1.2823173171874116,4.3669370330309745,1.276015493211553e-05,-0.0016121641173550577,-0.0006204326127452802,0.06501033749744745
C1_bert_s1,long_form,10,vol_regime,mid,2644,-0.6399552412958074,1.2171917892741002,0.22363992251323275,-0.0013586716491877295,0.0002819407803692471,0.1485659248827446
C1_bert_s1,long_form,10,vol_regime,high,2644,-1.290514709886665,2.6932770031034496,0.007120034328950441,-0.0023743786344766174,-0.00037565287309886277,0.12441738038754034
C1_bert_s1,long_form,10,vol_regime,low,2645,-1.953370834331264,3.505475555843951,0.00046337358691109004,-0.0022792962387869807,-0.000647729701417254,-0.10927829208286821
C1_bert_s1,long_form,10,period,<=2022,1976,-1.8752292064449383,3.2231664531728157,0.0012884830377513084,-0.002352833232922305,-0.0005769292577667605,-0.3374872434248689
C1_bert_s1,long_form,10,period,2023,1982,0.37635883600009506,-0.6495765901124835,0.5160410673995093,-0.0006627993691502227,0.0012740985115462279,0.1384244696644082
C1_bert_s1,long_form,10,period,2024-2025,3975,-1.799613405412027,4.3505831070771155,1.3918503510313096e-05,-0.0024404945233218144,-0.0009214646018538155,0.1984357742961859
C1_bert_s1,long_form,10,form,10-Q,5949,-1.3900418702427522,3.643935825126489,0.00027078933179156526,-0.0017776693197465887,-0.0005529272649014423,0.15733007424656908
C1_bert_s1,long_form,10,form,10-K,1984,-1.009718532171835,2.5671404018493855,0.010326859139696557,-0.0017658600028674313,-0.00025028269618440196,-0.16860630195001444
C1_bert_s1,long_form,20,all,ALL,7902,2.9501240406208877,-15.113444567398918,6.766413997687831e-51,0.0017951433453947765,0.002341770068538695,0.20872444075173832
C1_bert_s1,long_form,20,vol_regime,mid,2634,2.725786535652568,-7.662390087083359,2.5473698219739828e-14,0.0012762354077592041,0.002169999667218291,0.04915932135826905
C1_bert_s1,long_form,20,vol_regime,high,2634,3.226376967105245,-11.544784297683893,4.110625868378472e-30,0.0022854888431719177,0.0031827693438814184,0.11634748509026432
C1_bert_s1,long_form,20,vol_regime,low,2634,2.8044866547341742,-6.703677744455193,2.4773472751890908e-11,0.0012296391017311864,0.0022383710105283584,0.49842300882681667
C1_bert_s1,long_form,20,period,<=2022,1975,3.496550988943776,-7.5105163234686,8.869288136054107e-14,0.0013443172044734957,0.002287687463094416,-0.13068122262626317
C1_bert_s1,long_form,20,period,2023,1979,2.3387528281755605,-6.1316478893679935,1.0472513409905257e-09,0.0011901642549290651,0.0023448579210614633,0.38181237256086414
C1_bert_s1,long_form,20,period,2024-2025,3948,3.070297562081819,-11.818486349956911,1.0660758206224328e-31,0.0019742973411350237,0.0027188867232996344,0.237801757859141
C1_bert_s1,long_form,20,form,10-Q,5930,3.009724906007251,-13.401996531649088,2.266610050677128e-40,0.001777462006823158,0.002371690500816223,0.2941702489604571
C1_bert_s1,long_form,20,form,10-K,1972,2.781336674208051,-6.942713945410147,5.202186483186476e-12,0.0014733418011223488,0.002625745038323403,-0.033254813157985404
C2_finbert_s1,long_form,5,all,ALL,7951,0.5621361399397687,-5.573568413126545,2.577387009328298e-08,0.0004440566917848451,0.000917788333447219,0.012409593661658148
C2_finbert_s1,long_form,5,vol_regime,mid,2650,0.4135379087968922,-2.5016766714980703,0.012420554955745716,0.00010246794753559523,0.00083693262959123,-0.04833080779919906
C2_finbert_s1,long_form,5,vol_regime,high,2650,0.27812102087527274,-1.704525260088414,0.08840026416596229,-4.713203887993304e-05,0.0008431019540505141,-0.1267481905306536
C2_finbert_s1,long_form,5,vol_regime,low,2651,1.0748202852127786,-4.917612143626855,9.29593029471301e-07,0.0007220084198960677,0.0016549764417415269,0.2509817366529128
C2_finbert_s1,long_form,5,period,<=2022,1977,1.3617540525628602,-5.936240997603391,3.4360395932121087e-09,0.0010547889714213384,0.002051821691205361,0.3842860242614261
C2_finbert_s1,long_form,5,period,2023,1982,-0.042625765851287675,0.22839230173276248,0.8193648460858011,-0.00043064751977548983,0.0003674507860592434,-0.1703918629227075
C2_finbert_s1,long_form,5,period,2024-2025,3992,0.46519052102658376,-3.425398161624149,0.0006200926744034911,0.00028405662988454625,0.0009604373509867936,-0.0730400628627665
C2_finbert_s1,long_form,5,form,10-Q,5960,0.7667148771667529,-6.263262028437245,4.0334277071208697e-10,0.0006243436942354219,0.0012129170363683413,0.05388247235926018
C2_finbert_s1,long_form,5,form,10-K,1991,-0.03823761039529642,0.22673770345898397,0.820650995346076,-0.00045109781341760456,0.00033478768720905227,-0.10930016004184803
C2_finbert_s1,long_form,10,all,ALL,7933,4.558108481415759,-12.769558213320115,5.600237525417054e-37,0.003363817713478773,0.004596675233452012,-0.019708155520692553
C2_finbert_s1,long_form,10,vol_regime,mid,2644,4.565085570360286,-7.4662507836109,1.1140418686861182e-13,0.0026884867773149176,0.0045403423088340705,-0.02320291294233151
C2_finbert_s1,long_form,10,vol_regime,high,2644,5.531424161592071,-10.35738245838016,1.1405458007843022e-24,0.004851649935889139,0.007054518223558509,-0.019054344945497573
C2_finbert_s1,long_form,10,vol_regime,low,2645,3.1504142962757813,-4.065610014441028,4.9305747412843404e-05,0.0011903995469164518,0.003498117448284793,-0.016933757446608935
C2_finbert_s1,long_form,10,period,<=2022,1976,2.3610217431976177,-2.9539823656814717,0.003174100656452289,0.0006513775576984874,0.003012447382043793,0.02912095017383793
C2_finbert_s1,long_form,10,period,2023,1982,5.172111102202076,-7.869143510389247,5.824760528065691e-15,0.0033946902423449992,0.005572810000077241,-0.04333869312503825
C2_finbert_s1,long_form,10,period,2024-2025,3975,5.188246305574245,-10.595435973591696,6.908413199145613e-26,0.003937330672507608,0.005717519604057575,-0.029115847560696954
C2_finbert_s1,long_form,10,form,10-Q,5949,5.196778430392143,-12.460350660302586,3.368153279961186e-35,0.003640945353084885,0.005016039855857833,-0.024260008090612344
C2_finbert_s1,long_form,10,form,10-K,1984,2.941943483010208,-4.298556531985456,1.802460459541035e-05,0.00158490892412225,0.004287255980835485,-0.008189616386046759
C2_finbert_s1,long_form,20,all,ALL,7902,-0.0837431042934366,5.981780257472185,2.3032271034461296e-09,-7.881682648516618e-05,-3.8699725592049243e-05,0.0014593209139444666
C2_finbert_s1,long_form,20,vol_regime,mid,2634,-0.05234114958921316,2.1475211779038985,0.031842839680341316,-6.20470291412162e-05,-2.7137643927168747e-06,-0.07199633683751135
C2_finbert_s1,long_form,20,vol_regime,high,2634,-0.03590559518127132,2.031302802588541,0.04232454054892996,-5.8133614749740724e-05,-1.3177425407493906e-06,-0.0014546544651046628
C2_finbert_s1,long_form,20,vol_regime,low,2634,-0.1811335350151464,5.078250245057876,4.075423755271465e-07,-0.00015859785007019082,-6.857005662223867e-05,0.08089152438663677
C2_finbert_s1,long_form,20,period,<=2022,1975,-0.1698089629458022,4.832387316186364,1.4531195351060114e-06,-0.00012471640387878784,-5.235878926771374e-05,0.09381942116366174
C2_finbert_s1,long_form,20,period,2023,1979,-0.000448418373394863,0.01689790295681716,0.9865197699293109,-4.0717082112835306e-05,3.924704794103866e-05,-0.03889208268806804
C2_finbert_s1,long_form,20,period,2024-2025,3948,-0.09614634562136229,5.2965707860301805,1.2443332007024601e-07,-0.00010003392480531511,-4.634658590719056e-05,-0.009841027423731072
C2_finbert_s1,long_form,20,form,10-Q,5930,-0.08270088526027874,4.97564065153967,6.686703582698215e-07,-7.971877022567045e-05,-3.4650753403471305e-05,0.012859193059994193
C2_finbert_s1,long_form,20,form,10-K,1972,-0.08669462864952918,3.135355134169896,0.0017417702916532076,-0.0001024739131195682,-2.4933596506357963e-05,-0.030824680073313755
C4_longformer,long_form,5,all,ALL,7951,1.5263781171705173,-8.729907631360366,3.0705444202353247e-18,0.0014460164666236733,0.0022825753862747906,-0.005241786771269058
C4_longformer,long_form,5,vol_regime,mid,2650,1.206452453202946,-4.264176841664021,2.076660447323493e-05,0.0007414344771408272,0.002026299425431186,0.01498983342487531
C4_longformer,long_form,5,vol_regime,high,2650,2.096762074304435,-6.911444998631538,5.987790716787509e-12,0.0021557908119141543,0.003720201549598488,-0.01117885445793648
