permno,cik,link_start,link_end
10291,0000726031,1986-05-27,1988-12-23
10294,0000216085,1986-08-29,
10295,0000751731,1986-05-27,1988-08-25
10296,0000789575,1986-05-27,1994-12-30
10297,0000846931,1986-05-27,2017-01-31
10298,0000762831,1986-05-27,1992-08-19
10299,0000791907,1986-05-28,2017-03-31
10300,0000790423,1986-05-28,1992-08-31
10301,0000788176,1986-05-29,1990-05-31
10302,0000791915,1986-05-29,2020-04-30
10303,0000791013,1986-05-29,2000-06-09
10304,0000714756,1986-05-29,2010-04-23
10307,0000791905,1986-05-29,2000-11-30
10308,0001005817,1986-06-02,
10309,0000829282,1986-06-02,1999-07-30
10314,0000318580,1980-10-07,1988-08-25
10315,0000775476,1986-06-03,1988-02-29
10316,0000775714,1986-06-03,1993-06-23
10317,0000763392,1986-06-03,1988-12-14
10318,0000009326,1986-06-03,
10319,0000850496,1986-06-04,1994-08-19
10320,0000741443,1986-06-04,1990-11-21
10321,0000005496,1949-10-01,1962-01-30
10321,0000005496,1962-01-31,1987-07-31
10324,0000732485,1986-06-05,2011-04-29
10325,0000792570,1986-06-05,2001-05-17
10326,0000766823,1986-06-05,1996-09-26
10328,0000791925,1986-06-05,1997-06-02
10329,0000784259,1986-06-06,1992-04-30
10330,0000769122,1986-06-06,1989-12-28
10332,0001356564,1987-07-01,1988-01-28
10332,0001356564,1988-01-29,1988-12-19
10333,0000791908,1986-06-06,
10334,0000748727,1986-06-06,1990-02-28
10336,0000789966,1986-06-09,1989-01-27
10339,0000799026,1986-07-31,1995-06-30
10341,0000812146,1986-06-10,2004-04-30
10342,0000109831,1986-06-10,2006-03-31
10343,0000792863,1986-06-10,1997-01-31
10344,0000791726,1986-06-10,1994-08-31
10345,0000792455,1986-06-10,1992-07-10
10346,0000792861,1986-07-01,1987-01-29
10346,0000792861,1987-01-30,1994-08-14
10346,0000792861,1994-12-07,2002-12-13
10347,0000705868,1988-01-22,1989-10-03
10350,0000771674,1986-06-10,1993-03-31
10351,0000792853,1986-06-10,1996-02-29
10352,0000792969,1986-06-11,1996-03-29
10353,0000709804,1986-06-11,2010-08-04
10353,0000709804,2015-07-07,2017-02-28
10354,0000779314,1986-06-11,1991-07-24
10355,0000783412,1986-06-11,
10358,0000792126,1986-06-11,1995-09-12
10359,0000805790,1988-02-17,1989-01-31
10360,0000829444,1988-03-30,1999-07-30
10361,0000793029,1986-06-11,1996-05-01
10362,0000786765,1986-06-11,2006-04-10
10363,0000792977,1986-06-11,2020-11-30
10364,0000007649,1950-01-01,1962-01-30
10364,0000007649,1962-01-31,1999-11-30
10365,0000355713,1982-06-21,1985-06-28
10366,0000793080,1986-06-11,1994-06-03
10370,0001467981,1986-06-13,1989-03-27
10371,0000793279,1986-06-16,2010-01-05
10372,0000836102,1950-01-01,1962-01-30
10372,0000836102,1962-01-31,1988-07-01
10374,0000756759,1986-06-17,1991-12-23
10375,0000019612,1986-06-17,2019-07-31
10376,0000793500,1986-06-17,1997-10-31
10377,0000793596,1986-06-18,1988-09-27
10378,0000790883,1986-06-17,1987-12-01
10378,0000790883,1988-04-05,1988-08-18
10379,0000720744,1986-06-18,1989-11-30
10381,0000352979,1981-08-12,1983-05-31
10382,0000792987,1986-06-18,
10383,0000725058,1986-06-18,2008-05-08
10384,0000793026,1986-06-18,1997-12-31
10385,0000765028,1986-07-31,1992-05-29
10386,0000778426,1986-06-18,1999-09-17
10387,0000791953,1986-06-18,1991-01-31
10388,0001122211,1986-06-18,2003-03-24
10389,0000793235,1986-06-18,1990-05-22
10390,0000791398,1986-06-19,1986-06-29
10390,0000791398,1986-06-30,1997-01-29
10393,0000892432,1986-06-19,1995-03-31
10394,0000793520,1992-03-31,1997-04-30
10395,0000793547,1986-06-19,2019-05-31
10396,0000721171,1986-06-19,1988-12-09
10397,0000793074,1986-06-20,
10398,0000793604,1986-06-26,2000-04-28
10401,0000005907,1950-01-01,1962-01-30
10401,0000005907,1962-01-31,2005-11-18
10402,0000006839,1973-04-01,1979-01-30
10402,0000006839,1979-01-31,1983-03-31
10404,0000078536,1986-06-20,2010-12-14
10405,0000772337,1986-06-23,1989-04-28
10406,0000792932,1986-06-20,1999-04-30
10407,0000792160,1986-06-24,1998-06-30
10410,0000793613,1986-06-25,2000-08-31
10411,0000789462,1986-06-25,1997-04-30
10412,0000766738,1986-06-25,2000-02-25
10413,0000085558,1986-06-25,1991-07-31
10414,0000793575,1986-06-25,1994-03-31
10415,0000793652,1986-06-26,1994-01-31
10416,0000739922,1986-06-26,1989-12-14
10417,0000793522,1986-06-26,1991-12-31
10418,0000793961,1986-06-26,1986-06-29
10418,0000793961,1986-06-30,2004-11-12
10419,0000785321,1986-06-26,1996-12-18
10420,0000792984,1986-06-26,1992-07-13
10421,0000793733,1986-06-26,
10422,0000712425,1986-06-26,2001-09-07
10423,0000793971,1986-06-27,2001-08-31
10424,0000793369,1986-06-27,1987-07-27
10425,0000793280,1986-06-27,1998-07-31
10426,0000351238,1986-06-27,1995-04-28
10427,0000788845,1986-06-30,1988-02-01
10429,0000354797,1981-10-01,1994-09-30
10430,0000773383,1986-07-01,1988-12-30
10432,0000793592,1986-07-01,1993-12-31
10433,0000779162,1986-07-01,1990-06-20
10434,0000793937,1986-07-01,1997-12-18
10436,0000008938,1963-01-31,1971-06-18
10438,0000861625,1986-07-01,1996-06-28
10439,0000787912,1986-07-01,2000-01-06
10440,0000793586,1986-07-01,1988-12-22
10441,0000721080,1986-07-02,1986-07-30
10441,0000721080,1986-07-31,1991-04-09
10442,0000793765,1986-07-02,2000-07-31
10443,0000844059,1986-07-02,
10445,0000007202,1973-04-01,1979-01-30
10445,0000007202,1979-01-31,1980-10-31
10446,0000793982,1986-07-02,1999-05-21
10448,0000706473,1986-07-03,1988-04-13
10449,0000921746,1986-07-03,2002-09-30
10450,0000793771,1986-07-03,1990-04-30
10451,0000793499,1986-07-02,1997-02-28
10453,0000814856,1988-04-28,2005-08-29
10454,0000761895,1986-07-07,1993-10-21
10455,0000764864,1987-03-31,1998-03-09
10456,0000793933,1986-07-08,2000-06-30
10457,0000820900,1988-05-11,1997-05-30
10459,0000793950,1986-07-09,1988-03-31
10460,0001037868,1950-01-01,1962-01-30
10460,0001037868,1962-01-31,1997-07-31
10461,0000841909,1986-07-09,1998-08-31
10462,0001011134,1986-07-08,1997-05-30
10463,0000793524,1986-07-08,
10467,0000830750,1986-07-10,2002-12-31
10468,0000793729,1986-07-09,1988-12-30
10469,0000795424,1986-07-10,1988-05-31
10471,0000793395,1986-07-10,1992-06-15
10472,0000794369,1986-07-11,1988-01-29
10473,0000794216,1986-07-11,1987-08-31
10474,0000757185,1986-07-11,1991-05-31
10476,0000831677,1988-05-17,1993-12-14
10477,0000795574,1986-07-14,1992-10-15
10479,0000807711,1950-01-01,1962-01-30
10479,0000807711,1962-01-31,1984-02-08
10480,0000724768,1983-10-18,1984-10-16
10482,0000710118,1986-07-17,1990-02-16
10484,0000106473,1986-07-17,2001-06-29
10487,0000006216,1949-10-01,1962-01-30
10487,0000006216,1962-01-31,1986-06-30
10488,0000008855,1972-12-14,2006-03-31
10490,0000749251,1986-07-17,1988-08-08
10491,0000760995,1986-07-17,1990-09-28
10493,0000780068,1986-07-17,1995-10-25
10496,0000319037,1981-03-09,1996-08-28
10497,0000766791,1986-07-18,1987-12-14
10499,0000794270,1986-07-18,1989-08-31
10501,0000794619,1986-07-18,
10502,0000705618,1986-07-18,1989-07-07
10504,0000795182,1986-07-22,1986-07-30
10504,0000795182,1986-07-31,1992-02-06
10505,0000730922,1986-07-22,1991-10-31
10506,0000792643,1986-07-22,1998-03-31
10507,0000748270,1986-07-22,2014-10-02
10511,0000794383,1986-07-23,1989-04-13
10512,0000793160,1986-07-23,1989-06-09
10513,0000786557,1986-07-23,2000-05-31
10514,0000795212,1986-07-24,2023-06-09
10515,0000795579,1986-07-24,1998-12-31
10516,0000007084,1949-07-01,1962-01-30
10516,0000007084,1962-01-31,
10517,0001808834,1982-11-04,1992-12-31
10517,0001808834,1993-01-01,2010-11-30
10517,0001808834,2010-12-01,
10518,0000947552,1986-07-24,1987-05-29
10519,0000793726,1986-07-24,1993-03-31
10520,0000790710,1986-07-24,1994-12-08
10521,0000794107,1986-07-24,1986-07-30
10521,0000794107,1986-07-31,1988-08-01
10523,0000789932,1986-07-25,1989-02-28
10527,0000795425,1986-07-25,1999-09-30
10528,0000870764,1986-07-24,1991-07-31
10530,0000794172,1986-07-29,2023-02-28
10531,0000795665,1986-07-30,2000-11-16
10535,0000795183,1986-07-30,1989-08-31
10536,0000795968,1986-07-30,2001-04-16
10537,0000794627,1986-07-30,1995-11-30
10538,0000794881,1986-07-31,1991-08-30
10539,0000794230,1986-07-31,1988-02-29
10541,0000007522,1961-01-01,1969-01-30
10541,0000007522,1969-01-31,1976-09-30
10543,0000774554,1987-01-30,1991-03-06
10544,0000795265,1986-07-30,1995-09-19
10545,0000795986,1986-08-05,2000-07-31
10547,0000796505,1986-08-06,
10548,0000771287,1986-08-06,1988-08-18
10549,0000764199,1986-08-07,1989-02-28
10550,0000788920,1986-08-07,
10554,0000796366,1986-08-12,1987-10-30
10555,0000715247,1986-08-08,1995-08-31
10556,0000796040,1986-08-08,1991-04-12
10557,0000796318,1986-08-08,1994-05-11
10559,0000007822,1950-02-01,1962-01-30
10559,0000007822,1962-01-31,1986-10-31
10560,0001039778,1987-07-16,2007-10-26
10561,0000787793,1986-08-12,1995-09-22
10562,0000811830,1986-08-12,2009-01-29
10563,0001002682,1986-08-12,2010-01-11
10564,0000796486,1986-08-12,2002-05-31
10566,0000846917,1986-08-13,1997-09-30
10568,0000001923,1982-06-29,2011-08-31
10569,0000948463,1986-08-13,1996-11-29
10571,0000796369,1986-08-13,2003-05-02
10572,0000040542,1986-08-13,1998-05-29
10573,0000791731,1986-08-13,1997-01-20
10574,0000821616,1988-02-02,2008-07-22
10577,0000793894,1986-08-14,1988-05-31
10578,0000796313,1986-08-14,1995-08-31
10579,0000766624,1986-08-14,1989-09-05
10580,0000794103,1986-08-15,1995-07-31
10581,0000811436,1986-08-15,1994-05-27
10584,0000320029,1981-03-03,1983-11-30
10585,0000790933,1986-08-18,1987-05-29
10585,0000790933,1987-07-31,1989-08-11
10586,0000796577,1986-08-18,2008-06-02
10587,0000795279,1986-08-18,1989-11-30
10588,0000792360,1986-08-19,2003-03-31
10589,0000796579,1986-08-19,1988-02-29
10590,0000318598,1988-02-01,1989-06-06
10592,0000215005,1978-09-21,1986-02-05
10593,0000796228,1986-08-19,1992-04-03
10594,0000919568,1986-08-19,2002-01-31
10595,0000796331,1986-08-20,1987-08-31
10596,0000846801,1986-08-20,1997-08-29
10597,0000356841,1986-08-20,2010-02-26
10598,0000703800,1988-06-02,1999-07-30
10600,0000768534,1988-04-06,1988-12-30
10601,0000793725,1986-08-21,1988-03-09
10602,0000795262,1986-08-21,1990-02-28
10603,0000745087,1986-08-21,1999-05-28
10604,0000775483,1950-01-01,1962-01-30
10604,0000775483,1962-01-31,2000-04-28
10605,0000001985,1982-01-01,1982-01-28
10605,0000001985,1982-01-29,1999-12-15
10606,0000795403,1986-08-21,
10608,0000040675,1986-08-25,1997-05-29
10610,0000794620,1986-08-26,1996-01-31
10611,0000883702,1986-08-26,1998-09-28
10614,0000796516,1986-10-31,1988-08-12
10615,0000758119,1986-08-27,1988-11-30
10618,0000766404,1986-08-27,1992-06-05
10619,0001444064,1987-03-31,1991-07-23
10622,0000796502,1986-08-27,2004-03-31
10623,0001132979,1986-08-27,2007-09-21
10624,0001057412,1986-08-28,2000-12-29
10625,0000828174,1988-06-15,1991-11-18
10626,0000793630,1986-08-28,1989-06-30
10627,0000797656,1986-08-28,1990-06-15
10628,0000735349,1986-09-02,2001-09-28
10629,0000037808,1986-09-02,
10630,0000720883,1986-09-02,1994-08-31
10631,0000771777,1986-09-03,1991-10-31
10632,0000820786,1986-09-03,1995-11-30
10633,0000727127,1986-09-03,1996-02-29
10634,0000798139,1986-09-04,1996-11-26
10636,0001254699,1986-09-05,1995-01-31
10636,0001254699,1995-02-01,1995-02-28
10637,0000779681,1986-09-05,1986-09-29
10637,0000779681,1986-09-30,1998-04-05
10637,0000779681,2000-04-26,2002-08-20
10638,0000702902,1986-09-05,2010-04-30
10640,0000050346,1972-12-14,1987-03-31
10641,0000753324,1986-09-08,1988-06-30
10643,0000075748,1986-09-09,1989-09-05
10644,0000795551,1986-09-09,2013-10-31
10645,0000798081,1986-09-09,
10646,0000081057,1986-09-10,1997-11-25
10649,0000798287,1986-09-10,
10650,0001024015,1986-09-10,2006-01-31
10651,0000746594,1986-09-11,1994-03-31
10654,0000843495,1986-09-11,1997-05-30
10656,0000002034,1972-12-14,2019-10-02
10657,0000801622,1986-09-15,2007-03-30
10658,0000793523,1986-09-18,2000-11-17
10659,0000792641,1986-09-12,2015-08-19
10660,0000027399,1986-09-15,1993-02-04
10661,0000768408,1986-09-15,
10662,0000797394,1986-09-16,1991-07-31
10664,0000002062,1972-12-14,1994-09-30
10666,0000760691,1986-09-16,1989-02-10
10667,0001340786,1986-09-16,2016-06-30
10668,0001046936,1987-05-29,1988-09-26
10669,0000840163,1986-09-17,1995-12-29
10672,0000002075,1972-12-14,1985-06-28
10674,0000791994,1986-10-31,1987-10-26
10675,0000857559,1986-09-18,1998-12-31
10676,0000937256,1986-09-18,1995-04-18
10677,0000830485,1988-04-06,1990-12-26
10678,0000787016,1986-09-22,1988-07-25
10679,0000726443,1986-09-22,1987-12-10
10680,0000797502,1986-09-22,2003-10-31
10682,0001011309,1986-09-23,2007-02-28
10683,0000829803,1986-09-23,1996-02-29
10684,0000796578,1986-09-22,1994-01-17
10685,0000799903,1986-09-23,2001-10-31
10686,0000744956,1986-09-23,1992-09-03
10687,0001088120,1986-09-23,1986-09-29
10687,0001088120,1986-09-30,1994-02-09
10688,0000797564,1986-09-24,1986-09-29
10688,0000797564,1986-09-30,1997-07-11
10689,0000225662,1986-09-24,1993-01-25
10691,0000799089,1986-09-24,2005-04-29
10693,0000785161,1986-09-24,
10694,0000750637,1986-09-24,1987-10-30
10695,0000743213,1986-09-24,1988-11-30
10695,0000743213,1988-12-01,1989-03-20
10695,0000743213,1989-10-12,1990-04-22
10695,0000743213,1990-04-23,1991-07-11
10696,0000798354,1986-09-25,
10697,0000811908,1986-09-25,1994-05-31
10698,0000009842,1976-01-01,1976-01-29
10698,0000009842,1976-01-30,1981-06-30
10699,0000079397,1982-01-28,1986-10-31
10702,0000798363,1986-09-25,1995-12-29
10703,0000773678,1986-09-25,1988-06-22
10704,0000758292,1986-09-25,1997-09-30
10705,0000798166,1986-09-25,1994-11-30
10706,0000798935,1986-09-26,1999-06-30
10709,0000798736,1986-09-26,2008-04-30
10710,0000769800,1986-09-26,1994-09-30
10712,0000799666,1986-10-01,1988-09-16
10713,0000727737,1986-10-01,1999-02-01
10714,0000798044,1986-10-01,1997-08-29
10715,0000758029,1986-10-01,1995-08-31
10716,0000739404,1986-10-01,1998-12-31
10718,0000826330,1988-04-18,1995-05-04
10720,0000730066,1983-11-22,1989-07-31
10721,0000797975,1986-10-02,1997-01-31
10723,0000799292,1986-10-03,1986-12-30
10723,0000799292,1986-12-31,1990-06-29
10724,0000799036,1986-10-03,1997-06-30
10725,0000819692,1988-01-22,2004-09-30
10726,0000799485,1988-03-08,2001-01-22
10728,0000002166,1972-12-14,1976-05-28
10729,0000715453,1986-10-03,1988-01-11
10730,0000216729,1986-10-06,1996-11-29
10731,0000027082,1978-01-05,1978-01-30
10731,0000027082,1978-01-31,1982-07-25
10731,0000027082,1986-10-06,2000-06-17
10732,0000790373,1986-10-06,1988-02-29
10733,0000799028,1986-10-07,1995-11-30
10735,0000093146,1961-01-01,1962-01-30
10735,0000093146,1962-01-31,1968-01-12
10737,0000798289,1986-10-08,1991-04-02
10738,0000767965,1986-10-08,1998-01-30
10739,0000799319,1986-10-08,1994-12-30
10741,0000828679,1988-06-23,1988-11-15
10742,0000799032,1986-10-08,1989-07-31
10743,0000011027,1950-01-01,1962-01-30
10743,0000011027,1962-01-31,1993-07-20
10745,0000797315,1986-10-08,2001-05-30
10749,0000745379,1986-10-10,2001-05-31
10750,0000799088,1986-10-10,2001-01-11
10751,0000011234,1949-10-01,1962-01-30
10751,0000011234,1962-01-31,1983-01-31
10752,0000313798,1979-12-05,2000-12-29
10753,0000797496,1986-10-10,2001-02-01
10757,0000355946,1986-10-14,1998-07-31
10758,0000795820,1986-10-14,1993-01-21
