accession,cik,ticker,form,filing_time_utc,effective_trading_day,split
0000950123-10-001322,1110783,MON,10-Q,2010-01-08 16:16:25+00:00,2010-01-08,train
0001193125-10-003283,732712,VZ,8-K,2010-01-08 16:37:26+00:00,2010-01-08,train
0000031235-10-000029,31235,EK,8-K,2010-01-11 14:12:58+00:00,2010-01-11,train
0001135971-10-000008,1135971,POM,8-K,2010-01-08 21:06:12+00:00,2010-01-11,train
0001157523-10-000097,21665,CL,8-K,2010-01-11 12:24:47+00:00,2010-01-11,train
0001193125-10-004360,1087423,RHT,10-Q,2010-01-11 16:12:39+00:00,2010-01-11,train
0000897101-10-000047,203077,STJ,8-K,2010-01-11 13:46:25+00:00,2010-01-11,train
0001193125-10-003978,1120193,NDAQ,8-K,2010-01-11 13:46:47+00:00,2010-01-11,train
0000950123-10-001649,16918,STZ,10-Q,2010-01-11 20:36:41+00:00,2010-01-11,train
0001193125-10-004124,1120193,NDAQ,8-K,2010-01-11 17:28:21+00:00,2010-01-11,train
0001104659-10-000980,765880,HCP,8-K,2010-01-11 13:30:33+00:00,2010-01-11,train
0001171843-10-000025,898173,ORLY,8-K,2010-01-11 20:18:27+00:00,2010-01-11,train
0001193125-10-004370,836106,NVLS,8-K,2010-01-11 16:20:41+00:00,2010-01-11,train
0001193125-10-003586,71691,NYT,8-K,2010-01-08 22:05:24+00:00,2010-01-11,train
0001144204-10-001301,73309,NUE,8-K,2010-01-11 18:13:41+00:00,2010-01-11,train
0001193125-10-003507,701985,LTD,8-K,2010-01-08 21:06:57+00:00,2010-01-11,train
0000950123-10-001521,89800,SHW,8-K,2010-01-11 14:01:04+00:00,2010-01-11,train
0001299933-10-000097,49196,HBAN,8-K,2010-01-11 16:57:00+00:00,2010-01-11,train
0001193125-10-003501,80424,PG,8-K,2010-01-08 21:01:34+00:00,2010-01-11,train
0000950103-10-000063,77476,PEP,8-K,2010-01-11 13:51:51+00:00,2010-01-11,train
0000950123-10-001558,816284,CELG,8-K,2010-01-11 11:29:40+00:00,2010-01-11,train
0001193125-10-003581,108772,XRX,8-K,2010-01-08 22:02:57+00:00,2010-01-11,train
0001193125-10-003518,788784,PEG,8-K,2010-01-08 21:11:25+00:00,2010-01-11,train
0001193125-10-003896,1156039,WLP,8-K,2010-01-11 11:12:34+00:00,2010-01-11,train
0000791907-10-000002,791907,LLTC,8-K,2010-01-12 17:52:53+00:00,2010-01-12,train
0001437749-10-000045,353944,IGT,8-K,2010-01-12 13:14:51+00:00,2010-01-12,train
0000914208-10-000011,914208,IVZ,8-K,2010-01-12 18:58:42+00:00,2010-01-12,train
0001193125-10-004774,1283699,PCS,8-K,2010-01-12 12:00:53+00:00,2010-01-12,train
0000310764-10-000005,310764,SYK,8-K,2010-01-12 12:06:29+00:00,2010-01-12,train
0000050863-10-000002,50863,INTC,8-K,2010-01-12 19:12:06+00:00,2010-01-12,train
0000950123-10-001725,93410,CVX,8-K,2010-01-11 22:00:45+00:00,2010-01-12,train
0000950103-10-000078,1122304,AET,8-K,2010-01-12 12:10:17+00:00,2010-01-12,train
0001157523-10-000107,46640,HNZ,8-K,2010-01-11 22:16:25+00:00,2010-01-12,train
0001193125-10-004366,712515,ERTS,8-K,2010-01-11 21:17:36+00:00,2010-01-12,train
0001193125-10-004865,1037540,BXP,8-K,2010-01-12 14:05:15+00:00,2010-01-12,train
0001104659-10-001275,732485,GENZ,8-K,2010-01-12 11:59:23+00:00,2010-01-12,train
0001157523-10-000114,95521,SVU,8-K,2010-01-12 09:00:30+00:00,2010-01-12,train
0001193125-10-004443,1108524,CRM,8-K,2010-01-11 22:00:50+00:00,2010-01-12,train
0000950123-10-001972,936340,DTE,8-K,2010-01-12 19:48:41+00:00,2010-01-12,train
0000950157-10-000013,934612,BNI,8-K,2010-01-11 21:11:08+00:00,2010-01-12,train
0000930413-10-000133,875159,XL,8-K,2010-01-12 06:46:03+00:00,2010-01-12,train
0000950123-10-002025,918386,QLGC,8-K,2010-01-12 16:37:03+00:00,2010-01-12,train
0000950123-10-001880,1170650,MHS,8-K,2010-01-12 10:32:03+00:00,2010-01-12,train
0001140361-10-001564,768835,BIG,8-K,2010-01-12 16:15:37+00:00,2010-01-12,train
0000098246-10-000004,98246,TIF,8-K,2010-01-12 12:52:08+00:00,2010-01-12,train
0000723125-10-000019,723125,MU,10-Q,2010-01-12 19:40:38+00:00,2010-01-12,train
0001193125-10-004346,49071,HUM,8-K,2010-01-11 21:01:37+00:00,2010-01-12,train
0001193125-10-005275,1103982,KFT,8-K,2010-01-13 00:30:30+00:00,2010-01-13,train
0001193125-10-005159,4281,AA,8-K,2010-01-12 21:37:47+00:00,2010-01-13,train
0001144204-10-001716,85408,RDC,8-K,2010-01-13 08:17:57+00:00,2010-01-13,train
0000950123-10-002359,95521,SVU,10-Q,2010-01-13 18:27:34+00:00,2010-01-13,train
0001104659-10-001548,1037949,Q,8-K,2010-01-13 17:01:38+00:00,2010-01-13,train
0000950123-10-002174,949039,DO,8-K,2010-01-13 12:04:24+00:00,2010-01-13,train
0001171843-10-000028,815556,FAST,8-K,2010-01-12 23:26:08+00:00,2010-01-13,train
0001104659-10-001381,315293,AON,8-K,2010-01-12 22:21:58+00:00,2010-01-13,train
0001299933-10-000132,874766,HIG,8-K,2010-01-12 22:16:50+00:00,2010-01-13,train
0000950123-10-002005,875045,BIIB,8-K,2010-01-12 21:06:06+00:00,2010-01-13,train
0001193125-10-005619,800459,HAR,8-K,2010-01-13 12:17:42+00:00,2010-01-13,train
0001193125-10-005418,1120193,NDAQ,8-K,2010-01-13 11:05:46+00:00,2010-01-13,train
0001299933-10-000139,764065,CLF,8-K,2010-01-13 16:10:54+00:00,2010-01-13,train
0000080424-10-000002,80424,PG,8-K,2010-01-12 21:14:29+00:00,2010-01-13,train
0001144204-10-001720,884629,WPI,8-K,2010-01-13 08:48:06+00:00,2010-01-13,train
0000065011-10-000005,65011,MDP,8-K,2010-01-14 16:02:10+00:00,2010-01-14,train
0001193125-10-006532,1373835,SE,8-K,2010-01-14 16:59:37+00:00,2010-01-14,train
0000950123-10-002458,811156,CMS,8-K,2010-01-14 14:49:43+00:00,2010-01-14,train
0000950162-10-000011,884905,PX,8-K,2010-01-14 16:34:07+00:00,2010-01-14,train
0000950138-10-000010,1326380,GME,8-K,2010-01-13 21:47:44+00:00,2010-01-14,train
0000791907-10-000004,791907,LLTC,8-K,2010-01-14 18:17:46+00:00,2010-01-14,train
0001193125-10-006122,71691,NYT,8-K,2010-01-14 13:41:42+00:00,2010-01-14,train
0000950123-10-002313,77476,PEP,8-K,2010-01-13 21:46:09+00:00,2010-01-14,train
0001104659-10-001637,27419,TGT,8-K,2010-01-14 16:11:42+00:00,2010-01-14,train
0000072207-10-000002,72207,NBL,8-K,2010-01-14 16:44:52+00:00,2010-01-14,train
0001193125-10-005823,1108524,CRM,8-K,2010-01-13 22:02:02+00:00,2010-01-14,train
0000723125-10-000021,723125,MU,8-K,2010-01-15 20:45:09+00:00,2010-01-15,train
0001299933-10-000177,1076405,PBG,8-K,2010-01-15 15:40:38+00:00,2010-01-15,train
0000004962-10-000003,4962,AXP,8-K,2010-01-15 16:44:20+00:00,2010-01-15,train
0000950123-10-002773,1047699,KG,8-K,2010-01-15 08:30:25+00:00,2010-01-15,train
0000909518-10-000010,1001250,EL,8-K,2010-01-14 22:12:53+00:00,2010-01-15,train
0001193125-10-007205,713676,PNC,8-K,2010-01-15 20:23:34+00:00,2010-01-15,train
0000950123-10-002767,19617,JPM,8-K,2010-01-15 12:07:37+00:00,2010-01-15,train
0001193125-10-006575,4281,AA,8-K,2010-01-14 22:29:46+00:00,2010-01-15,train
0000950123-10-002967,816284,CELG,8-K,2010-01-15 16:05:48+00:00,2010-01-15,train
0001104659-10-001732,1324404,CF,8-K,2010-01-14 22:39:34+00:00,2010-01-15,train
0001193125-10-007135,310764,SYK,8-K,2010-01-15 19:10:39+00:00,2010-01-15,train
0001193125-10-007317,1135152,FTI,8-K,2010-01-15 16:49:53+00:00,2010-01-15,train
0001193125-10-007199,713676,PNC,8-K,2010-01-15 20:20:50+00:00,2010-01-15,train
0001193125-10-006486,1011006,YHOO,8-K,2010-01-14 21:33:25+00:00,2010-01-15,train
0000897101-10-000078,203077,STJ,8-K,2010-01-15 16:31:09+00:00,2010-01-15,train
0001193125-10-006651,927628,COF,8-K,2010-01-15 00:40:59+00:00,2010-01-15,train
0000050863-10-000006,50863,INTC,8-K,2010-01-15 19:05:37+00:00,2010-01-15,train
0001193125-10-006828,1403161,V,8-K,2010-01-15 11:31:22+00:00,2010-01-15,train
0001157523-10-000165,50863,INTC,8-K,2010-01-14 21:23:43+00:00,2010-01-15,train
0000063908-10-000003,63908,MCD,8-K,2010-01-15 17:37:24+00:00,2010-01-15,train
0001104659-10-001969,831001,C,8-K,2010-01-19 13:18:07+00:00,2010-01-19,train
0000950123-10-003361,19617,JPM,8-K,2010-01-19 20:19:49+00:00,2010-01-19,train
0001193125-10-007341,70858,BAC,8-K,2010-01-15 22:06:33+00:00,2010-01-19,train
0000950123-10-003180,12659,HRB,8-K,2010-01-19 14:01:55+00:00,2010-01-19,train
0001299933-10-000185,42582,GT,8-K,2010-01-19 13:47:56+00:00,2010-01-19,train
0001104659-10-001980,764478,BBY,8-K,2010-01-19 14:00:31+00:00,2010-01-19,train
0001193125-10-007784,76334,PH,8-K,2010-01-19 14:30:30+00:00,2010-01-19,train
0001193125-10-007313,51434,IP,8-K,2010-01-15 21:48:25+00:00,2010-01-19,train
0001193125-10-007318,798354,FISV,8-K,2010-01-15 21:50:38+00:00,2010-01-19,train
0001407463-10-000009,1038357,PXD,8-K,2010-01-19 09:07:20+00:00,2010-01-19,train
0000821189-10-000002,821189,EOG,8-K,2010-01-15 22:05:28+00:00,2010-01-19,train
0001171843-10-000044,815556,FAST,8-K,2010-01-19 14:15:58+00:00,2010-01-19,train
0000950123-10-003159,36966,FHN,8-K,2010-01-19 12:45:44+00:00,2010-01-19,train
0001104659-10-001962,833444,JCI,8-K,2010-01-19 11:26:53+00:00,2010-01-19,train
0000080424-10-000003,80424,PG,8-K,2010-01-15 21:18:44+00:00,2010-01-19,train
0001104659-10-001981,1124198,FLR,8-K,2010-01-19 14:00:56+00:00,2010-01-19,train
0001171843-10-000043,36966,FHN,8-K,2010-01-19 13:19:25+00:00,2010-01-19,train
0000895126-10-000022,895126,CHK,8-K,2010-01-15 21:13:29+00:00,2010-01-19,train
0001104659-10-001960,833444,JCI,8-K,2010-01-19 11:28:00+00:00,2010-01-19,train
0000950123-10-003144,107263,WMB,8-K,2010-01-19 12:13:25+00:00,2010-01-19,train
0001171843-10-000041,815556,FAST,8-K,2010-01-19 12:24:17+00:00,2010-01-19,train
0001104659-10-002153,27419,TGT,8-K,2010-01-20 13:00:40+00:00,2010-01-20,train
0001193125-10-008723,1058083,RX,8-K,2010-01-20 14:01:51+00:00,2010-01-20,train
0000950123-10-003757,1032033,SLM,8-K,2010-01-20 20:43:53+00:00,2010-01-20,train
0000950123-10-003578,36104,USB,8-K,2010-01-20 12:54:39+00:00,2010-01-20,train
0000950123-10-003504,1164727,NEM,8-K,2010-01-20 02:09:26+00:00,2010-01-20,train
0001193125-10-008213,1120193,NDAQ,8-K,2010-01-19 22:15:40+00:00,2010-01-20,train
0001193125-10-008505,70858,BAC,8-K,2010-01-20 12:13:40+00:00,2010-01-20,train
0000950123-10-003595,921847,HCBK,8-K,2010-01-20 09:38:57+00:00,2010-01-20,train
0001193125-10-008135,858470,COG,8-K,2010-01-19 21:15:45+00:00,2010-01-20,train
0001104659-10-002086,764478,BBY,8-K,2010-01-19 22:04:43+00:00,2010-01-20,train
0000277948-10-000003,277948,CSX,8-K,2010-01-19 21:05:22+00:00,2010-01-20,train
0001157523-10-000194,1163165,COP,8-K,2010-01-19 22:20:15+00:00,2010-01-20,train
0000920148-10-000008,920148,LH,8-K,2010-01-19 22:02:36+00:00,2010-01-20,train
0001206774-10-000079,743988,XLNX,8-K,2010-01-20 16:58:43+00:00,2010-01-20,train
0001157523-10-000203,93751,STT,8-K,2010-01-20 13:50:12+00:00,2010-01-20,train
0000038074-10-000003,38074,FRX,8-K,2010-01-20 12:21:04+00:00,2010-01-20,train
0000950123-10-003775,721683,TSS,8-K,2010-01-20 16:12:06+00:00,2010-01-20,train
0001193125-10-008544,73124,NTRS,8-K,2010-01-20 14:23:45+00:00,2010-01-20,train
0000892712-10-000056,1399315,MI,8-K,2010-01-20 09:02:37+00:00,2010-01-20,train
0000062709-10-000002,62709,MMC,8-K,2010-01-20 14:37:08+00:00,2010-01-20,train
0000016918-10-000002,16918,STZ,8-K,2010-01-20 20:26:51+00:00,2010-01-20,train
0000950123-10-003569,1113169,TROW,8-K,2010-01-20 11:57:16+00:00,2010-01-20,train
0000950123-10-003743,36104,USB,8-K,2010-01-20 19:57:57+00:00,2010-01-20,train
0001135971-10-000012,1135971,POM,8-K,2010-01-19 22:01:15+00:00,2010-01-20,train
0001104659-10-002154,51143,IBM,8-K,2010-01-20 13:01:55+00:00,2010-01-20,train
0001193125-10-008163,316709,SCHW,8-K,2010-01-19 21:35:09+00:00,2010-01-20,train
0000950123-10-003395,6281,ADI,8-K,2010-01-19 21:30:21+00:00,2010-01-20,train
0000104207-10-000022,104207,WAG,8-K,2010-01-20 17:17:09+00:00,2010-01-20,train
0001193125-10-008706,1403161,V,8-K,2010-01-20 18:41:52+00:00,2010-01-20,train
0000950123-10-003580,72971,WFC,8-K,2010-01-20 13:01:02+00:00,2010-01-20,train
0001193125-10-008327,1103982,KFT,8-K,2010-01-20 00:58:36+00:00,2010-01-20,train
0001157523-10-000201,895421,MS,8-K,2010-01-20 13:01:19+00:00,2010-01-20,train
0000016918-10-000001,16918,STZ,8-K,2010-01-19 21:48:30+00:00,2010-01-20,train
0001193125-10-008502,1390777,BK,8-K,2010-01-20 12:01:42+00:00,2010-01-20,train
0000950123-10-003584,36270,MTB,8-K,2010-01-20 13:42:54+00:00,2010-01-20,train
0001193125-10-008555,80661,PGR,8-K,2010-01-20 14:59:35+00:00,2010-01-20,train
0001094093-10-000014,1094093,PGN,8-K,2010-01-20 15:08:27+00:00,2010-01-20,train
0001193125-10-008195,1108524,CRM,8-K,2010-01-19 22:02:35+00:00,2010-01-20,train
0001104659-10-002069,51143,IBM,8-K,2010-01-19 21:15:05+00:00,2010-01-20,train
0001299933-10-000218,1032033,SLM,8-K,2010-01-20 21:39:01+00:00,2010-01-21,train
0000831259-10-000004,831259,FCX,8-K,2010-01-21 20:57:46+00:00,2010-01-21,train
0001437749-10-000093,353944,IGT,8-K,2010-01-21 16:38:06+00:00,2010-01-21,train
0000950123-10-003783,829224,SBUX,8-K,2010-01-20 21:28:54+00:00,2010-01-21,train
0001193125-10-009249,35527,FITB,8-K,2010-01-21 11:09:10+00:00,2010-01-21,train
0000950123-10-004096,2135,ACS,8-K,2010-01-21 16:22:58+00:00,2010-01-21,train
0000950123-10-003928,886982,GS,8-K,2010-01-21 13:15:17+00:00,2010-01-21,train
0001193125-10-009091,316709,SCHW,8-K,2010-01-21 02:31:42+00:00,2010-01-21,train
0000753308-10-000002,753308,FPL,8-K,2010-01-20 21:53:06+00:00,2010-01-21,train
0001407463-10-000012,1038357,PXD,8-K,2010-01-21 17:23:52+00:00,2010-01-21,train
0001193125-10-009275,108772,XRX,8-K,2010-01-21 11:49:34+00:00,2010-01-21,train
0000065011-10-000010,65011,MDP,8-K,2010-01-21 17:03:08+00:00,2010-01-21,train
0001445305-10-000032,65011,MDP,8-K,2010-01-21 10:19:02+00:00,2010-01-21,train
0001193125-10-009475,713676,PNC,8-K,2010-01-21 16:26:54+00:00,2010-01-21,train
0001193125-10-009306,713676,PNC,8-K,2010-01-21 12:43:01+00:00,2010-01-21,train
0001193125-10-009422,1413329,PM,8-K,2010-01-21 15:30:07+00:00,2010-01-21,train
0001193125-10-009250,731766,UNH,8-K,2010-01-21 11:10:56+00:00,2010-01-21,train
0001193125-10-009338,79879,PPG,8-K,2010-01-21 13:39:35+00:00,2010-01-21,train
0001104659-10-002329,28412,CMA,8-K,2010-01-21 07:17:43+00:00,2010-01-21,train
0000950157-10-000026,934612,BNI,8-K,2010-01-20 22:07:42+00:00,2010-01-21,train
0001193125-10-009519,1341439,ORCL,8-K,2010-01-21 17:42:53+00:00,2010-01-21,train
0000950123-10-003936,91576,KEY,8-K,2010-01-21 14:03:30+00:00,2010-01-21,train
0000704051-10-000011,704051,LM,8-K,2010-01-21 07:57:42+00:00,2010-01-21,train
0000065011-10-000012,65011,MDP,10-Q,2010-01-21 17:17:12+00:00,2010-01-21,train
0000098246-10-000023,98246,TIF,8-K,2010-01-21 16:23:18+00:00,2010-01-21,train
0001193125-10-009332,79958,PCP,8-K,2010-01-21 08:30:48+00:00,2010-01-21,train
0000950123-10-004084,72333,JWN,8-K,2010-01-21 16:10:25+00:00,2010-01-21,train
0001104659-10-002316,1001250,EL,8-K,2010-01-21 02:26:31+00:00,2010-01-21,train
0001193125-10-009328,100885,UNP,8-K,2010-01-21 13:22:03+00:00,2010-01-21,train
0000092380-10-000004,92380,LUV,8-K,2010-01-21 15:05:42+00:00,2010-01-21,train
0000072741-10-000034,72741,NU,8-K,2010-01-21 20:47:24+00:00,2010-01-21,train
0001104659-10-002354,820313,APH,8-K,2010-01-21 15:02:10+00:00,2010-01-21,train
0001144204-10-002863,884629,WPI,8-K,2010-01-21 08:00:16+00:00,2010-01-21,train
0000065984-10-000004,65984,ETR,8-K,2010-01-21 17:31:37+00:00,2010-01-21,train
0001193125-10-008869,1065088,EBAY,8-K,2010-01-20 21:31:00+00:00,2010-01-21,train
0001193125-10-010248,63908,MCD,8-K,2010-01-22 13:04:12+00:00,2010-01-22,train
0001193125-10-010154,87347,SLB,8-K,2010-01-22 11:10:34+00:00,2010-01-22,train
0001193125-10-010258,1109357,EXC,8-K,2010-01-22 13:28:12+00:00,2010-01-22,train
0000950123-10-004095,106040,WDC,8-K,2010-01-21 21:22:56+00:00,2010-01-22,train
0001193125-10-010194,750556,STI,8-K,2010-01-22 06:30:55+00:00,2010-01-22,train
0000040545-10-000002,40545,GE,8-K,2010-01-22 12:44:51+00:00,2010-01-22,train
0001193125-10-009771,1403161,V,8-K,2010-01-21 21:31:41+00:00,2010-01-22,train
0001299933-10-000234,40704,GIS,8-K,2010-01-21 22:17:56+00:00,2010-01-22,train
0001193125-10-010313,1037540,BXP,8-K,2010-01-22 14:44:34+00:00,2010-01-22,train
0000934612-10-000006,934612,BNI,8-K,2010-01-21 21:55:26+00:00,2010-01-22,train
0000092230-10-000012,92230,BBT,8-K,2010-01-22 11:00:40+00:00,2010-01-22,train
0000950123-10-004285,2969,APD,8-K,2010-01-22 13:57:17+00:00,2010-01-22,train
0000004962-10-000009,4962,AXP,8-K,2010-01-21 21:08:04+00:00,2010-01-22,train
0001193125-10-009820,104889,WPO,8-K,2010-01-21 22:09:42+00:00,2010-01-22,train
0000950123-10-004292,49196,HBAN,8-K,2010-01-22 14:34:02+00:00,2010-01-22,train
0001193125-10-009806,2488,AMD,8-K,2010-01-21 21:57:02+00:00,2010-01-22,train
0001193125-10-009816,927628,COF,8-K,2010-01-21 22:05:16+00:00,2010-01-22,train
0001193125-10-010259,793952,HOG,8-K,2010-01-22 13:30:24+00:00,2010-01-22,train
0001157523-10-000245,1116132,COH,8-K,2010-01-21 21:15:42+00:00,2010-01-22,train
0000950117-10-000131,36966,FHN,8-K,2010-01-22 19:58:19+00:00,2010-01-22,train
0001193125-10-009747,1035267,ISRG,8-K,2010-01-21 21:17:29+00:00,2010-01-22,train
0001193125-10-009725,1267238,AIZ,8-K,2010-01-21 21:01:25+00:00,2010-01-22,train
0001193125-10-009830,1103982,KFT,8-K,2010-01-21 22:13:18+00:00,2010-01-22,train
