ticker,permno,cik,member_from,member_to,source
AIZ,90038,0001267238,2010-01-04,,crsp_wrds_2010_2025
AJG,38093,0000354190,2016-05-31,,crsp_wrds_2010_2025
AKAM,87299,0001086222,2010-01-04,,crsp_wrds_2010_2025
AKS,80303,0000918160,2010-01-04,2011-12-16,crsp_wrds_2010_2025
ALB,80191,0000915913,2016-07-01,,crsp_wrds_2010_2025
ALGN,88860,0001097149,2017-06-19,,crsp_wrds_2010_2025
ALK,28804,0000766421,2016-05-13,2023-12-15,crsp_wrds_2010_2025
ALL,79323,0000899051,2010-01-04,,crsp_wrds_2010_2025
ALLE,14297,0001579241,2013-12-02,,crsp_wrds_2010_2025
ALTR,75577,0000768251,2010-01-04,2015-12-24,crsp_wrds_2010_2025
ALXN,83111,0000899866,2012-05-25,2021-07-20,crsp_wrds_2010_2025
AMAT,14702,0000006951,2010-01-04,,crsp_wrds_2010_2025
AMCR,18724,0001748790,2019-06-11,,crsp_wrds_2010_2025
AMD,61241,0000002488,2010-01-04,2013-09-20,crsp_wrds_2010_2025
AMD,61241,0000002488,2017-03-20,,crsp_wrds_2010_2025
AME,85257,0001037868,2013-09-23,,crsp_wrds_2010_2025
AMG,85593,0001004434,2014-07-01,2019-12-20,crsp_wrds_2010_2025
AMGN,14008,0000318154,2010-01-04,,crsp_wrds_2010_2025
AMP,90880,0000820027,2010-01-04,,crsp_wrds_2010_2025
AMT,86111,0001053507,2010-01-04,,crsp_wrds_2010_2025
AMTM,25434,0002011286,2024-09-30,2024-12-20,crsp_wrds_2010_2025
AMZN,84788,0001018724,2010-01-04,,crsp_wrds_2010_2025
AN,76282,0000350698,2010-01-04,2017-08-07,crsp_wrds_2010_2025
ANDV,37284,0000050104,2017-08-01,2018-09-28,crsp_wrds_2010_2025
ANET,14714,0001596532,2018-08-28,,crsp_wrds_2010_2025
ANF,83976,0001018840,2010-01-04,2013-12-20,crsp_wrds_2010_2025
ANR,90547,0001301063,2011-06-02,2012-10-01,crsp_wrds_2010_2025
ANSS,83621,0001013462,2017-06-19,2025-07-16,crsp_wrds_2010_2025
ANTM,89179,0001156039,2014-12-03,2022-06-27,crsp_wrds_2010_2025
AON,61735,0000315293,2010-01-04,,crsp_wrds_2010_2025
AOS,65402,0000091142,2017-07-26,,crsp_wrds_2010_2025
APA,39490,0001841666,2010-01-04,,crsp_wrds_2010_2025
APC,70332,0000773910,2010-01-04,2019-08-08,crsp_wrds_2010_2025
APD,28222,0000002969,2010-01-04,,crsp_wrds_2010_2025
APH,84769,0000820313,2010-01-04,,crsp_wrds_2010_2025
APO,12591,0001858681,2024-12-23,,crsp_wrds_2010_2025
APOL,81138,0000929887,2010-01-04,2013-06-28,crsp_wrds_2010_2025
APP,20894,0001751008,2025-09-22,,crsp_wrds_2010_2025
APTV,13103,0001521332,2017-12-05,,crsp_wrds_2010_2025
APY,17783,0001723089,2018-05-09,2018-05-09,crsp_wrds_2010_2025
ARE,84767,0001035443,2017-03-20,,crsp_wrds_2010_2025
ARES,14617,0001176948,2025-12-11,,crsp_wrds_2010_2025
ARG,70308,0000804212,2010-01-04,2016-05-20,crsp_wrds_2010_2025
ARNC,24643,0000004281,2016-11-01,2020-03-31,crsp_wrds_2010_2025
ASIX,16276,0001673985,2016-10-03,2016-10-03,crsp_wrds_2010_2025
ATI,43123,0001018963,2010-01-04,2015-07-01,crsp_wrds_2010_2025
ATO,32986,0000731802,2019-02-15,,crsp_wrds_2010_2025
ATVI,79678,0000718877,2015-08-31,2023-10-12,crsp_wrds_2010_2025
AVB,80381,0000915912,2010-01-04,,crsp_wrds_2010_2025
AVGO,93002,0001730168,2014-05-08,,crsp_wrds_2010_2025
AVP,40416,0000008868,2010-01-04,2015-03-20,crsp_wrds_2010_2025
AVY,44601,0000008818,2010-01-04,,crsp_wrds_2010_2025
AWK,92614,0001410636,2016-03-04,,crsp_wrds_2010_2025
AXON,89031,0001069183,2023-05-04,,crsp_wrds_2010_2025
AXP,59176,0000004962,2010-01-04,,crsp_wrds_2010_2025
AYE,10137,0000003673,2010-01-04,2011-02-25,crsp_wrds_2010_2025
AYI,89216,0001144215,2016-05-03,2018-06-15,crsp_wrds_2010_2025
AZO,76605,0000866787,2010-01-04,,crsp_wrds_2010_2025
BA,19561,0000012927,2010-01-04,,crsp_wrds_2010_2025
BAC,59408,0000070858,2010-01-04,,crsp_wrds_2010_2025
BALL,57568,0000009389,2022-05-10,,crsp_wrds_2010_2025
BAX,27887,0000010456,2010-01-04,,crsp_wrds_2010_2025
BBBY,77659,0000886158,2010-01-04,2017-07-25,crsp_wrds_2010_2025
BBT,71563,0000092230,2010-01-04,2019-12-06,crsp_wrds_2010_2025
BBWI,64282,0000701985,2021-08-03,2024-09-30,crsp_wrds_2010_2025
BBY,85914,0000764478,2010-01-04,,crsp_wrds_2010_2025
BCR,46877,0000009892,2010-01-04,2017-12-28,crsp_wrds_2010_2025
BDK,20220,0000012355,2010-01-04,2010-03-12,crsp_wrds_2010_2025
BDX,39642,0000010795,2010-01-04,,crsp_wrds_2010_2025
BEAM,10225,0000789073,2011-10-04,2014-04-30,crsp_wrds_2010_2025
BEN,37584,0000038777,2010-01-04,,crsp_wrds_2010_2025
BF,29946,0000014693,2010-01-04,,crsp_wrds_2010_2025
BG,89138,0001996862,2023-03-15,,crsp_wrds_2010_2025
BHF,16816,0001685040,2017-08-07,2019-04-02,crsp_wrds_2010_2025
BHGE,75034,0001701605,2017-07-05,2019-10-17,crsp_wrds_2010_2025
BHI,75034,0000808362,2010-01-04,2017-07-03,crsp_wrds_2010_2025
BIG,67467,0000768835,2010-01-04,2013-02-13,crsp_wrds_2010_2025
BIIB,76841,0000875045,2010-01-04,,crsp_wrds_2010_2025
BIO,61516,0000012208,2020-06-22,2024-09-20,crsp_wrds_2010_2025
BIVV,16544,0001681689,2017-02-02,2017-02-02,crsp_wrds_2010_2025
BJS,76240,0000864328,2010-01-04,2010-04-28,crsp_wrds_2010_2025
BK,49656,0001390777,2010-01-04,,crsp_wrds_2010_2025
BKNG,86783,0001075531,2018-02-27,,crsp_wrds_2010_2025
BKR,75034,0001701605,2019-10-18,,crsp_wrds_2010_2025
BLDR,90720,0001316835,2023-12-18,,crsp_wrds_2010_2025
BLK,87267,0002012383,2011-04-04,,crsp_wrds_2010_2025
BLL,57568,0000009389,2010-01-04,2022-05-09,crsp_wrds_2010_2025
BMC,11976,0000835729,2010-01-04,2013-09-10,crsp_wrds_2010_2025
BMS,43772,0000011199,2010-01-04,2014-12-04,crsp_wrds_2010_2025
BMS,43772,0000011199,2019-06-07,2019-06-10,crsp_wrds_2010_2025
BMY,19393,0000014272,2010-01-04,,crsp_wrds_2010_2025
BNI,50227,0000934612,2010-01-04,2010-02-12,crsp_wrds_2010_2025
BR,91849,0001383312,2018-06-18,,crsp_wrds_2010_2025
BRCM,85963,0001054374,2010-01-04,2016-01-29,crsp_wrds_2010_2025
BRK,83443,0001067983,2010-02-16,,crsp_wrds_2010_2025
BRO,63467,0000079282,2021-09-20,,crsp_wrds_2010_2025
BSX,77605,0000885725,2010-01-04,,crsp_wrds_2010_2025
BTU,88991,0001064728,2010-01-04,2014-09-19,crsp_wrds_2010_2025
BWA,79545,0000908255,2011-12-19,2025-03-21,crsp_wrds_2010_2025
BX,92108,0001393818,2023-09-18,,crsp_wrds_2010_2025
BXLT,15401,0001620546,2015-07-01,2016-06-02,crsp_wrds_2010_2025
BXP,85058,0001037540,2010-01-04,,crsp_wrds_2010_2025
C,70519,0000831001,2010-01-04,,crsp_wrds_2010_2025
CA,25778,0000356028,2010-01-04,2018-11-02,crsp_wrds_2010_2025
CAG,56274,0000023217,2010-01-04,,crsp_wrds_2010_2025
CAH,21371,0000721371,2010-01-04,,crsp_wrds_2010_2025
CAM,81857,0000941548,2010-01-04,2016-04-01,crsp_wrds_2010_2025
CARR,19285,0001783180,2020-04-03,,crsp_wrds_2010_2025
CAT,18542,0000018230,2010-01-04,,crsp_wrds_2010_2025
CB,59192,0000020171,2010-01-04,2016-01-14,crsp_wrds_2010_2025
CB,79057,0000896159,2016-01-15,,crsp_wrds_2010_2025
CBE,21979,0001141982,2011-11-23,2012-11-30,crsp_wrds_2010_2025
CBG,90199,0001138118,2010-01-04,2018-03-19,crsp_wrds_2010_2025
CBOE,93429,0001374310,2017-03-01,,crsp_wrds_2010_2025
CBRE,90199,0001138118,2018-03-20,,crsp_wrds_2010_2025
CBS,76226,0000813828,2010-01-04,2019-12-04,crsp_wrds_2010_2025
CCE,70500,0000804055,2010-01-04,2010-10-01,crsp_wrds_2010_2025
CCE,70500,0001491675,2010-10-02,2016-05-27,crsp_wrds_2010_2025
CCI,86339,0001051470,2012-03-14,,crsp_wrds_2010_2025
CCL,75154,0000815097,2010-01-04,,crsp_wrds_2010_2025
CDAY,17700,0001725057,2021-09-20,2024-01-31,crsp_wrds_2010_2025
CDNS,11403,0000813672,2017-09-18,,crsp_wrds_2010_2025
CDW,13949,0001402057,2019-09-23,,crsp_wrds_2010_2025
CE,90520,0001306830,2018-12-24,2025-03-21,crsp_wrds_2010_2025
CEG,24221,0001004440,2010-01-04,2012-03-12,crsp_wrds_2010_2025
CEG,22623,0001868275,2022-02-02,,crsp_wrds_2010_2025
CELG,11552,0000816284,2010-01-04,2019-11-20,crsp_wrds_2010_2025
CEPH,76625,0000873364,2010-01-04,2011-10-13,crsp_wrds_2010_2025
CERN,10909,0000804753,2010-04-30,2022-06-07,crsp_wrds_2010_2025
CF,90829,0001324404,2010-01-04,,crsp_wrds_2010_2025
CFG,14889,0000759944,2016-02-01,,crsp_wrds_2010_2025
CFN,92988,0001457543,2010-01-04,2015-03-16,crsp_wrds_2010_2025
CHD,23393,0000313927,2015-12-29,,crsp_wrds_2010_2025
CHK,78877,0000895126,2010-01-04,2018-03-16,crsp_wrds_2010_2025
CHRW,85459,0001043277,2010-01-04,,crsp_wrds_2010_2025
CHTR,12308,0001091667,2016-09-08,,crsp_wrds_2010_2025
CI,64186,0001739940,2010-01-04,,crsp_wrds_2010_2025
CINF,23473,0000020286,2010-01-04,,crsp_wrds_2010_2025
CL,18729,0000021665,2010-01-04,,crsp_wrds_2010_2025
CLF,27422,0000764065,2010-01-04,2014-04-01,crsp_wrds_2010_2025
CLX,46578,0000021076,2010-01-04,,crsp_wrds_2010_2025
CMA,25081,0000028412,2010-01-04,2024-06-21,crsp_wrds_2010_2025
CMCSA,89525,0001166691,2010-01-04,,crsp_wrds_2010_2025
CMCSK,89565,0001166691,2015-09-21,2015-12-11,crsp_wrds_2010_2025
CME,89626,0001156375,2010-01-04,,crsp_wrds_2010_2025
CMG,91068,0001058090,2011-04-28,,crsp_wrds_2010_2025
CMI,41080,0000026172,2010-01-04,,crsp_wrds_2010_2025
CMS,23229,0000811156,2010-01-04,,crsp_wrds_2010_2025
CNC,89269,0001071739,2016-03-30,,crsp_wrds_2010_2025
CNP,21792,0001130310,2010-01-04,,crsp_wrds_2010_2025
CNX,86799,0001070412,2010-01-04,2016-03-03,crsp_wrds_2010_2025
COF,81055,0000927628,2010-01-04,,crsp_wrds_2010_2025
COG,76082,0000858470,2010-01-04,2021-10-01,crsp_wrds_2010_2025
COH,88661,0001116132,2010-01-04,2017-10-30,crsp_wrds_2010_2025
COIN,20892,0001679788,2025-05-19,,crsp_wrds_2010_2025
COL,89014,0001137411,2010-01-04,2018-11-26,crsp_wrds_2010_2025
COO,65541,0000711404,2016-09-23,,crsp_wrds_2010_2025
COP,13928,0001163165,2010-01-04,,crsp_wrds_2010_2025
COR,81540,0001140859,2023-08-30,,crsp_wrds_2010_2025
COST,87055,0000909832,2010-01-04,,crsp_wrds_2010_2025
COTY,13983,0001024305,2016-10-03,2020-09-18,crsp_wrds_2010_2025
COV,92156,0001385187,2011-03-01,2015-01-26,crsp_wrds_2010_2025
CPAY,12449,0001175454,2024-03-25,,crsp_wrds_2010_2025
CPB,25320,0000016732,2010-01-04,,crsp_wrds_2010_2025
CPGX,15404,0001629995,2015-07-02,2016-06-30,crsp_wrds_2010_2025
CPRI,13142,0001530721,2019-01-02,2020-05-11,crsp_wrds_2010_2025
CPRT,80320,0000900075,2018-07-02,,crsp_wrds_2010_2025
CPT,79452,0000906345,2022-04-04,,crsp_wrds_2010_2025
CPWR,78139,0000859014,2010-01-04,2011-12-30,crsp_wrds_2010_2025
CRH,24294,0000849395,2025-12-22,,crsp_wrds_2010_2025
CRL,88281,0001100682,2021-05-14,,crsp_wrds_2010_2025
CRM,90215,0001108524,2010-01-04,,crsp_wrds_2010_2025
CRWD,18726,0001535527,2024-06-24,,crsp_wrds_2010_2025
CSC,40125,0000023082,2010-01-04,2015-11-30,crsp_wrds_2010_2025
CSCO,76076,0000858877,2010-01-04,,crsp_wrds_2010_2025
CSGP,86288,0001057352,2022-09-19,,crsp_wrds_2010_2025
CSRA,15797,0001646383,2015-11-30,2018-04-03,crsp_wrds_2010_2025
CSX,62148,0000277948,2010-01-04,,crsp_wrds_2010_2025
CTAS,23660,0000723254,2010-01-04,,crsp_wrds_2010_2025
CTL,60599,0000018926,2010-01-04,2020-09-17,crsp_wrds_2010_2025
CTLT,14763,0001596783,2020-09-21,2024-12-17,crsp_wrds_2010_2025
CTRA,76082,0000858470,2021-10-04,,crsp_wrds_2010_2025
CTSH,86158,0001058290,2010-01-04,,crsp_wrds_2010_2025
CTVA,18592,0001755672,2019-06-03,,crsp_wrds_2010_2025
CTXS,82686,0000877890,2010-01-04,2022-09-29,crsp_wrds_2010_2025
CVC,68857,0001053112,2010-12-20,2016-06-21,crsp_wrds_2010_2025
CVET,18327,0001752836,2019-02-08,2019-02-08,crsp_wrds_2010_2025
CVH,76619,0001054833,2010-01-04,2013-05-06,crsp_wrds_2010_2025
CVNA,16655,0001690820,2025-12-22,,crsp_wrds_2010_2025
CVS,17005,0000064803,2010-01-04,,crsp_wrds_2010_2025
CVX,14541,0000093410,2010-01-04,,crsp_wrds_2010_2025
CXO,92239,0001358071,2016-02-22,2021-01-15,crsp_wrds_2010_2025
CZR,14882,0001590895,2021-03-22,2025-09-19,crsp_wrds_2010_2025
D,64936,0000715957,2010-01-04,,crsp_wrds_2010_2025
DAL,91926,0000027904,2013-09-11,,crsp_wrds_2010_2025
DASH,20189,0001792789,2025-03-24,,crsp_wrds_2010_2025
DAY,17700,0001725057,2024-02-01,,crsp_wrds_2010_2025
DD,11703,0000030554,2010-01-04,2017-08-31,crsp_wrds_2010_2025
DD,16851,0001666700,2019-06-03,,crsp_wrds_2010_2025
DDOG,18911,0001561550,2025-07-09,,crsp_wrds_2010_2025
DE,19350,0000315189,2010-01-04,,crsp_wrds_2010_2025
DECK,79686,0000910521,2024-03-18,,crsp_wrds_2010_2025
DELL,11081,0000826083,2010-01-04,2013-10-28,crsp_wrds_2010_2025
DELL,18267,0001571996,2024-09-23,,crsp_wrds_2010_2025
DF,83421,0000931336,2010-01-04,2013-05-23,crsp_wrds_2010_2025
DFS,92121,0001393612,2010-01-04,2025-05-16,crsp_wrds_2010_2025
DG,93096,0000029534,2012-12-03,,crsp_wrds_2010_2025
DGX,84373,0001022079,2010-01-04,,crsp_wrds_2010_2025
DHI,77661,0000882184,2010-01-04,,crsp_wrds_2010_2025
DHR,49680,0000313616,2010-01-04,,crsp_wrds_2010_2025
DIS,26403,0001744489,2010-01-04,,crsp_wrds_2010_2025
DISCA,90805,0001437107,2010-03-01,2022-04-08,crsp_wrds_2010_2025
DISCK,92778,0001437107,2014-08-07,2022-04-08,crsp_wrds_2010_2025
DISH,81696,0001001082,2017-03-13,2023-06-16,crsp_wrds_2010_2025
DLPH,13103,0001521332,2012-12-24,2017-12-04,crsp_wrds_2010_2025
DLR,90373,0001297996,2016-05-18,,crsp_wrds_2010_2025
DLTR,81481,0000935703,2011-12-19,,crsp_wrds_2010_2025
DNB,88590,0001115222,2010-01-04,2017-04-04,crsp_wrds_2010_2025
DNR,82196,0000945764,2010-01-04,2015-03-20,crsp_wrds_2010_2025
DO,82298,0000949039,2010-01-04,2016-09-30,crsp_wrds_2010_2025
DOC,67598,0000765880,2024-03-04,,crsp_wrds_2010_2025
DOV,25953,0000029905,2010-01-04,,crsp_wrds_2010_2025
DOW,20626,0000029915,2010-01-04,2017-08-31,crsp_wrds_2010_2025
DOW,18428,0001751788,2019-04-02,,crsp_wrds_2010_2025
DPS,92618,0001418135,2010-01-04,2018-06-29,crsp_wrds_2010_2025
DPZ,90248,0001286681,2020-05-12,,crsp_wrds_2010_2025
DRE,75341,0000783280,2017-07-26,2022-09-30,crsp_wrds_2010_2025
DRI,81655,0000940944,2010-01-04,,crsp_wrds_2010_2025
DTE,11674,0000936340,2010-01-04,,crsp_wrds_2010_2025
DTV,89954,0001465112,2010-01-04,2015-07-24,crsp_wrds_2010_2025
DUK,27959,0001326160,2010-01-04,,crsp_wrds_2010_2025
DV,76708,0000730464,2010-01-04,2012-09-28,crsp_wrds_2010_2025
DVA,82307,0000927066,2010-01-04,,crsp_wrds_2010_2025
DVN,87137,0001090012,2010-01-04,,crsp_wrds_2010_2025
DWDP,16851,0001666700,2017-09-01,2019-05-31,crsp_wrds_2010_2025
DXCM,90664,0001093557,2020-05-12,,crsp_wrds_2010_2025
EA,75828,0000712515,2011-12-20,,crsp_wrds_2010_2025
EBAY,86356,0001065088,2010-01-04,,crsp_wrds_2010_2025
ECL,70578,0000031462,2010-01-04,,crsp_wrds_2010_2025
ED,11404,0001047862,2010-01-04,,crsp_wrds_2010_2025
EFX,52476,0000033185,2010-01-04,,crsp_wrds_2010_2025
EG,82303,0001095073,2023-07-10,,crsp_wrds_2010_2025
EIX,15720,0000827052,2010-01-04,,crsp_wrds_2010_2025
EK,11754,0000031235,2010-01-04,2010-12-17,crsp_wrds_2010_2025
EL,82642,0001001250,2010-01-04,,crsp_wrds_2010_2025
ELV,89179,0001156039,2022-06-28,,crsp_wrds_2010_2025
EMC,10147,0000790070,2010-01-04,2016-09-06,crsp_wrds_2010_2025
EME,82694,0000105634,2025-09-22,,crsp_wrds_2010_2025
EMN,80080,0000915389,2010-01-04,2025-11-03,crsp_wrds_2010_2025
EMR,22103,0000032604,2010-01-04,,crsp_wrds_2010_2025
ENDP,88436,0001593034,2015-01-27,2017-03-01,crsp_wrds_2010_2025
ENPH,13323,0001463101,2021-01-07,2025-09-19,crsp_wrds_2010_2025
EOG,75825,0000821189,2010-01-04,,crsp_wrds_2010_2025
EP,77481,0001066107,2010-01-04,2012-05-24,crsp_wrds_2010_2025
EPAM,13210,0001352010,2021-12-14,,crsp_wrds_2010_2025
EQIX,89617,0001101239,2015-03-23,,crsp_wrds_2010_2025
EQR,79547,0000906107,2010-01-04,,crsp_wrds_2010_2025
EQT,24328,0000033213,2010-01-04,2018-11-12,crsp_wrds_2010_2025
EQT,24328,0000033213,2022-10-03,,crsp_wrds_2010_2025
ERIE,82486,0000922621,2024-09-23,,crsp_wrds_2010_2025
ERTS,75828,0000712515,2010-01-04,2011-12-19,crsp_wrds_2010_2025
ES,44206,0000072741,2015-02-19,,crsp_wrds_2010_2025
ESRX,77668,0000885721,2010-01-04,2012-04-05,crsp_wrds_2010_2025
ESRX,77668,0001532063,2012-04-06,2018-12-20,crsp_wrds_2010_2025
ESS,80681,0000920522,2014-04-02,,crsp_wrds_2010_2025
ESV,93159,0000314808,2012-07-31,2016-03-29,crsp_wrds_2010_2025
ETFC,83862,0001015780,2010-01-04,2020-10-01,crsp_wrds_2010_2025
ETN,11762,0001551182,2010-01-04,,crsp_wrds_2010_2025
ETR,24010,0000065984,2010-01-04,,crsp_wrds_2010_2025
ETSY,15291,0001370637,2020-09-21,2024-09-20,crsp_wrds_2010_2025
EVHC,85675,0001678531,2016-12-02,2018-10-10,crsp_wrds_2010_2025
EVRG,24053,0001711269,2018-06-05,,crsp_wrds_2010_2025
EW,87657,0001099800,2011-04-01,,crsp_wrds_2010_2025
EXC,21776,0001109357,2010-01-04,,crsp_wrds_2010_2025
EXE,20583,0000895126,2025-03-24,,crsp_wrds_2010_2025
EXPD,87717,0000746515,2010-01-04,,crsp_wrds_2010_2025
EXPE,90808,0001324424,2010-01-04,,crsp_wrds_2010_2025
EXR,90305,0001289490,2016-01-19,,crsp_wrds_2010_2025
F,25785,0000037996,2010-01-04,,crsp_wrds_2010_2025
FANG,13641,0001539838,2018-12-03,,crsp_wrds_2010_2025
FAST,11618,0000815556,2010-01-04,,crsp_wrds_2010_2025
FB,13407,0001326801,2013-12-23,2022-06-08,crsp_wrds_2010_2025
FBHS,12981,0001519751,2016-06-24,2022-12-14,crsp_wrds_2010_2025
FBIN,12981,0001519751,2022-12-15,2022-12-16,crsp_wrds_2010_2025
FCPT,15719,0001650132,2015-11-10,2015-11-10,crsp_wrds_2010_2025
FCX,81774,0000831259,2010-01-04,,crsp_wrds_2010_2025
FDO,53866,0000034408,2010-01-04,2015-07-06,crsp_wrds_2010_2025
FDS,83597,0001013237,2021-12-20,,crsp_wrds_2010_2025
FDX,60628,0001048911,2010-01-04,,crsp_wrds_2010_2025
FE,23026,0001031296,2010-01-04,,crsp_wrds_2010_2025
FFIV,86964,0001048695,2010-12-20,,crsp_wrds_2010_2025
FHN,36397,0000036966,2010-01-04,2013-06-21,crsp_wrds_2010_2025
FI,10696,0000798354,2023-06-07,2025-11-10,crsp_wrds_2010_2025
FICO,11533,0000814547,2023-03-20,,crsp_wrds_2010_2025
FII,86102,0001056288,2010-01-04,2012-12-31,crsp_wrds_2010_2025
FIS,89003,0001136893,2010-01-04,,crsp_wrds_2010_2025
FISV,10696,0000798354,2010-01-04,,crsp_wrds_2010_2025
FITB,34746,0000035527,2010-01-04,,crsp_wrds_2010_2025
FIX,85059,0001035983,2025-12-22,,crsp_wrds_2010_2025
FL,15456,0000850209,2016-04-04,2019-08-08,crsp_wrds_2010_2025
FLIR,79265,0000354908,2010-01-04,2021-05-13,crsp_wrds_2010_2025
FLR,88853,0001124198,2010-01-04,2019-06-03,crsp_wrds_2010_2025
FLS,30940,0000030625,2010-01-04,2021-03-19,crsp_wrds_2010_2025
FLT,12449,0001175454,2018-06-20,2024-03-22,crsp_wrds_2010_2025
FMC,19166,0000037785,2010-01-04,2025-03-21,crsp_wrds_2010_2025
FO,10225,0000789073,2010-01-04,2011-10-03,crsp_wrds_2010_2025
FOSL,79089,0000883569,2012-04-04,2016-01-04,crsp_wrds_2010_2025
FOX,90442,0001308161,2015-09-21,2019-03-18,crsp_wrds_2010_2025
FOX,18421,0001754301,2019-03-19,,crsp_wrds_2010_2025
FOXA,90441,0001308161,2013-07-01,2019-03-18,crsp_wrds_2010_2025
FOXA,18420,0001754301,2019-03-19,,crsp_wrds_2010_2025
FPL,24205,0000753308,2010-01-04,2010-06-22,crsp_wrds_2010_2025
FRC,12448,0001132979,2019-01-02,2023-04-28,crsp_wrds_2010_2025
FRT,58413,0000034903,2016-02-01,,crsp_wrds_2010_2025
FRX,45241,0000038074,2010-01-04,2014-06-30,crsp_wrds_2010_2025
FSLR,91611,0001274494,2010-01-04,2017-03-17,crsp_wrds_2010_2025
FSLR,91611,0001274494,2022-12-19,,crsp_wrds_2010_2025
FTI,89004,0001135152,2010-01-04,2017-01-13,crsp_wrds_2010_2025
FTI,16538,0001681459,2017-01-17,2021-02-11,crsp_wrds_2010_2025
FTNT,93132,0001262039,2018-10-11,,crsp_wrds_2010_2025
FTR,23887,0000020520,2010-01-04,2017-03-17,crsp_wrds_2010_2025
FTRE,23942,0001965040,2023-07-03,2023-07-05,crsp_wrds_2010_2025
FTV,16087,0001659166,2016-07-05,,crsp_wrds_2010_2025
GAS,48274,0000072020,2010-01-04,2011-12-09,crsp_wrds_2010_2025
GAS,15553,0001004155,2011-12-16,2016-06-30,crsp_wrds_2010_2025
GCI,47941,0000039899,2010-01-04,2015-06-26,crsp_wrds_2010_2025
GD,12052,0000040533,2010-01-04,,crsp_wrds_2010_2025
GDDY,15315,0001609711,2024-06-24,,crsp_wrds_2010_2025
GE,12060,0000040545,2010-01-04,,crsp_wrds_2010_2025
GEHC,23570,0001932393,2023-01-04,,crsp_wrds_2010_2025
GEN,75607,0000849399,2022-11-08,,crsp_wrds_2010_2025
GENZ,10324,0000732485,2010-01-04,2011-04-01,crsp_wrds_2010_2025
GEV,24878,0001996810,2024-04-02,,crsp_wrds_2010_2025
GGP,79129,0001496048,2013-12-10,2018-08-27,crsp_wrds_2010_2025
GHC,53225,0000104889,2013-11-29,2014-09-19,crsp_wrds_2010_2025
GILD,77274,0000882095,2010-01-04,,crsp_wrds_2010_2025
GIS,17144,0000040704,2010-01-04,,crsp_wrds_2010_2025
GL,62308,0000320335,2019-08-09,,crsp_wrds_2010_2025
GLW,22293,0000024741,2010-01-04,,crsp_wrds_2010_2025
GM,12369,0001467858,2013-06-07,,crsp_wrds_2010_2025
GMCR,79588,0001418135,2014-03-24,2016-03-02,crsp_wrds_2010_2025
GME,89301,0001326380,2010-01-04,2016-04-22,crsp_wrds_2010_2025
GNRC,93246,0001474735,2021-03-22,,crsp_wrds_2010_2025
GNW,90162,0001276520,2010-01-04,2015-11-17,crsp_wrds_2010_2025
GOOG,90319,0001652044,2010-01-04,,crsp_wrds_2010_2025
GOOGL,90319,0001652044,2014-04-03,,crsp_wrds_2010_2025
GPC,46674,0000040987,2010-01-04,,crsp_wrds_2010_2025
